replicate	papers_combined	fraction_labels_with_shared_marker	mean_shared_markers
545	7	0.02702702702702703	0.02702702702702703
545	8	0.02702702702702703	0.02702702702702703
545	9	0.0	0.0
545	10	0.0	0.0
546	1	1.0	5.054054054054054
546	2	0.5945945945945946	1.054054054054054
546	3	0.40540540540540543	0.4864864864864865
546	4	0.32432432432432434	0.35135135135135137
546	5	0.21621621621621623	0.21621621621621623
546	6	0.13513513513513514	0.13513513513513514
546	7	0.10810810810810811	0.10810810810810811
546	8	0.05405405405405406	0.05405405405405406
546	9	0.05405405405405406	0.05405405405405406
546	10	0.05405405405405406	0.05405405405405406
547	1	1.0	4.405405405405405
547	2	0.5135135135135135	0.7027027027027027
547	3	0.35135135135135137	0.40540540540540543
547	4	0.16216216216216217	0.1891891891891892
547	5	0.10810810810810811	0.10810810810810811
547	6	0.08108108108108109	0.08108108108108109
547	7	0.08108108108108109	0.08108108108108109
547	8	0.02702702702702703	0.02702702702702703
547	9	0.02702702702702703	0.02702702702702703
547	10	0.02702702702702703	0.02702702702702703
548	1	1.0	5.405405405405405
548	2	0.5675675675675675	0.8918918918918919
548	3	0.24324324324324326	0.32432432432432434
548	4	0.13513513513513514	0.16216216216216217
548	5	0.13513513513513514	0.16216216216216217
548	6	0.08108108108108109	0.08108108108108109
548	7	0.02702702702702703	0.02702702702702703
548	8	0.0	0.0
548	9	0.0	0.0
548	10	0.0	0.0
549	1	1.0	5.513513513513513
549	2	0.4864864864864865	0.8108108108108109
549	3	0.24324324324324326	0.35135135135135137
549	4	0.13513513513513514	0.1891891891891892
549	5	0.08108108108108109	0.08108108108108109
549	6	0.05405405405405406	0.05405405405405406
549	7	0.05405405405405406	0.05405405405405406
549	8	0.05405405405405406	0.05405405405405406
549	9	0.05405405405405406	0.05405405405405406
549	10	0.02702702702702703	0.02702702702702703
550	1	1.0	4.378378378378378
550	2	0.4594594594594595	0.9459459459459459
550	3	0.3783783783783784	0.5135135135135135
550	4	0.2702702702702703	0.32432432432432434
550	5	0.1891891891891892	0.21621621621621623
550	6	0.1891891891891892	0.21621621621621623
550	7	0.1891891891891892	0.1891891891891892
550	8	0.10810810810810811	0.10810810810810811
550	9	0.05405405405405406	0.05405405405405406
550	10	0.02702702702702703	0.02702702702702703
551	1	1.0	4.891891891891892
551	2	0.4864864864864865	0.918918918918919
551	3	0.35135135135135137	0.5405405405405406
551	4	0.24324324324324326	0.32432432432432434
551	5	0.1891891891891892	0.2702702702702703
551	6	0.10810810810810811	0.10810810810810811
551	7	0.10810810810810811	0.10810810810810811
551	8	0.10810810810810811	0.10810810810810811
551	9	0.08108108108108109	0.08108108108108109
551	10	0.08108108108108109	0.08108108108108109
552	1	1.0	4.864864864864865
552	2	0.5405405405405406	0.9459459459459459
552	3	0.1891891891891892	0.24324324324324326
552	4	0.02702702702702703	0.02702702702702703
552	5	0.02702702702702703	0.02702702702702703
552	6	0.02702702702702703	0.02702702702702703
552	7	0.02702702702702703	0.02702702702702703
552	8	0.0	0.0
552	9	0.0	0.0
552	10	0.0	0.0
553	1	1.0	5.8108108108108105
553	2	0.43243243243243246	0.7837837837837838
553	3	0.2702702702702703	0.40540540540540543
553	4	0.24324324324324326	0.32432432432432434
553	5	0.1891891891891892	0.21621621621621623
553	6	0.16216216216216217	0.16216216216216217
553	7	0.10810810810810811	0.10810810810810811
553	8	0.05405405405405406	0.05405405405405406
553	9	0.02702702702702703	0.02702702702702703
553	10	0.02702702702702703	0.02702702702702703
554	1	1.0	4.648648648648648
554	2	0.3783783783783784	0.5405405405405406
554	3	0.13513513513513514	0.21621621621621623
554	4	0.10810810810810811	0.16216216216216217
554	5	0.05405405405405406	0.08108108108108109
554	6	0.05405405405405406	0.05405405405405406
554	7	0.05405405405405406	0.05405405405405406
554	8	0.02702702702702703	0.02702702702702703
554	9	0.02702702702702703	0.02702702702702703
554	10	0.0	0.0
555	1	1.0	4.1891891891891895
555	2	0.4594594594594595	0.7297297297297297
555	3	0.13513513513513514	0.24324324324324326
555	4	0.10810810810810811	0.10810810810810811
555	5	0.02702702702702703	0.02702702702702703
555	6	0.02702702702702703	0.02702702702702703
555	7	0.02702702702702703	0.02702702702702703
555	8	0.0	0.0
555	9	0.0	0.0
555	10	0.0	0.0
556	1	1.0	4.594594594594595
556	2	0.5675675675675675	0.8648648648648649
556	3	0.35135135135135137	0.40540540540540543
556	4	0.21621621621621623	0.24324324324324326
556	5	0.13513513513513514	0.13513513513513514
