replicate	comparison	metric	estimate
16	same_identifier_different_label	marker_jaccard	0.0874864103190716
16	different_identifier_matched_control	marker_jaccard	0.004696915987238567
17	same_label_same_identifier	any_shared_marker	0.45564516129032256
17	same_label_no_accepted_identifier	any_shared_marker	0.5645161290322581
17	same_identifier_different_label	any_shared_marker	0.46774193548387094
17	different_identifier_matched_control	any_shared_marker	0.008064516129032258
17	same_label_same_identifier	marker_jaccard	0.11124881090659952
17	same_label_no_accepted_identifier	marker_jaccard	0.13439545592824456
17	same_identifier_different_label	marker_jaccard	0.09179577143286821
17	different_identifier_matched_control	marker_jaccard	0.0011730205278592375
18	same_label_same_identifier	any_shared_marker	0.4879032258064516
18	same_label_no_accepted_identifier	any_shared_marker	0.5524193548387096
18	same_identifier_different_label	any_shared_marker	0.45161290322580644
18	different_identifier_matched_control	any_shared_marker	0.008064516129032258
18	same_label_same_identifier	marker_jaccard	0.10409732185676175
18	same_label_no_accepted_identifier	marker_jaccard	0.1455220556315695
18	same_identifier_different_label	marker_jaccard	0.0923825423469636
18	different_identifier_matched_control	marker_jaccard	0.0006912442396313364
19	same_label_same_identifier	any_shared_marker	0.47580645161290325
19	same_label_no_accepted_identifier	any_shared_marker	0.4798387096774194
19	same_identifier_different_label	any_shared_marker	0.45161290322580644
19	different_identifier_matched_control	any_shared_marker	0.008064516129032258
19	same_label_same_identifier	marker_jaccard	0.10960214345532181
19	same_label_no_accepted_identifier	marker_jaccard	0.12598018736772734
19	same_identifier_different_label	marker_jaccard	0.0895137456629392
19	different_identifier_matched_control	marker_jaccard	0.0011760752688172041
20	same_label_same_identifier	any_shared_marker	0.4838709677419355
20	same_label_no_accepted_identifier	any_shared_marker	0.5443548387096774
20	same_identifier_different_label	any_shared_marker	0.4153225806451613
20	different_identifier_matched_control	any_shared_marker	0.012096774193548387
20	same_label_same_identifier	marker_jaccard	0.11118018906908976
20	same_label_no_accepted_identifier	marker_jaccard	0.15483600206560222
20	same_identifier_different_label	marker_jaccard	0.08674244102671523
20	different_identifier_matched_control	marker_jaccard	0.0022625448028673837
21	same_label_same_identifier	any_shared_marker	0.45161290322580644
21	same_label_no_accepted_identifier	any_shared_marker	0.49193548387096775
