replicate	papers_combined	fraction_labels_with_shared_marker	mean_shared_markers
24	3	0.2962962962962963	0.4074074074074074
24	4	0.14814814814814814	0.18518518518518517
24	5	0.14814814814814814	0.18518518518518517
24	6	0.1111111111111111	0.14814814814814814
24	7	0.07407407407407407	0.1111111111111111
24	8	0.07407407407407407	0.1111111111111111
24	9	0.037037037037037035	0.037037037037037035
24	10	0.037037037037037035	0.037037037037037035
25	1	1.0	4.62962962962963
25	2	0.5925925925925926	0.7037037037037037
25	3	0.2962962962962963	0.3333333333333333
25	4	0.18518518518518517	0.18518518518518517
25	5	0.1111111111111111	0.1111111111111111
25	6	0.1111111111111111	0.1111111111111111
25	7	0.1111111111111111	0.1111111111111111
25	8	0.1111111111111111	0.1111111111111111
25	9	0.07407407407407407	0.07407407407407407
25	10	0.037037037037037035	0.037037037037037035
26	1	1.0	4.0
26	2	0.7407407407407407	1.037037037037037
26	3	0.4074074074074074	0.48148148148148145
26	4	0.25925925925925924	0.3333333333333333
26	5	0.18518518518518517	0.25925925925925924
26	6	0.14814814814814814	0.18518518518518517
26	7	0.1111111111111111	0.14814814814814814
26	8	0.1111111111111111	0.1111111111111111
26	9	0.037037037037037035	0.037037037037037035
26	10	0.037037037037037035	0.037037037037037035
27	1	1.0	4.518518518518518
27	2	0.5555555555555556	1.0
27	3	0.2222222222222222	0.25925925925925924
27	4	0.07407407407407407	0.07407407407407407
27	5	0.07407407407407407	0.07407407407407407
27	6	0.07407407407407407	0.07407407407407407
27	7	0.07407407407407407	0.07407407407407407
27	8	0.037037037037037035	0.037037037037037035
27	9	0.0	0.0
27	10	0.0	0.0
28	1	1.0	4.333333333333333
28	2	0.5555555555555556	0.7037037037037037
28	3	0.2222222222222222	0.25925925925925924
28	4	0.1111111111111111	0.14814814814814814
28	5	0.07407407407407407	0.1111111111111111
28	6	0.07407407407407407	0.1111111111111111
28	7	0.07407407407407407	0.07407407407407407
28	8	0.0	0.0
28	9	0.0	0.0
28	10	0.0	0.0
29	1	1.0	4.7407407407407405
29	2	0.5925925925925926	0.8888888888888888
29	3	0.3333333333333333	0.4444444444444444
29	4	0.14814814814814814	0.18518518518518517
29	5	0.1111111111111111	0.1111111111111111
29	6	0.07407407407407407	0.07407407407407407
29	7	0.037037037037037035	0.037037037037037035
29	8	0.037037037037037035	0.037037037037037035
29	9	0.037037037037037035	0.037037037037037035
29	10	0.037037037037037035	0.037037037037037035
30	1	1.0	4.666666666666667
30	2	0.7407407407407407	1.3703703703703705
30	3	0.4074074074074074	0.5185185185185185
30	4	0.14814814814814814	0.2222222222222222
30	5	0.1111111111111111	0.1111111111111111
30	6	0.07407407407407407	0.07407407407407407
30	7	0.07407407407407407	0.07407407407407407
30	8	0.037037037037037035	0.037037037037037035
30	9	0.037037037037037035	0.037037037037037035
30	10	0.037037037037037035	0.037037037037037035
31	1	1.0	4.666666666666667
31	2	0.5185185185185185	0.7777777777777778
31	3	0.25925925925925924	0.37037037037037035
31	4	0.1111111111111111	0.1111111111111111
31	5	0.07407407407407407	0.07407407407407407
31	6	0.07407407407407407	0.07407407407407407
31	7	0.037037037037037035	0.037037037037037035
31	8	0.037037037037037035	0.037037037037037035
31	9	0.037037037037037035	0.037037037037037035
31	10	0.037037037037037035	0.037037037037037035
32	1	1.0	4.296296296296297
32	2	0.37037037037037035	0.7407407407407407
32	3	0.25925925925925924	0.2962962962962963
32	4	0.14814814814814814	0.14814814814814814
32	5	0.037037037037037035	0.037037037037037035
32	6	0.037037037037037035	0.037037037037037035
32	7	0.037037037037037035	0.037037037037037035
32	8	0.037037037037037035	0.037037037037037035
32	9	0.0	0.0
32	10	0.0	0.0
33	1	1.0	3.925925925925926
33	2	0.4444444444444444	0.5925925925925926
33	3	0.2962962962962963	0.2962962962962963
33	4	0.1111111111111111	0.1111111111111111
33	5	0.037037037037037035	0.037037037037037035
33	6	0.0	0.0
33	7	0.0	0.0
33	8	0.0	0.0
33	9	0.0	0.0
33	10	0.0	0.0
34	1	1.0	4.333333333333333
34	2	0.4444444444444444	0.6296296296296297
34	3	0.25925925925925924	0.3333333333333333
34	4	0.1111111111111111	0.1111111111111111
34	5	0.07407407407407407	0.07407407407407407
34	6	0.037037037037037035	0.037037037037037035
34	7	0.037037037037037035	0.037037037037037035
34	8	0.037037037037037035	0.037037037037037035
34	9	0.037037037037037035	0.037037037037037035
34	10	0.037037037037037035	0.037037037037037035
35	1	1.0	4.481481481481482
35	2	0.5555555555555556	0.7407407407407407
35	3	0.14814814814814814	0.2222222222222222
35	4	0.037037037037037035	0.037037037037037035
35	5	0.037037037037037035	0.037037037037037035
35	6	0.037037037037037035	0.037037037037037035
35	7	0.0	0.0
35	8	0.0	0.0
35	9	0.0	0.0
35	10	0.0	0.0
36	1	1.0	4.518518518518518
36	2	0.5185185185185185	0.7777777777777778
36	3	0.14814814814814814	0.18518518518518517
36	4	0.1111111111111111	0.1111111111111111
