replicate	papers_combined	fraction_labels_with_shared_marker	mean_shared_markers
49	3	0.5185185185185185	0.7777777777777778
49	4	0.4444444444444444	0.5925925925925926
49	5	0.2962962962962963	0.37037037037037035
49	6	0.14814814814814814	0.18518518518518517
49	7	0.1111111111111111	0.14814814814814814
49	8	0.1111111111111111	0.1111111111111111
49	9	0.07407407407407407	0.07407407407407407
49	10	0.07407407407407407	0.07407407407407407
50	1	1.0	4.111111111111111
50	2	0.6296296296296297	1.0740740740740742
50	3	0.37037037037037035	0.48148148148148145
50	4	0.18518518518518517	0.2222222222222222
50	5	0.037037037037037035	0.037037037037037035
50	6	0.037037037037037035	0.037037037037037035
50	7	0.037037037037037035	0.037037037037037035
50	8	0.037037037037037035	0.037037037037037035
50	9	0.0	0.0
50	10	0.0	0.0
51	1	1.0	4.222222222222222
51	2	0.4074074074074074	0.6296296296296297
51	3	0.14814814814814814	0.2222222222222222
51	4	0.1111111111111111	0.14814814814814814
51	5	0.07407407407407407	0.07407407407407407
51	6	0.037037037037037035	0.037037037037037035
51	7	0.037037037037037035	0.037037037037037035
51	8	0.037037037037037035	0.037037037037037035
51	9	0.037037037037037035	0.037037037037037035
51	10	0.037037037037037035	0.037037037037037035
52	1	1.0	5.037037037037037
52	2	0.4074074074074074	0.5185185185185185
52	3	0.07407407407407407	0.07407407407407407
52	4	0.0	0.0
52	5	0.0	0.0
52	6	0.0	0.0
52	7	0.0	0.0
52	8	0.0	0.0
52	9	0.0	0.0
52	10	0.0	0.0
53	1	1.0	4.7407407407407405
53	2	0.5555555555555556	0.7407407407407407
53	3	0.14814814814814814	0.14814814814814814
53	4	0.037037037037037035	0.037037037037037035
53	5	0.0	0.0
53	6	0.0	0.0
53	7	0.0	0.0
53	8	0.0	0.0
53	9	0.0	0.0
53	10	0.0	0.0
54	1	1.0	5.2592592592592595
54	2	0.48148148148148145	0.6296296296296297
54	3	0.18518518518518517	0.2962962962962963
54	4	0.1111111111111111	0.18518518518518517
54	5	0.037037037037037035	0.037037037037037035
54	6	0.037037037037037035	0.037037037037037035
54	7	0.0	0.0
54	8	0.0	0.0
54	9	0.0	0.0
54	10	0.0	0.0
55	1	1.0	4.185185185185185
55	2	0.5925925925925926	0.9629629629629629
55	3	0.25925925925925924	0.37037037037037035
55	4	0.18518518518518517	0.2222222222222222
55	5	0.14814814814814814	0.14814814814814814
55	6	0.1111111111111111	0.1111111111111111
55	7	0.037037037037037035	0.037037037037037035
55	8	0.0	0.0
55	9	0.0	0.0
55	10	0.0	0.0
56	1	1.0	4.444444444444445
56	2	0.6296296296296297	1.1111111111111112
56	3	0.25925925925925924	0.2962962962962963
56	4	0.18518518518518517	0.18518518518518517
56	5	0.1111111111111111	0.1111111111111111
56	6	0.037037037037037035	0.037037037037037035
56	7	0.037037037037037035	0.037037037037037035
