pair_id	target_key	target_label	target_label_a	target_label_b	profile_a	profile_b	paper_a	paper_b	collection_pair	markers_a	markers_b	shared_markers	union_markers	any_shared_marker	marker_jaccard	recovery_a_from_b	recovery_b_from_a	mean_directional_recovery	context_a	context_b	context_jaccard
pair:0b5bd0bb9349a29736e6	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:ebe65e0377159828afd7	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	biorxiv:eda68d46-7b76-1014-b9f8-bf62f9afae8d	biorxiv-biorxiv	3	3	0	6	0	0.0	0.0	0.0	0.0	0	3	0.0
pair:c3c4ec7dab273c5083d8	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:2d724447056a0bd90945	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0011_10.1038_s41413-021-00163-z_07f1a1af96	biorxiv-hca	3	6	0	9	0	0.0	0.0	0.0	0.0	0	4	0.0
pair:e68969a8e5ebc74a8357	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:d529948493501ab112d5	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0042_10.1126_sciadv.aau4788_744a251f24	biorxiv-hca	3	5	0	8	0	0.0	0.0	0.0	0.0	0	8	0.0
pair:9a4e33d2c0069543a900	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:15cd897689e7bf36b830	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0047_10.15252_embj.2020107333_a4d0f57474	biorxiv-hca	3	8	0	11	0	0.0	0.0	0.0	0.0	0	5	0.0
pair:7dfc610a547ffd519249	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:d5f30c3b6e62784b6fef	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0056_10.1038_s41586-018-0449-8_fdcc67f757	biorxiv-hca	3	4	0	7	0	0.0	0.0	0.0	0.0	0	8	0.0
pair:be0077f24b045eb26cae	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:a1d4809fbde4fc7b749b	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0064_10.1038_s41586-021-04221-8_65d6d3d212	biorxiv-hca	3	8	0	11	0	0.0	0.0	0.0	0.0	0	2	0.0
pair:1c04cbccd5fc8093840a	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:83e25a042532ef435eb2	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0085_10.1073_pnas.2200914119_3dd916fb05	biorxiv-hca	3	5	1	7	1	0.14285714285714285	0.3333333333333333	0.2	0.26666666666666666	0	14	0.0
pair:bacbdd87acaf82e5a0bc	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:d73fe5bc86870edb3336	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0089_10.1038_s41586-020-2797-4_6e65d21b5d	biorxiv-hca	3	3	1	5	1	0.2	0.3333333333333333	0.3333333333333333	0.3333333333333333	0	8	0.0
pair:7f7bf80b814505fa7bb9	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:77c221d04a9b5e656fa9	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0095_10.1101_2021.09.16.460628_23a839e09f	biorxiv-hca	3	3	1	5	1	0.2	0.3333333333333333	0.3333333333333333	0.3333333333333333	0	9	0.0
pair:e83e15551e806070f5ce	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:12c303d15d9d054cfc2f	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0109_10.7554_elife.91792.1_056dda27be	biorxiv-hca	3	4	1	6	1	0.16666666666666666	0.3333333333333333	0.25	0.29166666666666663	0	21	0.0
pair:b4435163083aebdc0f7f	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:60d3771d7d325cb09626	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0124_10.1126_science.aba6500_a77c502bf7	biorxiv-hca	3	4	0	7	0	0.0	0.0	0.0	0.0	0	6	0.0
pair:f108bd3e0e884ec5e59a	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:ae51633e1a743f82e16f	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	hca:0148_10.1113_jp287812_fd3137bc12	biorxiv-hca	3	3	1	5	1	0.2	0.3333333333333333	0.3333333333333333	0.3333333333333333	0	13	0.0
