pair_id	target_key	target_label	target_label_a	target_label_b	profile_a	profile_b	paper_a	paper_b	collection_pair	markers_a	markers_b	shared_markers	union_markers	any_shared_marker	marker_jaccard	recovery_a_from_b	recovery_b_from_a	mean_directional_recovery	context_a	context_b	context_jaccard	normalized_label_a	normalized_label_b
pair:de0431bbf6535a89e0a8	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:0f2a32ddd601f226a3af	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0091_10.1101_2025.06.19.660575_df9b499d76	biorxiv-hca	3	4	0	7	0	0.0	0.0	0.0	0.0	7	10	0.13333333333333333	t lymphocyte	t cell
pair:9186c45b1f8ad41e0839	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:5ad23d379f122dfc7ae2	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0092_10.1126_sciadv.adm7506_67b90b1dc0	biorxiv-hca	3	3	0	6	0	0.0	0.0	0.0	0.0	7	9	0.14285714285714285	t lymphocyte	t cell
pair:73c77ba6a072402c208e	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:da010ac0a952c0322ef2	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0109_10.7554_elife.91792.1_056dda27be	biorxiv-hca	3	7	0	10	0	0.0	0.0	0.0	0.0	7	21	0.16666666666666666	t lymphocyte	t cell
pair:e8f57dd252409d8d018d	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:58c8b1f521aff5be11a4	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0148_10.1113_jp287812_fd3137bc12	biorxiv-hca	3	5	0	8	0	0.0	0.0	0.0	0.0	7	13	0.25	t lymphocyte	t cell
pair:691d3db8c2908659a7b4	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:5f7c966b288a72dd7b1c	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0158_10.2337_db21-0830_d021248f76	biorxiv-hca	3	3	0	6	0	0.0	0.0	0.0	0.0	7	7	0.16666666666666666	t lymphocyte	t cell
pair:ed7d6b8df9a1234f3ba9	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:4ce69e2212c8f7baa73e	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0164_10.1177_00220345221147908_13bf485ac8	biorxiv-hca	3	3	0	6	0	0.0	0.0	0.0	0.0	7	6	0.18181818181818182	t lymphocyte	t cell
pair:14dae479c05e8a2ca681	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:b9b67845cf8550aab92c	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0184_10.1016_j.cell.2021.07.023_f621bea088	biorxiv-hca	3	8	0	11	0	0.0	0.0	0.0	0.0	7	13	0.17647058823529413	t lymphocyte	t cell
pair:573dc1f106fafa9858ee	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:861df81afcf5cf77cdc5	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea	biorxiv-hca	3	4	0	7	0	0.0	0.0	0.0	0.0	7	4	0.2222222222222222	t lymphocyte	t cell
pair:2ae427c8fce533b11145	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:535867c472b921ca7988	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0229_10.15252_msb.20178041_0277072a61	biorxiv-hca	3	4	0	7	0	0.0	0.0	0.0	0.0	7	3	0.1111111111111111	t lymphocyte	t cell
pair:1e0d2e549cbf42a37fa2	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:dea78dacea6043997fc2	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0243_10.1038_s41586-023-05915-x_2f4aafa6a2	biorxiv-hca	3	3	0	6	0	0.0	0.0	0.0	0.0	7	17	0.14285714285714285	t lymphocyte	t cell
pair:a663f8fe1a6295c09c3d	CL:0000084	T lymphocyte	T lymphocyte	T cell	profile:1953e2d225b00edf98d6	profile:a6bc2463dcaa5734ed56	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	hca:0291_10.1016_j.cell.2019.06.024_7d6cf2f1e2	biorxiv-hca	3	4	0	7	0	0.0	0.0	0.0	0.0	7	2	0.0	t lymphocyte	t cell
