label_a	label_b	papers
cd8 cytotoxic t cell	myofibroblast	1
cd8 cytotoxic t cell	natural killer cell	1
cd8 cytotoxic t cell	naïve t cell	1
cd8 cytotoxic t cell	paneth cell	1
cd8 cytotoxic t cell	plasmacytoid dendritic cell	1
cd8 cytotoxic t cell	regulatory t cell	1
cd8 cytotoxic t cell	t cell	1
cd8 cytotoxic t cell	th17 cell	1
cd8 cytotoxic t cell	tuft cell	1
cd8 cytotoxic t cell	venular endothelial cell	1
cd8 derived double positive t cell	double positive t cell	1
cd8 effector memory cd45ra positive cell	cd8 effector memory t cell	1
cd8 effector memory cd45ra positive cell	cd8 effector t cell	1
cd8 effector memory cd45ra positive cell	central memory t cell	1
cd8 effector memory cd45ra positive cell	classical monocyte	1
cd8 effector memory cd45ra positive cell	exhausted t cell	1
cd8 effector memory cd45ra positive cell	naïve like t cell	1
cd8 effector memory cd45ra positive cell	non classical monocyte	1
cd8 effector memory cd45ra positive cell	regulatory t cell	1
cd8 effector memory cd45ra positive cell	tissue resident memory t cell	1
cd8 effector memory t cell	cd8 effector t cell	1
cd8 effector memory t cell	cd8 exhausted t cell	1
cd8 effector memory t cell	cd8 positive t cell	1
cd8 effector memory t cell	cd8 proliferating exhausted t cell	1
cd8 effector memory t cell	cd8 terminally differentiated effector memory and effector cell	1
cd8 effector memory t cell	central memory t cell	1
cd8 effector memory t cell	classical monocyte	1
cd8 effector memory t cell	conventional b cell	1
cd8 effector memory t cell	conventional dendritic cell	1
cd8 effector memory t cell	conventional type 2 dendritic cell	1
cd8 effector memory t cell	cytotoxic cell	1
cd8 effector memory t cell	double negative t cell	1
cd8 effector memory t cell	ductal cell	1
cd8 effector memory t cell	effector memory t cell	1
cd8 effector memory t cell	effector memory tissue resident memory cd8 t cell	1
cd8 effector memory t cell	efna5 positive cancer associated fibroblast	1
cd8 effector memory t cell	endothelial cell	1
cd8 effector memory t cell	epithelial cell	1
cd8 effector memory t cell	exhausted t cell	1
cd8 effector memory t cell	fibroblast	1
cd8 effector memory t cell	germinal center dark zone b cell	1
cd8 effector memory t cell	germinal center light zone b cell	1
cd8 effector memory t cell	hematopoietic stem and progenitor cell	1
cd8 effector memory t cell	immune cell	1
cd8 effector memory t cell	inflammatory cancer associated fibroblast	1
cd8 effector memory t cell	intermediate b cell	1
cd8 effector memory t cell	mast cell	1
cd8 effector memory t cell	memory b cell	1
cd8 effector memory t cell	myeloid cell	1
cd8 effector memory t cell	myofibroblast like cancer associated fibroblast	1
cd8 effector memory t cell	naive b cell	1
cd8 effector memory t cell	naive cd8 t cell	1
cd8 effector memory t cell	naive or central memory t cell	1
cd8 effector memory t cell	naïve b cell	1
cd8 effector memory t cell	naïve like t cell	1
cd8 effector memory t cell	naïve t cell	1
cd8 effector memory t cell	neutrophil	1
cd8 effector memory t cell	nk_cd56bright	1
cd8 effector memory t cell	non classical monocyte	1
cd8 effector memory t cell	normal fibroblast	1
cd8 effector memory t cell	other unclassified cell	1
cd8 effector memory t cell	pericyte	1
cd8 effector memory t cell	plasma cell	1
cd8 effector memory t cell	platelet	1
cd8 effector memory t cell	pre exhausted cd8 t cell	1
cd8 effector memory t cell	resting cd4 cd8 t cell	1
cd8 effector memory t cell	resting cd4 naive central memory t cell	1
cd8 effector memory t cell	smooth muscle cell	1
cd8 effector memory t cell	stard13 positive macrophage	1
cd8 effector memory t cell	stressed b cell	1
cd8 effector memory t cell	t cell	1
cd8 effector memory t cell	terminally differentiated effector cell	1
cd8 effector memory t cell	trem2high macrophage	1
cd8 effector memory t cell	trem2low macrophage	1
cd8 effector memory t cell	tumor infiltrating immune cell	1
cd8 effector memory t cell	tumor infiltrating natural killer cell	1
cd8 effector memory t cell	vγ9vδ2 gamma delta t cell	1
cd8 effector t cell	cd8 naive t cell	1
cd8 effector t cell	cdhr5 positive intermediate cell	1
cd8 effector t cell	crabp2 high intermediate cell	1
cd8 effector t cell	decidual macrophage	1
cd8 effector t cell	decidual natural killer cell 1	1
cd8 effector t cell	decidual natural killer cell 2	1
cd8 effector t cell	decidual natural killer cell 3	1
cd8 effector t cell	decidual natural killer cell 4	1
cd8 effector t cell	decidual natural killer proliferative cell	1
cd8 effector t cell	decidual regulatory t cell	1
cd8 effector t cell	exhausted t cell	1
cd8 effector t cell	foxa1 high intermediate cell	1
cd8 effector t cell	ftl high umbrella cell	1
cd8 effector t cell	group 3 innate lymphoid cell	1
cd8 effector t cell	intradetrusor fibroblast	1
cd8 effector t cell	jun fos high basal cell	1
cd8 effector t cell	krt5 positive basal cell	1
cd8 effector t cell	macrophage	1
cd8 effector t cell	major interstitial fibroblast	1
cd8 effector t cell	minor interstitial fibroblast	1
cd8 effector t cell	mki67 high basal cell	1
cd8 effector t cell	natural killer cell	1
cd8 effector t cell	naïve like t cell	1
cd8 effector t cell	periurothelial fibroblast	1
cd8 effector t cell	shh high basal cell	1
cd8 effector t cell	smooth muscle cell	1
cd8 effector t cell	upk high umbrella cell	1
cd8 effector t cell	venous endothelial cell	1
cd8 em emra t cell	cd8 trm em t cell	1
cd8 em emra t cell	chondrocyte	1
cd8 em emra t cell	endoneurial nerve associated fibroblast	1
cd8 em emra t cell	iga plasma cell	1
cd8 em emra t cell	immune recruiting fibroblast	1
cd8 em emra t cell	immune recruiting venous perivascular cell	1
cd8 em emra t cell	interstitial macrophage	1
cd8 em emra t cell	intravascular macrophage	1
cd8 em emra t cell	macro ccl macrophage	1
cd8 em emra t cell	macro chit1 macrophage	1
cd8 em emra t cell	macro intermediate	1
cd8 em emra t cell	myelinating schwann cell	1
cd8 em emra t cell	nk cd11d natural killer cell	1
cd8 em emra t cell	nk cd16hi natural killer cell	1
cd8 em emra t cell	nk cd56 bright natural killer cell	1
cd8 em emra t cell	non myelinating schwann cell	1
cd8 em emra t cell	peribronchial fibroblast	1
cd8 em emra t cell	perichondrial fibroblast	1
cd8 em emra t cell	submucosal gland duct cell	1
cd8 exhausted t cell	cd8 proliferating exhausted t cell	1
cd8 exhausted t cell	cd8 terminally differentiated effector memory and effector cell	1
cd8 exhausted t cell	conventional dendritic cell	1
cd8 exhausted t cell	efna5 positive cancer associated fibroblast	1
cd8 exhausted t cell	endothelial cell	1
cd8 exhausted t cell	epithelial cell	1
cd8 exhausted t cell	fibroblast	1
cd8 exhausted t cell	germinal center dark zone b cell	1
cd8 exhausted t cell	germinal center light zone b cell	1
cd8 exhausted t cell	inflammatory cancer associated fibroblast	1
cd8 exhausted t cell	mast cell	1
cd8 exhausted t cell	monocyte	1
cd8 exhausted t cell	myeloid cell	1
cd8 exhausted t cell	myofibroblast like cancer associated fibroblast	1
cd8 exhausted t cell	natural killer cell	1
cd8 exhausted t cell	naïve b cell	1
cd8 exhausted t cell	naïve t cell	1
cd8 exhausted t cell	neutrophil	1
cd8 exhausted t cell	normal fibroblast	1
cd8 exhausted t cell	pericyte	1
cd8 exhausted t cell	plasma cell	1
cd8 exhausted t cell	plasmacytoid dendritic cell	1
cd8 exhausted t cell	pre exhausted cd8 t cell	1
cd8 exhausted t cell	smooth muscle cell	1
cd8 exhausted t cell	stard13 positive macrophage	1
cd8 exhausted t cell	stressed b cell	1
cd8 exhausted t cell	t cell	1
cd8 exhausted t cell	trem2high macrophage	1
cd8 exhausted t cell	trem2low macrophage	1
cd8 gzmk t cell	cd8 t cell	1
cd8 gzmk t cell	cd8 tissue resident memory t cell	1
cd8 gzmk t cell	conventional dendritic cell type 1	1
cd8 gzmk t cell	conventional dendritic cell type 2	1
cd8 gzmk t cell	dendritic cell	1
cd8 gzmk t cell	endothelial cell	1
cd8 gzmk t cell	epithelial cell	1
cd8 gzmk t cell	gamma delta t cell	1
cd8 gzmk t cell	goblet club cell	1
cd8 gzmk t cell	innate lymphocyte	1
cd8 gzmk t cell	macro ccl macrophage	1
cd8 gzmk t cell	macro cholesterol macrophage	1
cd8 gzmk t cell	macro interferon alpha beta macrophage	1
cd8 gzmk t cell	macro lipid macrophage	1
cd8 gzmk t cell	macro repair macrophage	1
cd8 gzmk t cell	macro vesicle macrophage	1
cd8 gzmk t cell	macrophage	1
cd8 gzmk t cell	macroreg macrophage	1
cd8 gzmk t cell	mast cell	1
cd8 gzmk t cell	monocyte	1
cd8 gzmk t cell	natural killer cell	1
cd8 gzmk t cell	natural killer t cell	1
cd8 gzmk t cell	plasma b cell	1
cd8 gzmk t cell	plasmacytoid dendritic cell	1
cd8 gzmk t cell	proliferating macrophage	1
cd8 gzmk t cell	proliferating natural killer t cell	1
cd8 gzmk t cell	tracheobronchial goblet club cell	1
cd8 intraepithelial lymphocyte	conventional dendritic cell type 2	1
cd8 intraepithelial lymphocyte	innate lymphoid cell class 3	1
cd8 intraepithelial lymphocyte	mast cell	1
cd8 intraepithelial lymphocyte	myeloid cell	1
cd8 intraepithelial lymphocyte	natural killer cell	1
cd8 intraepithelial lymphocyte	nk t cell	1
cd8 intraepithelial lymphocyte	plasma cell	1
cd8 intraepithelial lymphocyte	resident memory t cell	1
cd8 intraepithelial lymphocyte	t cell	1
cd8 intraepithelial lymphocyte	tumor specific cd8 t cell	1
cd8 klrg1 t effector memory cd45ra	cd8 t resident memory 1	1
cd8 klrg1 t effector memory cd45ra	klrg1 t effector memory cd45ra	1
cd8 memory cerebrospinal fluid t cell	clonally expanded cd8 t cell	1
cd8 memory cerebrospinal fluid t cell	naive cd4 t cell	1
cd8 memory cerebrospinal fluid t cell	naive cd8 t cell	1
cd8 mucosal associated invariant t cell	cd8 mycobacterial glycolipid specific t cell	1
cd8 mucosal associated invariant t cell	cd8 t cell	1
cd8 mucosal associated invariant t cell	cytotoxic peptide specific t cell	1
cd8 mucosal associated invariant t cell	cytotoxic t cell	1
cd8 mucosal associated invariant t cell	double negative mucosal associated invariant t cell	1
cd8 mucosal associated invariant t cell	t helper 1 cell	1
cd8 mucosal associated invariant t cell	t helper 17 cell	1
cd8 mucosal associated invariant t cell	t helper 2 cell	1
cd8 mucosal associated invariant t cell	t regulatory cell	1
cd8 mycobacterial glycolipid specific t cell	cd8 t cell	1
cd8 mycobacterial glycolipid specific t cell	cytotoxic peptide specific t cell	1
cd8 mycobacterial glycolipid specific t cell	cytotoxic t cell	1
cd8 mycobacterial glycolipid specific t cell	double negative mucosal associated invariant t cell	1
cd8 mycobacterial glycolipid specific t cell	t helper 1 cell	1
cd8 mycobacterial glycolipid specific t cell	t helper 17 cell	1
cd8 mycobacterial glycolipid specific t cell	t helper 2 cell	1
cd8 mycobacterial glycolipid specific t cell	t regulatory cell	1
cd8 naive t cell	decidual macrophage	1
cd8 naive t cell	decidual natural killer cell 1	1
cd8 naive t cell	decidual natural killer cell 2	1
cd8 naive t cell	decidual natural killer cell 3	1
cd8 naive t cell	decidual natural killer cell 4	1
cd8 naive t cell	decidual natural killer proliferative cell	1
cd8 naive t cell	decidual regulatory t cell	1
cd8 naive t cell	dendritic cell	1
cd8 naive t cell	group 3 innate lymphoid cell	1
cd8 naive t cell	mast cell	1
cd8 naive t cell	mucosal associated invariant t cell	1
cd8 positive cytotoxic effector cell	cd8 positive t cell	1
cd8 positive cytotoxic effector cell	cd8 t cell	1
cd8 positive cytotoxic effector cell	colitis associated cd4 positive t cell	1
cd8 positive cytotoxic effector cell	cycling cd8 t cell	1
cd8 positive cytotoxic effector cell	cycling t cell	1
cd8 positive cytotoxic effector cell	cytotoxic cd4 positive t cell	1
cd8 positive cytotoxic effector cell	mast cell	1
cd8 positive cytotoxic effector cell	myeloid cell	1
cd8 positive cytotoxic effector cell	regulatory t cell	1
cd8 positive cytotoxic effector cell	regulatory t cell cluster 1	1
cd8 positive cytotoxic effector cell	t cell	1
cd8 positive cytotoxic effector cell	t helper 1 effector cell	1
cd8 positive cytotoxic t cell	cd8 positive t cell	1
cd8 positive cytotoxic t cell	cytotoxic t cell	1
cd8 positive cytotoxic t cell	dermal fibroblast	1
cd8 positive cytotoxic t cell	double negative t cell	1
cd8 positive cytotoxic t cell	elastic fibroblast	1
cd8 positive cytotoxic t cell	endothelial tip cell	1
cd8 positive cytotoxic t cell	exhausted cd8 positive t cell	1
cd8 positive cytotoxic t cell	fibroblast	1
cd8 positive cytotoxic t cell	lipid laden foam macrophage	1
cd8 positive cytotoxic t cell	lymphatic endothelial cell	1
cd8 positive cytotoxic t cell	m1 macrophage	1
cd8 positive cytotoxic t cell	m2 macrophage	1
cd8 positive cytotoxic t cell	macrophage	1
cd8 positive cytotoxic t cell	marginal zone b cell	1
cd8 positive cytotoxic t cell	melanocyte	1
cd8 positive cytotoxic t cell	memory b cell	1
cd8 positive cytotoxic t cell	myeloid dendritic cell	1
cd8 positive cytotoxic t cell	natural killer t cell	1
cd8 positive cytotoxic t cell	naïve t cell	1
cd8 positive cytotoxic t cell	pericyte	1
cd8 positive cytotoxic t cell	plasma b cell	1
cd8 positive cytotoxic t cell	plasmacytoid dendritic cell	1
cd8 positive cytotoxic t cell	proliferative endothelial cell	1
cd8 positive cytotoxic t cell	proliferative t cell	1
cd8 positive cytotoxic t cell	regulatory t cell	1
cd8 positive cytotoxic t cell	venous endothelial cell	1
cd8 positive effector memory t cell	endothelial cell	1
cd8 positive effector memory t cell	fibroblast	1
cd8 positive effector memory t cell	fibroblast 3	1
cd8 positive effector memory t cell	fibroblast 4	1
cd8 positive effector memory t cell	immune related endothelial cell	1
cd8 positive effector memory t cell	lymphatic endothelial cell	1
cd8 positive effector memory t cell	lyve1 positive macrophage 3	1
cd8 positive effector memory t cell	mesothelial cell	1
cd8 positive effector memory t cell	monocyte derived macrophage	1
cd8 positive effector memory t cell	naive cd4 positive t cell	1
cd8 positive effector memory t cell	neuronal cell	1
cd8 positive effector memory t cell	neuronal cell 1	1
cd8 positive effector memory t cell	neuronal cell 2	1
cd8 positive effector memory t cell	neuronal cell 4	1
cd8 positive effector memory t cell	neuronal cell 5	1
cd8 positive effector memory t cell	neuronal cell 6	1
cd8 positive effector memory t cell	pericyte	1
cd8 positive effector memory t cell	vascular smooth muscle cell	1
cd8 positive effector memory t cell	venous endothelial cell	1
cd8 positive effector memory t cell	ventricle enriched pericyte	1
cd8 positive effector memory t cell	ventricular cardiomyocyte	1
cd8 positive effector memory t cell	ventricular cardiomyocyte 2	1
cd8 positive effector memory t cell	ventricular cardiomyocyte 3	1
cd8 positive effector memory t cell	ventricular cardiomyocyte 4	1
cd8 positive effector memory t cell	ventricular cardiomyocyte 5	1
cd8 positive effector memory t cells re expressing cd45ra	circulating classical monocyte	1
cd8 positive effector memory t cells re expressing cd45ra	circulating non classical monocyte	1
cd8 positive effector memory t cells re expressing cd45ra	exhausted t cell	1
cd8 positive effector memory t cells re expressing cd45ra	exhausted t cell cluster 8	1
cd8 positive effector memory t cells re expressing cd45ra	fn1 positive tumor associated macrophage	1
cd8 positive effector memory t cells re expressing cd45ra	gamma delta t cell vd1	1
cd8 positive effector memory t cells re expressing cd45ra	gamma delta t cell vd2	1
cd8 positive effector memory t cells re expressing cd45ra	macrophage	1
cd8 positive effector memory t cells re expressing cd45ra	mast cell	1
cd8 positive effector memory t cells re expressing cd45ra	mhc ii tumor associated macrophage	1
cd8 positive effector memory t cells re expressing cd45ra	natural killer cell	1
cd8 positive effector memory t cells re expressing cd45ra	plasmacytoid dendritic cell	1
cd8 positive effector memory t cells re expressing cd45ra	resident memory t cell	1
cd8 positive effector memory t cells re expressing cd45ra	spp1 positive tumor associated macrophage	1
cd8 positive effector memory t cells re expressing cd45ra	tissue resident macrophage 2	1
cd8 positive effector memory t cells re expressing cd45ra	tissue resident macrophage 3	1
cd8 positive effector memory t cells re expressing cd45ra	tumor cell	1
cd8 positive effector memory t cells re expressing cd45ra	type 1 conventional dendritic cell	1
cd8 positive effector memory t cells re expressing cd45ra	type 2 conventional dendritic cell	1
cd8 positive effector t cell	cd8 positive t cell cluster 0 1 3	1
cd8 positive effector t cell	cd8 positive t cell cluster 0 1 4	1
cd8 positive effector t cell	gamma delta t cell	1
cd8 positive effector t cell	gamma delta t cell with type 17 polarization	1
cd8 positive effector t cell	lamina propria cd4 positive t cell cluster 7	1
cd8 positive effector t cell	lamina propria effector cd8 positive t cell	1
cd8 positive effector t cell	lamina propria naïve t cell	1
cd8 positive effector t cell	lamina propria regulatory t cell	1
cd8 positive effector t cell	lamina propria t follicular helper cell	1
cd8 positive effector t cell	lamina propria t helper 17 cell	1
cd8 positive effector t cell	naïve cd4 positive t cell	1
cd8 positive effector t cell	quiescent t helper 17 cell	1
cd8 positive effector t cell	regulatory t cell	1
cd8 positive effector t cell	t follicular helper cell	1
cd8 positive effector t cell	t follicular helper cell cluster 5 8 1	1
cd8 positive effector t cell	t follicular helper cell cluster 5 8 4	1
cd8 positive effector t cell	t helper 17 cell	1
cd8 positive effector t cell	tissue resident cd8 positive t cell	1
cd8 positive effector t cell	tissue resident cd8 positive t cell cluster 0 1 1	1
cd8 positive effector t cell	tissue resident cd8 positive t cell cluster 0 1 2	1
cd8 positive effector t cell	tissue resident cd8 positive t cell cluster 1	1
cd8 positive effector t cell	type 1 regulatory t cell	1
cd8 positive gzmb t cell	cd8 positive gzmk t cell	1
cd8 positive gzmb t cell	cd8 t cell	1
cd8 positive gzmb t cell	cxcl13 positive activated cd4 positive t cell	1
cd8 positive gzmb t cell	dendritic cell	1
cd8 positive gzmb t cell	detoxification inflammatory cancer associated fibroblast	1
cd8 positive gzmb t cell	endothelial cell	1
cd8 positive gzmb t cell	epithelial cell	1
cd8 positive gzmb t cell	extracellular matrix myofibroblastic cancer associated fibroblast	1
cd8 positive gzmb t cell	fibroblast	1
cd8 positive gzmb t cell	foxp3 positive cd4 positive regulatory t cell	1
cd8 positive gzmb t cell	inflammatory cancer associated fibroblast	1
cd8 positive gzmb t cell	interleukin inflammatory cancer associated fibroblast	1
cd8 positive gzmb t cell	monocyte	1
cd8 positive gzmb t cell	myeloid cell	1
cd8 positive gzmb t cell	myofibroblastic cancer associated fibroblast	1
cd8 positive gzmb t cell	t cell	1
cd8 positive gzmb t cell	transforming growth factor beta myofibroblastic cancer associated fibroblast	1
cd8 positive gzmb t cell	tumor associated macrophage	1
cd8 positive gzmb t cell	wound myofibroblastic cancer associated fibroblast	1
cd8 positive gzmk t cell	cd8 t cell	1
cd8 positive gzmk t cell	cxcl13 positive activated cd4 positive t cell	1
cd8 positive gzmk t cell	dendritic cell	1
cd8 positive gzmk t cell	detoxification inflammatory cancer associated fibroblast	1
cd8 positive gzmk t cell	endothelial cell	1
cd8 positive gzmk t cell	epithelial cell	1
cd8 positive gzmk t cell	extracellular matrix myofibroblastic cancer associated fibroblast	1
cd8 positive gzmk t cell	fibroblast	1
cd8 positive gzmk t cell	foxp3 positive cd4 positive regulatory t cell	1
cd8 positive gzmk t cell	inflammatory cancer associated fibroblast	1
cd8 positive gzmk t cell	interleukin inflammatory cancer associated fibroblast	1
cd8 positive gzmk t cell	monocyte	1
cd8 positive gzmk t cell	myeloid cell	1
cd8 positive gzmk t cell	myofibroblastic cancer associated fibroblast	1
cd8 positive gzmk t cell	t cell	1
cd8 positive gzmk t cell	transforming growth factor beta myofibroblastic cancer associated fibroblast	1
cd8 positive gzmk t cell	tumor associated macrophage	1
cd8 positive gzmk t cell	wound myofibroblastic cancer associated fibroblast	1
cd8 positive naive t cell	cd8 positive regulatory t cell	1
cd8 positive naive t cell	classic t helper 1 cell	1
cd8 positive naive t cell	effector natural killer cell	1
cd8 positive naive t cell	mature b cell	1
cd8 positive naive t cell	naive t cell	1
cd8 positive naive t cell	natural killer cell	1
cd8 positive naive t cell	regulatory b cell	1
cd8 positive naive t cell	regulatory natural killer cell	1
cd8 positive naive t cell	regulatory t cell	1
cd8 positive naive t cell	t cell	1
cd8 positive naive t cell	t helper 17 cell	1
cd8 positive naive t cell	th1 17 cell	1
cd8 positive regulatory t cell	classic t helper 1 cell	1
cd8 positive regulatory t cell	effector natural killer cell	1
cd8 positive regulatory t cell	mature b cell	1
cd8 positive regulatory t cell	naive t cell	1
cd8 positive regulatory t cell	natural killer cell	1
cd8 positive regulatory t cell	regulatory b cell	1
cd8 positive regulatory t cell	regulatory natural killer cell	1
cd8 positive regulatory t cell	regulatory t cell	1
cd8 positive regulatory t cell	t cell	1
cd8 positive regulatory t cell	t helper 17 cell	1
cd8 positive regulatory t cell	th1 17 cell	1
cd8 positive t cell	cd8a positive exhausted immediate early genes t cell	1
cd8 positive t cell	cd8a positive proliferating t cell	1
cd8 positive t cell	cd8a positive tissue resident t cell	1
cd8 positive t cell	cell precursor	1
cd8 positive t cell	chronic obstructive pulmonary disease induced injury cell	1
cd8 positive t cell	club cell	1
cd8 positive t cell	cluster 21	1
cd8 positive t cell	colitis associated cd4 positive t cell	1
cd8 positive t cell	conventional dendritic cell	1
cd8 positive t cell	cross presenting dendritic cell	1
cd8 positive t cell	cycling cd8 t cell	1
cd8 positive t cell	cycling t cell	1
cd8 positive t cell	cytotoxic cd4 positive t cell	1
cd8 positive t cell	cytotoxic cell	1
cd8 positive t cell	cytotoxic t cell cd8 c9 gnly	1
cd8 positive t cell	dermal fibroblast	1
cd8 positive t cell	differentiated pericyte	1
cd8 positive t cell	double negative t cell	1
cd8 positive t cell	effector memory cd4 positive t cell	1
cd8 positive t cell	effector memory cd8 positive t cell	1
cd8 positive t cell	endothelial cell	1
cd8 positive t cell	endothelial stalk like subtype	1
cd8 positive t cell	erythroblast	1
cd8 positive t cell	erythrocyte	1
cd8 positive t cell	erythroid cell	1
cd8 positive t cell	exhausted cd4 positive t cell	1
cd8 positive t cell	exhausted cd8 positive t cell	1
cd8 positive t cell	exhaustion t cell cd8 c5 pdcd1	1
cd8 positive t cell	fcgr3a positive monocyte	1
cd8 positive t cell	follicular b cell	1
cd8 positive t cell	immature pericyte	1
cd8 positive t cell	inflammatory cancer associated fibroblast	1
cd8 positive t cell	inflammatory fibroblast	1
cd8 positive t cell	interferon responsive effector memory cd8 positive t cell	1
cd8 positive t cell	langerhans cell	1
cd8 positive t cell	late stage activated b cell	1
cd8 positive t cell	luminal adaptive secretory precursor alveolar progenitor cell	1
cd8 positive t cell	luminal adaptive secretory precursor cell	1
cd8 positive t cell	luminal hormone sensing cell	1
cd8 positive t cell	luminal hormone sensing hormone sensing alpha cell	1
cd8 positive t cell	melanocyte	1
cd8 positive t cell	memory b cell	1
cd8 positive t cell	memory t cell cd4 c2 cd69	1
cd8 positive t cell	memory t cell cd8 c3 il7r	1
cd8 positive t cell	memory t cell cd8 c4 gzmk	1
cd8 positive t cell	microglial cell	1
cd8 positive t cell	monocyte and macrophage	1
cd8 positive t cell	monocyte derived dendritic cell	1
cd8 positive t cell	monocyte macrophage cell	1
cd8 positive t cell	mucosa associated lymphoid tissue derived b cell	1
cd8 positive t cell	mucosal associated invariant t cell cd8 c10 ncr3	1
cd8 positive t cell	naive b cell	1
cd8 positive t cell	naive cytotoxic t cell	1
cd8 positive t cell	natural killer and natural killer t cell	1
cd8 positive t cell	natural killer t cell	1
cd8 positive t cell	naïve cd4 positive t cell	1
cd8 positive t cell	naïve cd8 positive t cell	1
cd8 positive t cell	naïve t cell	1
cd8 positive t cell	nerve cell	1
cd8 positive t cell	neuron	1
cd8 positive t cell	neutrophil like cell	1
cd8 positive t cell	nk like t cell	1
cd8 positive t cell	normal plasma cell	1
cd8 positive t cell	oligodendrocyte	1
cd8 positive t cell	pd 1 positive cd8 t cell	1
cd8 positive t cell	pericyte	1
cd8 positive t cell	plasma cell subpopulation r 3	1
cd8 positive t cell	plasmablast	1
cd8 positive t cell	platelet	1
cd8 positive t cell	plzf positive t cell	1
cd8 positive t cell	pre exhaustion t cell cd8 c6 cxcl13	1
cd8 positive t cell	precursor memory cd4 positive t cell	1
cd8 positive t cell	primitive b cell	1
cd8 positive t cell	proliferating endothelial cell	1
cd8 positive t cell	proliferative lymphocyte	1
cd8 positive t cell	proliferative pre exhaustion t cell cd4 cd8 c6 c7 mki67 cxcl13	1
cd8 positive t cell	regulatory t cell cd4 c10 foxp3	1
cd8 positive t cell	regulatory t cell cluster 1	1
cd8 positive t cell	respiratory epithelial cell	1
cd8 positive t cell	t follicular helper cell	1
cd8 positive t cell	t helper 1 effector cell	1
cd8 positive t cell	t helper 17 cell	1
cd8 positive t cell	t helper cell	1
cd8 positive t cell	tcr alpha beta t cell	1
cd8 positive t cell	tcr gamma delta like t cell	1
cd8 positive t cell	transitional b cell	1
cd8 positive t cell	tumor associated macrophage hla high	1
cd8 positive t cell	tumor associated macrophage hla intermediate	1
cd8 positive t cell	tumor associated macrophage interferon stimulated gene high	1
cd8 positive t cell	tumor associated macrophage interferon stimulated gene intermediate	1
cd8 positive t cell	tumor infiltrating immune cell	1
cd8 positive t cell	tumor infiltrating natural killer cell	1
cd8 positive t cell	vγ9vδ2 gamma delta t cell	1
cd8 positive t cell cluster 0 1 3	cd8 positive t cell cluster 0 1 4	1
cd8 positive t cell cluster 0 1 3	gamma delta t cell	1
cd8 positive t cell cluster 0 1 3	gamma delta t cell with type 17 polarization	1
cd8 positive t cell cluster 0 1 3	lamina propria cd4 positive t cell cluster 7	1
cd8 positive t cell cluster 0 1 3	lamina propria effector cd8 positive t cell	1
cd8 positive t cell cluster 0 1 3	lamina propria naïve t cell	1
cd8 positive t cell cluster 0 1 3	lamina propria regulatory t cell	1
cd8 positive t cell cluster 0 1 3	lamina propria t follicular helper cell	1
cd8 positive t cell cluster 0 1 3	lamina propria t helper 17 cell	1
cd8 positive t cell cluster 0 1 3	naïve cd4 positive t cell	1
cd8 positive t cell cluster 0 1 3	quiescent t helper 17 cell	1
cd8 positive t cell cluster 0 1 3	regulatory t cell	1
cd8 positive t cell cluster 0 1 3	t follicular helper cell	1
cd8 positive t cell cluster 0 1 3	t follicular helper cell cluster 5 8 1	1
cd8 positive t cell cluster 0 1 3	t follicular helper cell cluster 5 8 4	1
cd8 positive t cell cluster 0 1 3	t helper 17 cell	1
cd8 positive t cell cluster 0 1 3	tissue resident cd8 positive t cell	1
cd8 positive t cell cluster 0 1 3	tissue resident cd8 positive t cell cluster 0 1 1	1
cd8 positive t cell cluster 0 1 3	tissue resident cd8 positive t cell cluster 0 1 2	1
cd8 positive t cell cluster 0 1 3	tissue resident cd8 positive t cell cluster 1	1
cd8 positive t cell cluster 0 1 3	type 1 regulatory t cell	1
cd8 positive t cell cluster 0 1 4	gamma delta t cell	1
cd8 positive t cell cluster 0 1 4	gamma delta t cell with type 17 polarization	1
cd8 positive t cell cluster 0 1 4	lamina propria cd4 positive t cell cluster 7	1
cd8 positive t cell cluster 0 1 4	lamina propria effector cd8 positive t cell	1
cd8 positive t cell cluster 0 1 4	lamina propria naïve t cell	1
cd8 positive t cell cluster 0 1 4	lamina propria regulatory t cell	1
cd8 positive t cell cluster 0 1 4	lamina propria t follicular helper cell	1
cd8 positive t cell cluster 0 1 4	lamina propria t helper 17 cell	1
cd8 positive t cell cluster 0 1 4	naïve cd4 positive t cell	1
cd8 positive t cell cluster 0 1 4	quiescent t helper 17 cell	1
cd8 positive t cell cluster 0 1 4	regulatory t cell	1
cd8 positive t cell cluster 0 1 4	t follicular helper cell	1
cd8 positive t cell cluster 0 1 4	t follicular helper cell cluster 5 8 1	1
cd8 positive t cell cluster 0 1 4	t follicular helper cell cluster 5 8 4	1
cd8 positive t cell cluster 0 1 4	t helper 17 cell	1
cd8 positive t cell cluster 0 1 4	tissue resident cd8 positive t cell	1
cd8 positive t cell cluster 0 1 4	tissue resident cd8 positive t cell cluster 0 1 1	1
cd8 positive t cell cluster 0 1 4	tissue resident cd8 positive t cell cluster 0 1 2	1
cd8 positive t cell cluster 0 1 4	tissue resident cd8 positive t cell cluster 1	1
cd8 positive t cell cluster 0 1 4	type 1 regulatory t cell	1
cd8 positive t cell cluster 3	cd8 positive t cell cluster 3 and cluster 7	1
