paper_key	paper_id	collection	organism	source_sha256	manuscript	title	title_key	article_key
biorxiv:c07140e5-7138-1014-aa16-8cb2f542cef3	c07140e5-7138-1014-aa16-8cb2f542cef3	biorxiv	homo_sapiens	sha256:2387048717ec04e862e540bad13423cca292041dd1d3c91b3ae37927226496f1	data/biorxiv/meca/c07140e5-7138-1014-aa16-8cb2f542cef3/manuscript.md	Immunological Differences in Atopic Dermatitis Across Age Groups: Insights from Single-Cell Multi-Omics	immunological differences in atopic dermatitis across age groups insights from single cell multi omics	title:immunological differences in atopic dermatitis across age groups insights from single cell multi omics
biorxiv:c1436242-7e00-1014-8781-e96dead562dc	c1436242-7e00-1014-8781-e96dead562dc	biorxiv	homo_sapiens	sha256:c7a436eac86eb0e63eb16ef38d31989bccfe9a25513956025efd7a91d38854b1	data/biorxiv/meca/c1436242-7e00-1014-8781-e96dead562dc/manuscript.md	Harnessing fusion of genome-edited human stem cells to rapidly screen for novel protein functions in vivo	harnessing fusion of genome edited human stem cells to rapidly screen for novel protein functions in vivo	title:harnessing fusion of genome edited human stem cells to rapidly screen for novel protein functions in vivo
biorxiv:c245f005-7ab6-1014-adbd-b49bd8bfffbc	c245f005-7ab6-1014-adbd-b49bd8bfffbc	biorxiv	homo_sapiens	sha256:fdaa1d9896f4d01078ee6ca965f738570c86967a6c7dd7d443e95d5ca57812b0	data/biorxiv/meca/c245f005-7ab6-1014-adbd-b49bd8bfffbc/manuscript.md	Comparative Analysis of Feature Selection Methods for Single-Cell RNA Sequencing Data	comparative analysis of feature selection methods for single cell rna sequencing data	title:comparative analysis of feature selection methods for single cell rna sequencing data
biorxiv:c30e389a-73a7-1014-9bc0-cb3de927a980	c30e389a-73a7-1014-9bc0-cb3de927a980	biorxiv	homo_sapiens	sha256:18c03f29fa2417f3261cc6bf885a3101f688e15574dae7a141e44c9addb06f27	data/biorxiv/meca/c30e389a-73a7-1014-9bc0-cb3de927a980/manuscript.md	eSPred: Explainable scRNA-seq Prediction via Customized Foundation Models and Pathway-Aware Fine-tuning	espred explainable scrna seq prediction via customized foundation models and pathway aware fine tuning	title:espred explainable scrna seq prediction via customized foundation models and pathway aware fine tuning
biorxiv:c3542d06-7126-1014-b3f4-de087ca8dc6c	c3542d06-7126-1014-b3f4-de087ca8dc6c	biorxiv	homo_sapiens	sha256:13cb771de1f3b6784ac1de1ed05946c8d56767340782016fee181145303d5ba4	data/biorxiv/meca/c3542d06-7126-1014-b3f4-de087ca8dc6c/manuscript.md	Brain-Metastatic Melanoma Models Uncover Immune and Molecular Correlates of Response to Immunotherapy	brain metastatic melanoma models uncover immune and molecular correlates of response to immunotherapy	title:brain metastatic melanoma models uncover immune and molecular correlates of response to immunotherapy
biorxiv:c3556304-707d-1014-b47e-8d7767eb41eb	c3556304-707d-1014-b47e-8d7767eb41eb	biorxiv	homo_sapiens	sha256:f1190f82917a273d89070b114032f05cacfd112d241c2538c46d6eeb1947e4ce	data/biorxiv/meca/c3556304-707d-1014-b47e-8d7767eb41eb/manuscript.md	Combining Bulk and Single-Cell RNA Sequencing Data to Identify RNA methylation and Autophagy-Related Signatures in Patients with Chronic Obstructive Pulmonary Disease	combining bulk and single cell rna sequencing data to identify rna methylation and autophagy related signatures in patients with chronic obstructive pulmonary disease	title:combining bulk and single cell rna sequencing data to identify rna methylation and autophagy related signatures in patients with chronic obstructive pulmonary disease
biorxiv:c37c4c27-6d25-1014-a7a4-b416d496387c	c37c4c27-6d25-1014-a7a4-b416d496387c	biorxiv	homo_sapiens	sha256:6284c2998020f031e5b8554e216e2af9726767c8b49993c051bbb1d0480990ec	data/biorxiv/meca/c37c4c27-6d25-1014-a7a4-b416d496387c/manuscript.md	Cyclic pentapeptide cRGDfK enhances the inhibitory effect of sunitinib on TGF-β1-induced epithelial-to-mesenchymal transition in human non-small cell lung cancer cells	cyclic pentapeptide crgdfk enhances the inhibitory effect of sunitinib on tgf β1 induced epithelial to mesenchymal transition in human non small cell lung cancer cells	title:cyclic pentapeptide crgdfk enhances the inhibitory effect of sunitinib on tgf β1 induced epithelial to mesenchymal transition in human non small cell lung cancer cells
biorxiv:c401ab09-6e64-1014-b937-b2bead7f53ae	c401ab09-6e64-1014-b937-b2bead7f53ae	biorxiv	homo_sapiens	sha256:8f6b900806a3fd74369c8e64dcb80c6cd454cf22c744cf2f69fb9300fa26cecb	data/biorxiv/meca/c401ab09-6e64-1014-b937-b2bead7f53ae/manuscript.md	Single-cell and spatial transcriptomic analyses of gene therapy-associated retinal inflammation in non-human primates	single cell and spatial transcriptomic analyses of gene therapy associated retinal inflammation in non human primates	title:single cell and spatial transcriptomic analyses of gene therapy associated retinal inflammation in non human primates
biorxiv:c44b867a-6c42-1014-b7c5-f50f057eeaf1	c44b867a-6c42-1014-b7c5-f50f057eeaf1	biorxiv	homo_sapiens	sha256:77386c129b492b017d553576a262b23bce308b4023afd3f2e9e9ffc862239aab	data/biorxiv/meca/c44b867a-6c42-1014-b7c5-f50f057eeaf1/manuscript.md	A metaproteomics method to determine carbon sources and assimilation pathways of species in microbial communities	a metaproteomics method to determine carbon sources and assimilation pathways of species in microbial communities	title:a metaproteomics method to determine carbon sources and assimilation pathways of species in microbial communities
biorxiv:c469fa59-6eb1-1014-8213-d8a1340c6773	c469fa59-6eb1-1014-8213-d8a1340c6773	biorxiv	homo_sapiens	sha256:b9c94b6b316162e4c739b1c6794a177abd494d81d10a6986e704ff2153352708	data/biorxiv/meca/c469fa59-6eb1-1014-8213-d8a1340c6773/manuscript.md	STHELAR, a multi-tissue dataset linking spatial transcriptomics and histology for cell type annotation	sthelar a multi tissue dataset linking spatial transcriptomics and histology for cell type annotation	title:sthelar a multi tissue dataset linking spatial transcriptomics and histology for cell type annotation
biorxiv:c507fe4c-740e-1014-8455-8c072e8f204f	c507fe4c-740e-1014-8455-8c072e8f204f	biorxiv	homo_sapiens	sha256:3a909e7c38b4423c7cf3614f608cf5d366b39ee5fcc6f839438de41520db5e7e	data/biorxiv/meca/c507fe4c-740e-1014-8455-8c072e8f204f/manuscript.md	The ACE2 expression of maternal-fetal interface and fetal organs indicates potential risk of vertical transmission of SARS-COV-2	the ace2 expression of maternal fetal interface and fetal organs indicates potential risk of vertical transmission of sars cov 2	title:the ace2 expression of maternal fetal interface and fetal organs indicates potential risk of vertical transmission of sars cov 2
biorxiv:c55f45c7-7001-1014-966f-865cda24634e	c55f45c7-7001-1014-966f-865cda24634e	biorxiv	homo_sapiens	sha256:52fb0988317190d54286c87af10a9f574d0c6867871eea41e21423622569ccf5	data/biorxiv/meca/c55f45c7-7001-1014-966f-865cda24634e/manuscript.md	Spatial and Single-Cell Dissection of Fibroblast Subpopulation Reprogramming Driving Stromal Collapse in Breast Cancer Lymph Node Metastasis	spatial and single cell dissection of fibroblast subpopulation reprogramming driving stromal collapse in breast cancer lymph node metastasis	title:spatial and single cell dissection of fibroblast subpopulation reprogramming driving stromal collapse in breast cancer lymph node metastasis
biorxiv:c6143e89-6c0b-1014-83d4-d632a03fd1ab	c6143e89-6c0b-1014-83d4-d632a03fd1ab	biorxiv	homo_sapiens	sha256:13eb36b8c3c726fe7635eefac8c0ecbdb8fb25576f911b7eefc864f54ca98987	data/biorxiv/meca/c6143e89-6c0b-1014-83d4-d632a03fd1ab/manuscript.md	Single-cell RNA-sequencing of differentiating iPS cells reveals dynamic genetic effects on gene expression	single cell rna sequencing of differentiating ips cells reveals dynamic genetic effects on gene expression	title:single cell rna sequencing of differentiating ips cells reveals dynamic genetic effects on gene expression
biorxiv:c6b2e62c-6bf8-1014-b389-a9824584e0b5	c6b2e62c-6bf8-1014-b389-a9824584e0b5	biorxiv	homo_sapiens	sha256:e5c5e473baefb72a045930d749501a50417db7e9b7309101acb7b246e2b9dee5	data/biorxiv/meca/c6b2e62c-6bf8-1014-b389-a9824584e0b5/manuscript.md	Time series scRNAseq analysis in mouse and human informs optimization of rapid astrocyte differentiation protocols	time series scrnaseq analysis in mouse and human informs optimization of rapid astrocyte differentiation protocols	title:time series scrnaseq analysis in mouse and human informs optimization of rapid astrocyte differentiation protocols
biorxiv:c704e998-6f4b-1014-8cb1-c3d28b577fb8	c704e998-6f4b-1014-8cb1-c3d28b577fb8	biorxiv	homo_sapiens	sha256:a9bdff9fc231cfea8cb5149cb70970674d693c2ad11eed342fd2b47b8e65c652	data/biorxiv/meca/c704e998-6f4b-1014-8cb1-c3d28b577fb8/manuscript.md	SCRINSHOT, a spatial method for single-cell resolution mapping of cell states in tissue sections	scrinshot a spatial method for single cell resolution mapping of cell states in tissue sections	title:scrinshot a spatial method for single cell resolution mapping of cell states in tissue sections
biorxiv:c726ab95-75a7-1014-b622-e9e3c1c8cc21	c726ab95-75a7-1014-b622-e9e3c1c8cc21	biorxiv	homo_sapiens	sha256:79917e69d724e04a8ddb207c9c2a8a4e957d75f95f5bc0ca0be869cb3b812818	data/biorxiv/meca/c726ab95-75a7-1014-b622-e9e3c1c8cc21/manuscript.md	Predicting targeted- and immunotherapeutic response outcomes in melanoma with single-cell Raman Spectroscopy and AI	predicting targeted and immunotherapeutic response outcomes in melanoma with single cell raman spectroscopy and ai	title:predicting targeted and immunotherapeutic response outcomes in melanoma with single cell raman spectroscopy and ai
biorxiv:c76d6411-6c1b-1014-9c6c-d15290f07074	c76d6411-6c1b-1014-9c6c-d15290f07074	biorxiv	homo_sapiens	sha256:5a9aa2e852fb6b05ad58200746e6b54d1e8e18725352c7f1ee3fb1f51eec8cc4	data/biorxiv/meca/c76d6411-6c1b-1014-9c6c-d15290f07074/manuscript.md	Recovery of high quality metagenome–assembled genomes from full–scale activated sludge microbial communities in a tropical climate using longitudinal metagenome sampling	recovery of high quality metagenome assembled genomes from full scale activated sludge microbial communities in a tropical climate using longitudinal metagenome sampling	title:recovery of high quality metagenome assembled genomes from full scale activated sludge microbial communities in a tropical climate using longitudinal metagenome sampling
biorxiv:c78d9bda-6cc0-1014-aba5-dba9dd700073	c78d9bda-6cc0-1014-aba5-dba9dd700073	biorxiv	homo_sapiens	sha256:eaa911319396b11dfc258c2fb68a967f0d9e3aeda632b0f5577fbc283a0342d5	data/biorxiv/meca/c78d9bda-6cc0-1014-aba5-dba9dd700073/manuscript.md	A Single-Cell RNA-Seq Analysis Unravels the Heterogeniety of Primary Cultured Human Corneal Endothelial Cells	a single cell rna seq analysis unravels the heterogeniety of primary cultured human corneal endothelial cells	title:a single cell rna seq analysis unravels the heterogeniety of primary cultured human corneal endothelial cells
biorxiv:c7fdc9c2-6d13-1014-a5fd-e51b1c35a4eb	c7fdc9c2-6d13-1014-a5fd-e51b1c35a4eb	biorxiv	homo_sapiens	sha256:2d862d1ed62868b04a67173a69a84367aadb157298088ff288d5163f3f5eaa2a	data/biorxiv/meca/c7fdc9c2-6d13-1014-a5fd-e51b1c35a4eb/manuscript.md	Single-cell alternative polyadenylation analysis reveals mechanistic insights of COVID-19-associated neurological and psychiatric effects	single cell alternative polyadenylation analysis reveals mechanistic insights of covid 19 associated neurological and psychiatric effects	title:single cell alternative polyadenylation analysis reveals mechanistic insights of covid 19 associated neurological and psychiatric effects
biorxiv:c8264099-6fc3-1014-9d27-9ae05a0c1d33	c8264099-6fc3-1014-9d27-9ae05a0c1d33	biorxiv	homo_sapiens	sha256:25beaeebedce24cc33583d0baef5df0474bdb056eb4c54f470f313bf26aaaaec	data/biorxiv/meca/c8264099-6fc3-1014-9d27-9ae05a0c1d33/manuscript.md	HCNetlas: Human cell network atlas enabling cell type-resolved disease genetics	hcnetlas human cell network atlas enabling cell type resolved disease genetics	title:hcnetlas human cell network atlas enabling cell type resolved disease genetics
biorxiv:c881e1d4-6d20-1014-aa98-eaf9fa04b7f7	c881e1d4-6d20-1014-aa98-eaf9fa04b7f7	biorxiv	homo_sapiens	sha256:3cbf838aac73a3aaf654984dd75db583756c56e6458a49793ebfa8f0cb22c3f9	data/biorxiv/meca/c881e1d4-6d20-1014-aa98-eaf9fa04b7f7/manuscript.md	Characterization of DNA methylation in PBMCs and donor-matched iPSCs shows methylation is reset during stem cell reprogramming	characterization of dna methylation in pbmcs and donor matched ipscs shows methylation is reset during stem cell reprogramming	title:characterization of dna methylation in pbmcs and donor matched ipscs shows methylation is reset during stem cell reprogramming
biorxiv:c8f9d552-6e64-1014-afd7-c84b975ea2bc	c8f9d552-6e64-1014-afd7-c84b975ea2bc	biorxiv	homo_sapiens	sha256:6777693eb5bb78793cdb38bb110e61d9974e54df1c9c7e7a2b2ee52b79efffb5	data/biorxiv/meca/c8f9d552-6e64-1014-afd7-c84b975ea2bc/manuscript.md	CDSeqR: fast complete deconvolution for gene expression data from bulk tissues	cdseqr fast complete deconvolution for gene expression data from bulk tissues	title:cdseqr fast complete deconvolution for gene expression data from bulk tissues
biorxiv:c8fe422e-6d72-1014-aeeb-bf7eaee56857	c8fe422e-6d72-1014-aeeb-bf7eaee56857	biorxiv	homo_sapiens	sha256:d9cff96bde4f29ffaf9f93fab3e718d4951526b9b5628f0f9a432a50d88585c0	data/biorxiv/meca/c8fe422e-6d72-1014-aeeb-bf7eaee56857/manuscript.md	Robust and accurate method for measuring tumor volume using optical 3D scanning for nonclinical in vivo efficacy study	robust and accurate method for measuring tumor volume using optical 3d scanning for nonclinical in vivo efficacy study	title:robust and accurate method for measuring tumor volume using optical 3d scanning for nonclinical in vivo efficacy study
biorxiv:c94927bb-7bec-1014-9cd8-fedd121e156b	c94927bb-7bec-1014-9cd8-fedd121e156b	biorxiv	homo_sapiens	sha256:6b1cbaee45e81c5f9baddbb8aa9a53bc70a715b3cceb978a89688cf30ca2f3b4	data/biorxiv/meca/c94927bb-7bec-1014-9cd8-fedd121e156b/manuscript.md	ICE: An imputation framework for detecting cellular senescence using weak single-cell signatures	ice an imputation framework for detecting cellular senescence using weak single cell signatures	title:ice an imputation framework for detecting cellular senescence using weak single cell signatures
biorxiv:c9b5d159-6bf4-1014-899f-f1facd16a4ba	c9b5d159-6bf4-1014-899f-f1facd16a4ba	biorxiv	homo_sapiens	sha256:fd214c0f04e1d8d065091dbb43d77a1d767fcc8ebe56f8eadca60617a2dfcab8	data/biorxiv/meca/c9b5d159-6bf4-1014-899f-f1facd16a4ba/manuscript.md	Moiety Modeling Framework for Deriving Moiety Abundances from Mass Spectrometry Measured Isotopologues	moiety modeling framework for deriving moiety abundances from mass spectrometry measured isotopologues	title:moiety modeling framework for deriving moiety abundances from mass spectrometry measured isotopologues
