"cellType"	"gene"	"log1p_FC"	"pct.ipf"	"pct.ctrl"	"wilcox.p"	"wilcox.fdr"	"wilcox.bonferroni"
"159"	"ncMonocyte"	"MGST2"	0.493911848669845	0.96875	0.961538461538462	0.000175078778315695	0.000507728457115517	0.0812365531384827
"160"	"ncMonocyte"	"ARHGDIB"	0.444940203580479	0.96875	0.961538461538462	0.000175078778315695	0.000507728457115517	0.0812365531384827
"161"	"ncMonocyte"	"TPT1"	0.434879280817841	0.96875	1	0.000177637121916754	0.000508787805983788	0.0824236245693737
"162"	"ncMonocyte"	"HLA-DPA1"	0.488228755935067	1	0.961538461538462	0.000177637121916754	0.000508787805983788	0.0824236245693737
"163"	"ncMonocyte"	"SRSF5"	0.347191476281576	0.9375	0.923076923076923	0.000180248492712917	0.00051310000379628	0.0836353006187937
"164"	"ncMonocyte"	"RPS12"	0.639835476101473	1	1	0.000190477395698277	0.000537245630505352	0.0883815116040004
"165"	"ncMonocyte"	"CXCR4"	0.575736600482608	0.96875	0.923076923076923	0.000192073058917093	0.000537245630505352	0.0891218993375311
"166"	"ncMonocyte"	"FOXK2"	-0.251917741600955	0.9375	1	0.000192204255741139	0.000537245630505352	0.0891827746638884
"167"	"ncMonocyte"	"TNFRSF21"	-0.427931247088085	0.84375	0.961538461538462	0.000196730562751917	0.000546604677346642	0.0912829811168893
"168"	"ncMonocyte"	"ID2"	0.306965153054672	0.96875	1	0.000204168008301964	0.000558117814914302	0.0947339558521112
"169"	"ncMonocyte"	"ADGRE2"	-0.393222680023349	0.96875	1	0.000204168008301964	0.000558117814914302	0.0947339558521112
"170"	"ncMonocyte"	"VAV2"	-0.360570526368526	0.9375	1	0.000204482820119464	0.000558117814914302	0.0948800285354313
"171"	"ncMonocyte"	"LGALS1"	0.545477506024073	0.96875	0.961538461538462	0.000210894863282242	0.000572252728438365	0.0978552165629605
"172"	"ncMonocyte"	"CFD"	0.471404804989767	0.90625	0.923076923076923	0.000216571184548392	0.000580025806622819	0.100489029630454
"173"	"ncMonocyte"	"STK10"	-0.382550312296438	1	1	0.000218759733101279	0.000580025806622819	0.101504516158993
"174"	"ncMonocyte"	"H3F3A"	0.278442722619488	0.96875	1	0.000218759733101279	0.000580025806622819	0.101504516158993
"175"	"ncMonocyte"	"ARPC2"	0.337499486722625	1	1	0.000218759733101279	0.000580025806622819	0.101504516158993
"176"	"ncMonocyte"	"RAPGEF1"	-0.469438307607251	1	1	0.000234305999165877	0.000614225896118457	0.108717983612967
"177"	"ncMonocyte"	"RPL37"	0.46488243390351	0.96875	1	0.000234305999165877	0.000614225896118457	0.108717983612967
"178"	"ncMonocyte"	"DNAJB1"	0.460352562863914	0.9375	0.846153846153846	0.000244048707869788	0.000632611105255566	0.113238600451581
"179"	"ncMonocyte"	"SOS2"	-0.288834489701285	0.90625	1	0.000245723934615588	0.000632611105255566	0.114015905661633
"180"	"ncMonocyte"	"ATP1A1"	0.276670111247096	0.9375	1	0.000245886496845255	0.000632611105255566	0.114091334536198
"181"	"ncMonocyte"	"MYL6"	0.464988685550605	0.96875	1	0.000250863024497897	0.000632611105255566	0.116400443367024
"182"	"ncMonocyte"	"ASAH1"	0.274252724791597	0.96875	1	0.000250863024497897	0.000632611105255566	0.116400443367024
"183"	"ncMonocyte"	"RPS27A"	0.562531746186918	0.96875	1	0.000250863024497897	0.000632611105255566	0.116400443367024
"184"	"ncMonocyte"	"RACK1"	0.456638739385028	1	1	0.000250863024497897	0.000632611105255566	0.116400443367024
"185"	"ncMonocyte"	"FPR2"	0.420339223558564	0.9375	0.769230769230769	0.000272759285214727	0.000684109774808828	0.126560308339633
"186"	"ncMonocyte"	"CHCHD2"	0.356228405447867	1	0.961538461538462	0.000287248834096028	0.000712745770163406	0.133283459020557
"187"	"ncMonocyte"	"SAT1"	0.317698739292136	1	1	0.000287248834096028	0.000712745770163406	0.133283459020557
"188"	"ncMonocyte"	"PSME1"	0.271778280546	0.9375	0.923076923076923	0.000294487394301706	0.000723908515597147	0.136642150955992
"189"	"ncMonocyte"	"EEF1A1P5"	0.762931096769486	0.96875	0.923076923076923	0.000294867908292803	0.000723908515597147	0.136818709447861
"190"	"ncMonocyte"	"PPARD"	-0.351038684689622	0.96875	0.961538461538462	0.000304099334780652	0.000742642585990644	0.141102091338222
"191"	"ncMonocyte"	"LINC02432"	0.260351587162492	0.96875	0.769230769230769	0.000309736631576048	0.000752449199221395	0.143717797051286
