"cellType"	"gene"	"logFC"	"logDOR"	"Prop.Exp.in"	"Prop.Exp.Out"	"nCells.in"	"nCells.out"
"22"	"AT1"	"KRT19"	2.11698093538941	4.7488182705155	0.883190883190883	0.0612628303603753	1053	306597
"23"	"AT1"	"LAMA3"	1.70520834396098	4.74715546241339	0.797720797720798	0.0330270681056892	1053	306597
"24"	"AT1"	"CAV2"	1.5339620203526	4.65988064111218	0.767331433998101	0.0302351295022456	1053	306597
"25"	"AT1"	"ENSG00000267748"	1.96886083598701	4.62981004721208	0.841405508072175	0.0491002847385982	1053	306597
"26"	"AT1"	"SEMA3B"	1.0017565370298	4.62317027762593	0.607787274453941	0.0149838387198831	1053	306597
"27"	"AT1"	"RTKN2"	1.4210579240242	4.61406004073771	0.658119658119658	0.0187085979314866	1053	306597
"28"	"AT1"	"COL8A1"	1.4994841016054	4.58806836487971	0.735042735042735	0.0274138364041396	1053	306597
"29"	"AT1"	"UPK3B"	0.494153783642911	4.55066640110219	0.333333333333333	0.00525445454456502	1053	306597
"30"	"AT1"	"NEBL"	2.01385554508082	4.54741575332176	0.894586894586895	0.0821925850546483	1053	306597
"31"	"AT1"	"ST6GALNAC5"	0.814942705614087	4.5203694303638	0.469135802469136	0.00952716432319951	1053	306597
"32"	"AT1"	"MSLN"	0.852785591630744	4.51075032672284	0.481481481481481	0.0101012077743748	1053	306597
"33"	"AT1"	"CYP4B1"	1.57116707996827	4.49348763389991	0.773979107312441	0.0368235827486896	1053	306597
"34"	"AT1"	"CLIC5"	1.55850277203946	4.4807871805825	0.783475783475784	0.0393024067424013	1053	306597
"35"	"AT1"	"MAGI1"	2.1452710702208	4.47309812913797	0.930674264007597	0.132121318864829	1053	306597
"36"	"AT1"	"ENSG00000257520"	1.28615244472129	4.44631841198814	0.725546058879392	0.0300231248185729	1053	306597
"37"	"AT1"	"ANXA3"	1.22941671544979	4.44178984460733	0.682811016144349	0.024700176453129	1053	306597
"38"	"AT1"	"MAP2"	1.22663994564825	4.41918200483576	0.661918328584995	0.0230204470363376	1053	306597
"39"	"AT1"	"MYL9"	1.73829498617417	4.37479171218705	0.794871794871795	0.0464420721663943	1053	306597
"40"	"AT1"	"CADM1"	1.85330271491284	4.36760874175662	0.867996201329535	0.0767522187105549	1053	306597
"41"	"AT1"	"ROR1"	1.46123625651417	4.3639824850541	0.746438746438746	0.036070150719022	1053	306597
"42"	"AT1"	"TSPAN13"	1.62571742327414	4.3631218963199	0.799620132953466	0.0482914053301239	1053	306597
"43"	"AT1"	"COL4A3"	1.19265214594715	4.32117769938603	0.676163342830009	0.0269669957631679	1053	306597
"44"	"AT1"	"SDC1"	0.97842150313206	4.30058132664072	0.581196581196581	0.0184639771426335	1053	306597
"45"	"AT1"	"SFTA1P"	0.908087744298807	4.29852301796876	0.530864197530864	0.0151403960247491	1053	306597
"46"	"AT1"	"KHDRBS2"	1.75664817731467	4.29546860888299	0.787274453941121	0.0479456746152115	1053	306597
"47"	"AT1"	"CYP4Z2P"	1.70651009144954	4.28873624101602	0.792972459639126	0.0498537167682658	1053	306597
"48"	"AT1"	"HOPX"	2.18925391715977	4.27498192838681	0.859449192782526	0.0781971121700473	1053	306597
"49"	"AT1"	"ENSG00000276850"	0.867065150673789	4.22095276706052	0.533713200379867	0.0165265804949168	1053	306597
"50"	"AT1"	"DAPK2"	1.44845729034531	4.20113917161352	0.757834757834758	0.0447166802023503	1053	306597
"51"	"AT1"	"NEDD4L"	2.20201088378395	4.13249915466095	0.928774928774929	0.172128233479127	1053	306597
"52"	"AT1"	"ENSG00000271894"	0.623537970753681	4.11706652923861	0.411206077872745	0.0112525562872435	1053	306597
"53"	"AT1"	"COL12A1"	0.835125150128685	4.08851150925008	0.522317188983856	0.0179975668385535	1053	306597
"54"	"AT1"	"NPNT"	0.921759899292127	4.0851886499813	0.57644824311491	0.0223713865432473	1053	306597
"55"	"AT1"	"CLIC3"	1.31095131417351	4.07531084736797	0.683760683760684	0.0353982589523055	1053	306597
"56"	"AT1"	"PKDCC"	0.337240152956086	4.04902969854005	0.245963912630579	0.00566215585932022	1053	306597
"57"	"AT1"	"NTM"	2.76254273806669	4.03601437380339	0.723646723646724	0.0441719912458374	1053	306597
"58"	"AT1"	"FXYD3"	1.55845731331239	3.99153989270212	0.766381766381766	0.0570553527921017	1053	306597
"59"	"AT1"	"ARHGEF26"	1.1879578103585	3.9792756633283	0.677113010446344	0.0377042175885609	1053	306597
"60"	"AT1"	"FLRT3"	0.495267113202391	3.97808129774111	0.35042735042735	0.0100033594588336	1053	306597
"61"	"AT1"	"ENSG00000271758"	0.785791473548247	3.95290167918354	0.467236467236467	0.0165591966000972	1053	306597
"62"	"AT1"	"GJA1"	0.845665766810574	3.93155937252721	0.518518518518518	0.0206818722949018	1053	306597
"63"	"AT1"	"GPM6A"	1.10812933796124	3.91665182230693	0.611585944919278	0.0303786403650394	1053	306597
"64"	"AT1"	"KRT18"	1.69304332626212	3.90796160822311	0.783475783475784	0.0676392789231467	1053	306597
"65"	"AT1"	"MYO16"	1.11456791079618	3.87117130224788	0.595441595441595	0.0297393647035033	1053	306597
"66"	"AT1"	"NDNF"	0.587338602111554	3.86962174948435	0.408357075023742	0.0142010521955531	1053	306597
"67"	"AT1"	"FAM189A2"	0.754882195403961	3.86292320429685	0.47008547008547	0.0182943733956953	1053	306597
"68"	"AT1"	"EPB41L5"	1.46059219181106	3.86192826481239	0.783475783475784	0.0706008212735284	1053	306597
"69"	"AT1"	"C1orf116"	0.44376765858547	3.85549923356279	0.331433998100665	0.0103882294999625	1053	306597
"70"	"AT1"	"TACSTD2"	1.44837494144365	3.84917767418523	0.741690408357075	0.0575609024223981	1053	306597
"71"	"AT1"	"NAPSA"	1.13161567862435	3.84532768656573	0.570750237416904	0.0276323643088484	1053	306597
"72"	"AT1"	"ANXA8L1"	0.723148947430916	3.84321974026999	0.472934472934473	0.0188618936258346	1053	306597
"73"	"AT1"	"PLCXD2"	0.886326896358225	3.84112088415721	0.517568850902184	0.0225116357955231	1053	306597
"74"	"AT1"	"CTSE"	0.413149704184329	3.83100127898132	0.274453941120608	0.00814424146354987	1053	306597
"75"	"AT1"	"GKN2"	0.389833378231545	3.8115957290188	0.283000949667616	0.00865957592540044	1053	306597
"76"	"AT1"	"GPC5"	1.80491647274204	3.81095132977104	0.789173789173789	0.0763738718904621	1053	306597
"77"	"AT1"	"ENSG00000249364"	1.1355521845813	3.80791991630613	0.615384615384615	0.0342762649340992	1053	306597
"78"	"AT1"	"FOLR1"	1.20798041972295	3.80688057961261	0.660968660968661	0.0414876857894891	1053	306597
"79"	"AT1"	"VSIG2"	0.488194414103786	3.74604304044358	0.355175688509022	0.0128442222200478	1053	306597
"80"	"AT1"	"COL4A4"	0.780072326244018	3.72753818285973	0.518518518518518	0.025244865409642	1053	306597
"81"	"AT1"	"ANXA8"	0.425635066975949	3.72436276773671	0.313390313390313	0.010900302351295	1053	306597
"82"	"AT1"	"MYO1B"	1.42586946209502	3.70907254419996	0.752136752136752	0.0691167884878195	1053	306597
