"cellType"	"gene"	"log1p_FC"	"pct.copd"	"pct.ctrl"	"wilcox.p"	"wilcox.fdr"	"wilcox.bonferroni"
"99"	"ncMonocyte"	"NAP1L1"	0.407453784676052	1	1	0.00179414514928698	0.00599860650923221	0.593862044413989
"100"	"ncMonocyte"	"PPM1L"	0.37307502910382	1	1	0.00214462737683402	0.0070055644333915	0.709871661732059
"101"	"ncMonocyte"	"SRSF5"	0.305270084266116	1	0.923076923076923	0.00215881441754058	0.0070055644333915	0.714567572205933
"102"	"ncMonocyte"	"ALDH1A2"	-0.354181126261856	0.888888888888889	1	0.00215881441754058	0.0070055644333915	0.714567572205933
"103"	"ncMonocyte"	"MXD1"	-0.282811170671413	0.944444444444444	0.961538461538462	0.00224662279756219	0.0072197295727484	0.743632145993085
"104"	"ncMonocyte"	"PABPC4"	0.348284028635286	1	0.961538461538462	0.00234181054834959	0.00738227896670204	0.775139291503714
"105"	"ncMonocyte"	"RIPK2"	0.354011826992222	1	0.961538461538462	0.00234181054834959	0.00738227896670204	0.775139291503714
"106"	"ncMonocyte"	"RBM3"	0.261043166392802	1	0.961538461538462	0.00278531645385244	0.00861625931051549	0.921939746225158
"107"	"ncMonocyte"	"FAM157C"	-0.261809069236248	0.944444444444444	1	0.00278531645385244	0.00861625931051549	0.921939746225158
"108"	"ncMonocyte"	"FGR"	0.273435373926746	1	1	0.00996592479297271	0.0206170069154623	1
"109"	"ncMonocyte"	"BAIAP2L1"	0.362364585817109	1	0.884615384615385	0.0175276067135384	0.0314485079902878	1
"110"	"ncMonocyte"	"JARID2"	-0.451636262378765	1	1	0.00632054807611777	0.0151601551680796	1
"111"	"ncMonocyte"	"FYN"	0.285130665636635	1	1	0.00539838984732511	0.0136402064081268	1
"112"	"ncMonocyte"	"PLAUR"	-0.285644720639187	1	1	0.0133086580559522	0.0254633862226599	1
"113"	"ncMonocyte"	"BID"	-0.310744765036196	0.944444444444444	1	0.0215020283895178	0.0359453100855071	1
"114"	"ncMonocyte"	"SLC11A1"	0.389673556245667	0.944444444444444	1	0.00925433833502602	0.0197934609122639	1
"115"	"ncMonocyte"	"VCL"	0.404252275405237	1	0.923076923076923	0.00345299763022821	0.0102048412107637	1
"116"	"ncMonocyte"	"FOXN3"	-0.273312724891802	1	1	0.0142817633387323	0.0267077043227141	1
"117"	"ncMonocyte"	"PKP2"	0.328701166689582	1	0.884615384615385	0.00626542633704886	0.0151601551680796	1
"118"	"ncMonocyte"	"CDC42"	0.311130611005401	1	1	0.0142817633387323	0.0267077043227141	1
"119"	"ncMonocyte"	"PAG1"	0.31687288898956	1	1	0.0142817633387323	0.0267077043227141	1
"120"	"ncMonocyte"	"TUT7"	0.25284684297603	0.944444444444444	1	0.00359098864259438	0.0104264670236732	1
"121"	"ncMonocyte"	"SMAP2"	0.48516878665241	1	1	0.00683143301189584	0.0161514594781252	1
"122"	"ncMonocyte"	"B4GALT1"	-0.264300624279722	1	1	0.0085873870221367	0.0189467124190544	1
"123"	"ncMonocyte"	"IRAK3"	0.283140559202221	1	1	0.0229659209285595	0.0376322763730357	1
"124"	"ncMonocyte"	"PSME1"	0.300476034613144	1	0.923076923076923	0.00583094843041797	0.0146215449277905	1
"125"	"ncMonocyte"	"MYO9B"	-0.393963394798414	1	1	0.0153154973120256	0.0284799416307892	1
"126"	"ncMonocyte"	"HMOX1"	-0.268922926153559	0.944444444444444	0.961538461538462	0.00864336427576197	0.0189467124190544	1
"127"	"ncMonocyte"	"HCK"	-0.267744415908241	1	1	0.0107245818590546	0.0217781386217613	1
"128"	"ncMonocyte"	"VAPA"	0.263153208772825	1	1	0.0085873870221367	0.0189467124190544	1
"129"	"ncMonocyte"	"TNFSF13B"	0.271905380135847	1	1	0.00390212276704992	0.0109457850499451	1
"130"	"ncMonocyte"	"CORO1A"	0.253622843537374	1	0.846153846153846	0.0125834282133895	0.0242518280662836	1
"131"	"ncMonocyte"	"COTL1"	0.434247146473924	1	0.961538461538462	0.0215020283895178	0.0359453100855071	1
"132"	"ncMonocyte"	"ASAH1"	0.259108925741766	1	1	0.00459678037765734	0.0121722744400366	1
"133"	"ncMonocyte"	"RPS19"	0.509150420282185	1	1	0.0175769606592243	0.0314485079902878	1
"134"	"ncMonocyte"	"DNMBP"	0.497466558713977	0.944444444444444	1	0.00796273771357656	0.0178085552918503	1
"135"	"ncMonocyte"	"VSIR"	0.32682116415928	1	0.884615384615385	0.00433186558276084	0.011657296812145	1
"136"	"ncMonocyte"	"MAP3K8"	0.296001491752153	1	1	0.020118205041461	0.0348645333441026	1
"137"	"ncMonocyte"	"DDX5"	0.30508000311765	1	1	0.00796273771357656	0.0178085552918503	1
"138"	"ncMonocyte"	"NFKB1"	-0.474702825096678	1	1	0.00498339672350673	0.0128867524646932	1
"139"	"ncMonocyte"	"AREG"	0.452040574893312	1	0.884615384615385	0.0289285901328669	0.0455969682570425	1
"140"	"ncMonocyte"	"NEDD9"	0.289584155356986	1	1	0.00498339672350673	0.0128867524646932	1
"141"	"ncMonocyte"	"QKI"	-0.312454114348279	1	1	0.00632054807611777	0.0151601551680796	1
"142"	"ncMonocyte"	"FOXP1"	0.295696275824035	1	1	0.0215020283895178	0.0359453100855071	1
"143"	"ncMonocyte"	"KYNU"	-0.490908825029357	1	1	0.00996592479297271	0.0206170069154623	1
"144"	"ncMonocyte"	"DUSP1"	0.358868324604822	1	1	0.0175769606592243	0.0314485079902878	1
"145"	"ncMonocyte"	"G0S2"	-0.352480159863792	0.833333333333333	0.923076923076923	0.0225342161371899	0.037443936184053	1
"146"	"ncMonocyte"	"RREB1"	-0.263247492974499	0.944444444444444	0.961538461538462	0.00926884121269154	0.0197934609122639	1
"147"	"ncMonocyte"	"IL1B"	-0.279286538130576	0.944444444444444	0.923076923076923	0.0256013512930462	0.0411361518349432	1
"148"	"ncMonocyte"	"DOCK4"	-0.586561330427198	1	1	0.0123932839337632	0.024130452835739	1
"149"	"ncMonocyte"	"LSP1"	0.283971840611229	1	0.884615384615385	0.00466860368838778	0.0122643477845743	1
"150"	"ncMonocyte"	"GMFG"	0.282738757030709	1	0.923076923076923	0.0187066017981721	0.0332897053505105	1
"151"	"ncMonocyte"	"SH3BGRL"	0.276987591086044	1	0.961538461538462	0.00303391859340472	0.00921309224235745	1
"152"	"ncMonocyte"	"TRAF3"	-0.255363265891285	1	1	0.020118205041461	0.0348645333441026	1
"153"	"ncMonocyte"	"H3F3B"	0.254319814274989	1	1	0.020118205041461	0.0348645333441026	1
"154"	"ncMonocyte"	"GNS"	-0.252330256665888	0.944444444444444	1	0.0229659209285595	0.0376322763730357	1
"155"	"ncMonocyte"	"RPL14P1"	0.273440956262379	1	0.807692307692308	0.0163647638247885	0.0300146893657177	1
"156"	"ncMonocyte"	"TOB1"	0.256018683051537	1	0.769230769230769	0.00717203760288668	0.0168364854365638	1
"157"	"ncMonocyte"	"SSH2"	0.285272092256089	1	1	0.00996592479297271	0.0206170069154623	1
"158"	"ncMonocyte"	"SH3BGRL3"	0.368682043014995	1	0.923076923076923	0.0307451213565933	0.0475543699487495	1
"159"	"ncMonocyte"	"S100A8"	-0.52649981624304	0.944444444444444	1	0.0296950390582371	0.0461458118698426	1
"160"	"ncMonocyte"	"EML4"	-0.294078686828526	0.944444444444444	0.923076923076923	0.00401729818305569	0.0110000645035425	1
"161"	"ncMonocyte"	"ARID5B"	-0.358667415759482	0.944444444444444	0.961538461538462	0.0121936375886134	0.024130452835739	1
"162"	"ncMonocyte"	"RILPL2"	0.265227585760652	0.944444444444444	1	0.00459678037765734	0.0121722744400366	1
"163"	"ncMonocyte"	"RASSF3"	-0.330876206570437	1	0.961538461538462	0.020118205041461	0.0348645333441026	1
"164"	"ncMonocyte"	"PID1"	-0.334304251291647	0.944444444444444	0.961538461538462	0.019315205810071	0.0341889471825321	1
"165"	"ncMonocyte"	"CHD1"	0.287585338062276	1	1	0.0115328273251236	0.0229961797868429	1
"166"	"ncMonocyte"	"VAV2"	-0.279584278795088	0.944444444444444	1	0.0123932839337632	0.024130452835739	1
"167"	"ncMonocyte"	"REL"	-0.284040212909747	1	0.961538461538462	0.00539838984732511	0.0136402064081268	1
"168"	"ncMonocyte"	"B2M"	0.375317424098576	1	1	0.0164128663903169	0.0300146893657177	1
"169"	"ncMonocyte"	"SLC43A2"	-0.365242355092329	0.944444444444444	1	0.00925433833502602	0.0197934609122639	1
"170"	"ncMonocyte"	"SDC2"	-0.30725847509459	0.888888888888889	0.923076923076923	0.00957359085808846	0.0202320617197255	1
"171"	"ncMonocyte"	"SRGAP2C"	0.396663028628914	1	1	0.00737813767418497	0.0169594692371891	1
