"cellType"	"gene"	"log1p_FC"	"pct.ipf"	"pct.copd"	"wilcox.p"	"wilcox.fdr"	"wilcox.bonferroni"
"160"	"ncMonocyte"	"HSPA1B"	0.411820027323705	0.9375	0.777777777777778	0.0111280251216127	0.0169932277774689	1
"161"	"ncMonocyte"	"HSPA1A"	0.586291070748997	0.96875	0.888888888888889	0.00544726709827813	0.0102719893853245	1
"162"	"ncMonocyte"	"AIF1"	0.300638100563543	0.96875	1	0.00959769910445169	0.0153253582474309	1
"163"	"ncMonocyte"	"MT-TQ"	-0.385146632708995	0.78125	0.944444444444444	0.0198589792304073	0.0263897844806755	1
"164"	"ncMonocyte"	"RPS2P55"	-0.265464002784341	0.875	1	0.0105474916883551	0.0164441208999552	1
"165"	"ncMonocyte"	"HLA-DPB1"	0.289861514163208	0.96875	1	0.0273024671597021	0.0329627347415915	1
"166"	"ncMonocyte"	"MTCO2P12"	-0.402515814160522	0.96875	1	0.0414132784266865	0.0465899382300223	1
"167"	"ncMonocyte"	"LINC00486"	-0.467516400393952	0.96875	1	0.0185169177741443	0.024941154552929	1
"168"	"ncMonocyte"	"RPS18"	0.277261688063887	1	1	0.0273024671597021	0.0329627347415915	1
"169"	"ncMonocyte"	"LINC00278"	0.371047338311746	0.78125	0.666666666666667	0.0331068464400622	0.0381113697391414	1
"170"	"ncMonocyte"	"LINC-PINT"	-0.371731426968505	1	1	0.00535913620305845	0.0102029708481305	1
"171"	"ncMonocyte"	"ENSG00000240040"	-0.268585790897974	0.6875	0.833333333333333	0.0148244512011599	0.0209660095559262	1
"172"	"ncMonocyte"	"ENSG00000244716"	-0.250772666852288	0.84375	1	0.00936592254160991	0.0150768509206403	1
"173"	"ncMonocyte"	"ENSG00000268083"	-0.304493763762267	0.96875	1	0.0244918114987137	0.0301203644518342	1
"174"	"ncMonocyte"	"ENSG00000273269"	0.304324726612895	0.96875	1	0.00846234444288072	0.0139628683307532	1
"175"	"ncMonocyte"	"MIR1244-2"	0.289980317956549	0.96875	1	0.0115491325839008	0.0173236988758512	1
"176"	"ncMonocyte"	"ENSG00000284461"	-0.288829435491304	0.96875	1	0.00612225585931477	0.0107274925676489	1
"177"	"Macrophage Alveolar"	"CD36"	0.436094391405706	1	1	7.75471659315428e-13	1.82235839939125e-10	1.82235839939125e-10
"178"	"Macrophage Alveolar"	"CCL18"	1.4263034148476	1	1	3.87625047992097e-10	4.55459431390714e-08	9.10918862781429e-08
"179"	"Macrophage Alveolar"	"STMN1"	0.340295218850891	1	1	3.83094077868383e-09	2.02487448494646e-07	9.002710829907e-07
"180"	"Macrophage Alveolar"	"SDC2"	0.41750172015753	1	1	4.71453534364095e-09	2.02487448494646e-07	1.10791580575562e-06
"181"	"Macrophage Alveolar"	"NPC2"	0.505450750003394	1	1	5.78180591019021e-09	2.02487448494646e-07	1.3587243888947e-06
"182"	"Macrophage Alveolar"	"TPI1"	0.285195421591232	1	1	7.06953199131629e-09	2.02487448494646e-07	1.66134001795933e-06
"183"	"Macrophage Alveolar"	"ID2"	0.41502499123716	1	1	7.06953199131629e-09	2.02487448494646e-07	1.66134001795933e-06
"184"	"Macrophage Alveolar"	"FBP1"	0.521603003468881	1	1	7.06953199131629e-09	2.02487448494646e-07	1.66134001795933e-06
"185"	"Macrophage Alveolar"	"SPP1"	0.301235679189047	1	0.888888888888889	7.90529461123399e-09	2.02487448494646e-07	1.85774423363999e-06
"186"	"Macrophage Alveolar"	"FN1"	1.27479749013861	1	1	8.61648716998495e-09	2.02487448494646e-07	2.02487448494646e-06
"187"	"Macrophage Alveolar"	"PTMA"	0.566739207942636	1	1	1.8491232498042e-08	3.95039967003624e-07	4.34543963703987e-06
"188"	"Macrophage Alveolar"	"SNX2"	0.314804809878354	1	1	2.22344341975576e-08	4.35424336368835e-07	5.22509203642603e-06
"189"	"Macrophage Alveolar"	"CSTB"	0.566153185621475	1	1	3.8091389468905e-08	6.88575117322514e-07	8.95147652519269e-06
"190"	"Macrophage Alveolar"	"ARPC5"	0.314691790575053	1	1	6.39483841321218e-08	1.00382446134676e-06	1.50278702710486e-05
"191"	"Macrophage Alveolar"	"PPBP"	0.280428187399482	0.96875	0.888888888888889	6.40739017880913e-08	1.00382446134676e-06	1.50573669202015e-05
"192"	"Macrophage Alveolar"	"S100A10"	0.539189186856033	1	1	1.05366103892828e-07	1.5475646509259e-06	2.47610344148145e-05
"193"	"Macrophage Alveolar"	"VAMP8"	0.46845401307858	1	1	1.70643092540688e-07	2.1105856182664e-06	4.01011267470617e-05
"194"	"Macrophage Alveolar"	"DBI"	0.423443860795526	1	1	1.70643092540688e-07	2.1105856182664e-06	4.01011267470617e-05
"195"	"Macrophage Alveolar"	"ACTG1"	0.498028374467836	1	1	1.70643092540688e-07	2.1105856182664e-06	4.01011267470617e-05
"196"	"Macrophage Alveolar"	"UQCRH"	0.377055143710282	1	1	2.33225095609096e-07	2.74039487340688e-06	5.48078974681376e-05
"197"	"Macrophage Alveolar"	"ENSG00000274322"	0.365880616214021	1	1	2.71955362943611e-07	3.04331001389279e-06	6.39095102917487e-05
"198"	"Macrophage Alveolar"	"VPS29"	0.25273008856444	1	0.944444444444444	3.16596939955423e-07	3.38183094952383e-06	7.44002808895243e-05
"199"	"Macrophage Alveolar"	"MIR1244-2"	0.56631405155051	1	1	3.67960970000174e-07	3.75960121521916e-06	8.64708279500408e-05
"200"	"Macrophage Alveolar"	"POMP"	0.360236005800998	1	1	4.26984887532311e-07	4.18089369042055e-06	0.000100341448570093
"201"	"Macrophage Alveolar"	"SRP14"	0.315780301964317	1	1	4.94697521880416e-07	4.65015670567591e-06	0.000116253917641898
"202"	"Macrophage Alveolar"	"DYNLL1"	0.434254915465131	1	1	6.61037522183562e-07	5.97476221973604e-06	0.000155343817713137
"203"	"Macrophage Alveolar"	"DNAJB6"	0.293373115931309	1	0.944444444444444	7.62447945142222e-07	6.17845748649732e-06	0.000179175267108422
"204"	"Macrophage Alveolar"	"LIPA"	0.449096457665163	1	1	7.62447945142222e-07	6.17845748649732e-06	0.000179175267108422
"205"	"Macrophage Alveolar"	"HSPE1"	0.314658937624413	1	1	7.62447945142222e-07	6.17845748649732e-06	0.000179175267108422
"206"	"Macrophage Alveolar"	"LGALS1"	0.587332438997697	1	1	8.78143220755465e-07	6.65689215733982e-06	0.000206363656877534
"207"	"Macrophage Alveolar"	"ATP5MC3"	0.324433278010423	1	1	8.78143220755465e-07	6.65689215733982e-06	0.000206363656877534
"208"	"Macrophage Alveolar"	"AP2S1"	0.355100637791558	1	1	1.52399833722962e-06	1.119186278903e-05	0.000358139609248961
"209"	"Macrophage Alveolar"	"HNRNPA2B1"	0.260346013373746	1	1	1.74338192840993e-06	1.24149925204949e-05	0.000409694753176333
