file_name	file_uri	file_id	file_type	data_id	group_label	group_name	group_id
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	xlsx	Supplementary Table 1#all markers	t_cell	T CELL	http://purl.obolibrary.org/obo/CL_0000084
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	xlsx	Supplementary Table 1#immune markers	hBcell	B CELL	http://purl.obolibrary.org/obo/CL_0000236
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	xlsx	Supplementary Table 1#immune markers	hASDC	ASDENDRITIC CELL	http://purl.obolibrary.org/obo/CL_0000451
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	xlsx	Supplementary Table 1#immune markers	hpDC	PDENDRITIC CELL	http://purl.obolibrary.org/obo/CL_0000451
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	xlsx	Supplementary Table 1#immune markers	hcDC1	DENDRITIC CELL 1	http://purl.obolibrary.org/obo/CL_0000451
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	xlsx	Supplementary Table 1#immune markers	hcDC2	DENDRITIC CELL 2	http://purl.obolibrary.org/obo/CL_0000451
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	xlsx	Supplementary Table 1#immune markers	hMac1	MACROPHAGE 1	http://purl.obolibrary.org/obo/CL_0000235
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	xlsx	Supplementary Table 1#immune markers	hMac2	MACROPHAGE 2	http://purl.obolibrary.org/obo/CL_0000235
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	xlsx	Supplementary Table 1#immune markers	hMac3	MACROPHAGE 3	http://purl.obolibrary.org/obo/CL_0000235
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	xlsx	Supplementary Table 1#immune markers	hMast	MAST CELL	http://purl.obolibrary.org/obo/CL_0000097
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	xlsx	Supplementary Table 1#immune markers	hMono1	MONOCYTE 1	http://purl.obolibrary.org/obo/CL_0000576
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	xlsx	Supplementary Table 1#immune markers	hMono2	MONOCYTE 2	http://purl.obolibrary.org/obo/CL_0000576
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	xlsx	Supplementary Table 1#immune markers	hNK	NATURAL KILLER CELL	http://purl.obolibrary.org/obo/CL_4052055
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	xlsx	Supplementary Table 1#immune markers	hNeu	NEUTROPHIL	http://purl.obolibrary.org/obo/CL_0000775
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	xlsx	Supplementary Table 1#immune markers	hPlasmablast	PLASMABLAST	PLASMABLAST
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	xlsx	Supplementary Table 1#immune markers	hTreg	REGULATORY T CELL	REGULATORY T CELL
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	xlsx	Supplementary Table 1#immune markers	hTcell1	T CELL 1	http://purl.obolibrary.org/obo/CL_0000084
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	xlsx	Supplementary Table 1#immune markers	hTcell2	T CELL 2	http://purl.obolibrary.org/obo/CL_0000084
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#mesothelial markers	xlsx	Supplementary Table 1#mesothelial markers	hMes1	MESOTHELIUM 1	MESOTHELIUM
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#mesothelial markers	xlsx	Supplementary Table 1#mesothelial markers	hMes2	MESOTHELIUM 2	MESOTHELIUM
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#mesothelial markers	xlsx	Supplementary Table 1#mesothelial markers	hMes3	MESOTHELIUM 3	MESOTHELIUM
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#vascular markers	xlsx	Supplementary Table 1#vascular markers	hEndoA1	ENDOTHELIUM ARTERIOLAR 1	ENDOTHELIUM ARTERIOLAR
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#vascular markers	xlsx	Supplementary Table 1#vascular markers	hEndoA2	ENDOTHELIUM ARTERIOLAR 2	ENDOTHELIUM ARTERIOLAR
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#vascular markers	xlsx	Supplementary Table 1#vascular markers	hEndoS1	ENDOTHELIUM STALK 1	ENDOTHELIUM STALK
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#vascular markers	xlsx	Supplementary Table 1#vascular markers	hEndoS2	ENDOTHELIUM STALK 2	ENDOTHELIUM STALK
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#vascular markers	xlsx	Supplementary Table 1#vascular markers	hEndoS3	ENDOTHELIUM STALK 3	ENDOTHELIUM STALK
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#vascular markers	xlsx	Supplementary Table 1#vascular markers	hEndoV	ENDOTHELIUM VENULAR	ENDOTHELIUM VENULAR
