source_corpus	paper_id	paper_key	cell_type	normalized_cell_type	neighborhood	relation	relation_label	marker_scope	marker_scope_label	n_markers	n_comparison_profiles	n_background_profiles	paper_n_profiles	local_marker_lb_log2	atlas_marker_lb_log2	marker_lb_gap_log2	observed_mean_profile_recall	expected_mean_profile_recall	mean_profile_recall_lift	observed_union_recall	expected_union_recall	union_recall_lift	n_recovered_markers	n_unrecovered_markers	recovered_marker_names	unrecovered_marker_names
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	PLASMA CELL	PLASMA CELL	B cell	same_exact_label	Same reported label	all_reported_markers	All reported markers	3	15	3340	11	4	12	8	0.222222222222	0.00299401197605	74.2222222222	1	0.0437936062561	22.8343834977	3	0	JCHAIN; MZB1; IGHG4	NA
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	PLASMA CELL	PLASMA CELL	B cell	same_exact_label	Same reported label	local_private_markers	Local-only markers	3	15	3340	11	4	12	8	0.222222222222	0.00299401197605	74.2222222222	1	0.0437936062561	22.8343834977	3	0	JCHAIN; MZB1; IGHG4	NA
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	PLASMA CELL	PLASMA CELL	B cell	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	3	92	3340	11	4	12	8	0.0760869565217	0.00299401197605	25.4130434783	1	0.235073191583	4.25399422736	3	0	JCHAIN; MZB1; IGHG4	NA
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	PLASMA CELL	PLASMA CELL	B cell	same_broad_neighborhood	Same broad lineage	local_private_markers	Local-only markers	3	92	3340	11	4	12	8	0.0760869565217	0.00299401197605	25.4130434783	1	0.235073191583	4.25399422736	3	0	JCHAIN; MZB1; IGHG4	NA
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	STRAD13⁺ MACROPHAGE	STRAD 13 MACROPHAGE	monocyte/macrophage	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	3	201	3340	11	4	12	8	0.0547263681592	0.00958083832335	5.71206467662	0.666666666667	0.655091799303	1.01766907688	2	1	CD163; MRC1	STARD13
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	STRAD13⁺ MACROPHAGE	STRAD 13 MACROPHAGE	monocyte/macrophage	same_broad_neighborhood	Same broad lineage	local_private_markers	Local-only markers	3	201	3340	11	4	12	8	0.0547263681592	0.00958083832335	5.71206467662	0.666666666667	0.655091799303	1.01766907688	2	1	CD163; MRC1	STARD13
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	TREM2HIGH MACROPHAGE	TREM 2 HIGH MACROPHAGE	monocyte/macrophage	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	4	201	3340	11	4	12	8	0.0584577114428	0.00935628742515	6.247960199	1	0.835695909124	1.19660750888	4	0	TREM2; APOE; SPP1; C1QA	NA
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	TREM2HIGH MACROPHAGE	TREM 2 HIGH MACROPHAGE	monocyte/macrophage	same_broad_neighborhood	Same broad lineage	local_private_markers	Local-only markers	2	201	3340	11	4	12	8	0.0497512437811	0.00808383233533	6.15441311959	1	0.803996599868	1.24378635452	2	0	TREM2; SPP1	NA
biorxiv	06056998-6fcf-1014-a978-d2cf5726c0ad	biorxiv:06056998-6fcf-1014-a978-d2cf5726c0ad	B CELL	B CELL	B cell	same_exact_label	Same reported label	all_reported_markers	All reported markers	4	29	3350	1	0	12	12	0	0.00134328358209	0	0	0.0369549178982	0	0	4	NA	LY86; JCHAIN; IGLC3; IGLL5
biorxiv	06056998-6fcf-1014-a978-d2cf5726c0ad	biorxiv:06056998-6fcf-1014-a978-d2cf5726c0ad	B CELL	B CELL	B cell	same_exact_label	Same reported label	local_private_markers	Local-only markers	4	29	3350	1	0	12	12	0	0.00134328358209	0	0	0.0369549178982	0	0	4	NA	LY86; JCHAIN; IGLC3; IGLL5
biorxiv	06056998-6fcf-1014-a978-d2cf5726c0ad	biorxiv:06056998-6fcf-1014-a978-d2cf5726c0ad	B CELL	B CELL	B cell	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	4	92	3350	1	0	12	12	0.0298913043478	0.00134328358209	22.2524154589	0.75	0.104700335267	7.16330084417	3	1	JCHAIN; IGLC3; IGLL5	LY86
biorxiv	06056998-6fcf-1014-a978-d2cf5726c0ad	biorxiv:06056998-6fcf-1014-a978-d2cf5726c0ad	B CELL	B CELL	B cell	same_broad_neighborhood	Same broad lineage	local_private_markers	Local-only markers	4	92	3350	1	0	12	12	0.0298913043478	0.00134328358209	22.2524154589	0.75	0.104700335267	7.16330084417	3	1	JCHAIN; IGLC3; IGLL5	LY86
biorxiv	09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	CLUSTER 3	CLUSTER 3		same_exact_label	Same reported label	all_reported_markers	All reported markers	3	11	3345	6	3	12	9	0	0.00189337319382	0	0	0.0204887066109	0	0	3	NA	GLUL; CYP1A2; CYP3A4
biorxiv	09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	CLUSTER 3	CLUSTER 3		same_exact_label	Same reported label	local_private_markers	Local-only markers	3	11	3345	6	3	12	9	0	0.00189337319382	0	0	0.0204887066109	0	0	3	NA	GLUL; CYP1A2; CYP3A4
