source_corpus	paper_id	paper_key	n_profiles	n_genes	n_distinct_marker_signatures	n_duplicate_profile_signatures	all_profiles_locally_identifiable	information_lower_bound_log2	greedy_local_panel_size	greedy_local_panel_genes	n_pairs	mean_jaccard	median_jaccard	q25_jaccard	q75_jaccard	pct_jaccard_eq_0	pct_jaccard_ge_0_10	pct_jaccard_ge_0_25	pct_jaccard_eq_1	mean_shared_genes
hca	0108_10.1038_s41598-017-14676-3_ca30704700	hca:0108_10.1038_s41598-017-14676-3_ca30704700	7	30	7	0	True	3	6	THY1; RARB; VIM; NFKBIA; CA2; FADS2	21	0.022146636432350715	0.0	0.0	0.0	0.8571428571428571	0.14285714285714285	0.0	0.0	0.23809523809523808
hca	0201_10.1038_s41467-019-13382-0_3e98068ead	hca:0201_10.1038_s41467-019-13382-0_3e98068ead	7	34	7	0	True	3	6	DCN; PAX2; EPYC; CDH1; MGP; VEGFA	21	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
hca	0229_10.15252_msb.20178041_0277072a61	hca:0229_10.15252_msb.20178041_0277072a61	7	23	7	0	True	3	6	CSF3R; ITGA2B; CD99; CD22; MPO; CD6	21	0.03892668178382464	0.0	0.0	0.0	0.8571428571428571	0.14285714285714285	0.047619047619047616	0.0	0.2857142857142857
hca	0283_10.1161_circulationaha.120.052318_08d58c2441	hca:0283_10.1161_circulationaha.120.052318_08d58c2441	7	143	7	0	True	3	6	NR2F2; SEMA3G; IFNGR1; CALCRL; SELE; PLXNA2	21	0.0018315018315018315	0.0	0.0	0.0	0.9523809523809523	0.0	0.0	0.0	0.047619047619047616
hca	0317_10.1016_j.celrep.2019.02.043_aed04e8aae	hca:0317_10.1016_j.celrep.2019.02.043_aed04e8aae	7	38	7	0	True	3	6	CFTR; ARX; PAX6; GABRA1; ESR1; REG1A	21	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
hca	0322_10.3389_fonc.2021.719564_a0cfb67753	hca:0322_10.3389_fonc.2021.719564_a0cfb67753	7	27	7	0	True	3	6	MSR1; TNC; CP; SPAG4; WISP1; ACTA2	21	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
hca	0349_10.1038_s41467-023-36296-4_67ae3c1e19	hca:0349_10.1038_s41467-023-36296-4_67ae3c1e19	7	24	7	0	True	3	6	NOTCH3; LAG3; SOX10; CCL22; PTGDS; S100A8	21	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
hca	0423_10.1038_s41467-019-12780-8_0da964452a	hca:0423_10.1038_s41467-019-12780-8_0da964452a	7	30	7	0	True	3	6	CLU; CAMK2B; OPN1LW; ONECUT2; SLC1A3; PDE6A	21	0.011904761904761904	0.0	0.0	0.0	0.9523809523809523	0.047619047619047616	0.047619047619047616	0.0	0.14285714285714285
hca	0041_10.1016_j.xgen.2022.100108_d4824b85dd	hca:0041_10.1016_j.xgen.2022.100108_d4824b85dd	7	30	7	0	True	3	5	ACTA2; LMO7; PDGFA; LTBP1; WNT2	21	0.017857142857142856	0.0	0.0	0.0	0.8571428571428571	0.09523809523809523	0.0	0.0	0.14285714285714285
hca	0052_10.1016_j.molmet.2022.101595_3242a2c7db	hca:0052_10.1016_j.molmet.2022.101595_3242a2c7db	7	40	7	0	True	3	5	MAFB; NKX6-1; TNC; PTGER3; LIMCH1	21	0.03572818016095327	0.0	0.0	0.0	0.7619047619047619	0.14285714285714285	0.047619047619047616	0.0	0.38095238095238093
hca	0080_10.1126_sciadv.abf1444_8cb053b6ed	hca:0080_10.1126_sciadv.abf1444_8cb053b6ed	7	25	7	0	True	3	5	GATA6; GATA2; SPI1; DCN; MYH7	21	0.03981481481481482	0.0	0.0	0.0	0.8095238095238095	0.19047619047619047	0.047619047619047616	0.0	0.23809523809523808
hca	0151_10.1038_s41586-022-04718-w_1bf3167cbc	hca:0151_10.1038_s41586-022-04718-w_1bf3167cbc	7	21	7	0	True	3	5	FOXP3; ICOS; PDCD1; TNFRSF9; CD40	21	0.032199546485260765	0.0	0.0	0.0	0.8095238095238095	0.19047619047619047	0.0	0.0	0.19047619047619047
hca	0239_10.1038_s41467-021-24607-6_2a0350c2e5	hca:0239_10.1038_s41467-021-24607-6_2a0350c2e5	7	26	7	0	True	3	5	SFRP4; ACTA2; TNC; ASPN; COL1A1	21	0.014652014652014652	0.0	0.0	0.0	0.8571428571428571	0.047619047619047616	0.0	0.0	0.19047619047619047
hca	0275_10.1016_j.cell.2020.08.001_8e5789b307	hca:0275_10.1016_j.cell.2020.08.001_8e5789b307	7	36	7	0	True	3	5	CD274; CD66B; CD24; CD83; ARG1	21	0.024921507064364204	0.0	0.0	0.0625	0.7142857142857143	0.047619047619047616	0.0	0.0	0.3333333333333333
hca	0361_10.1016_j.gpb.2020.11.002_84c7c58535	hca:0361_10.1016_j.gpb.2020.11.002_84c7c58535	7	24	7	0	True	3	5	LILRB1; FCGR3A; RORA; ITGAE; MCM5	21	0.011564625850340135	0.0	0.0	0.0	0.9047619047619048	0.09523809523809523	0.0	0.0	0.09523809523809523
hca	0439_10.1038_s41586-019-1404-z_d7516e129c	hca:0439_10.1038_s41586-019-1404-z_d7516e129c	7	59	7	0	True	3	5	SLC1A2; KCNJ10; CD74; PKM; SV2C	21	0.008297258297258298	0.0	0.0	0.0	0.9047619047619048	0.0	0.0	0.0	0.09523809523809523
biorxiv	fcdb6ae7-74e0-1014-aa4b-bcf60c40c2cf	biorxiv:fcdb6ae7-74e0-1014-aa4b-bcf60c40c2cf	7	24	7	0	True	3	4	SOX6; FOXA2; NR4A2; NR3C1	21	0.11341506299489493	0.05555555555555555	0.0	0.16666666666666666	0.42857142857142855	0.38095238095238093	0.14285714285714285	0.0	1.1904761904761905
hca	0003_10.3389_fimmu.2021.645988_480a5ea7f6	hca:0003_10.3389_fimmu.2021.645988_480a5ea7f6	7	40	6	2	False	3	4	SOX4; FOS; FGFR1; CXCL2	21	0.06018518518518518	0.0	0.0	0.0	0.7619047619047619	0.047619047619047616	0.047619047619047616	0.047619047619047616	0.42857142857142855
hca	0299_10.1038_s41467-019-11266-x_d55119ff52	hca:0299_10.1038_s41467-019-11266-x_d55119ff52	7	47	7	0	True	3	4	CDH6; SOX9; CLDN10; TNFRSF12A	21	0.06090300537668959	0.0	0.0	0.125	0.6666666666666666	0.3333333333333333	0.047619047619047616	0.0	1.1904761904761905
hca	0382_10.1371_journal.pbio.3002124_f92c982127	hca:0382_10.1371_journal.pbio.3002124_f92c982127	7	54	7	0	True	3	4	CSF3; CXCL8; IL2RA; CD9	21	0.0557477306003032	0.0	0.0	0.10714285714285714	0.5238095238095238	0.2857142857142857	0.0	0.0	1.1428571428571428
hca	0449_10.1084_jem.20202345_e99c99a876	hca:0449_10.1084_jem.20202345_e99c99a876	7	35	7	0	True	3	4	BIRC3; SLC2A3; CXCL2; IRF2	21	0.03349467992325136	0.0	0.0	0.0	0.8095238095238095	0.19047619047619047	0.0	0.0	0.42857142857142855
biorxiv	1e0a6787-73c3-1014-991b-bc3d9c192616	biorxiv:1e0a6787-73c3-1014-991b-bc3d9c192616	7	16	4	4	False	2	3	IFI6; CD38; MX1	21	0.42500000000000004	0.125	0.0	1.0	0.2857142857142857	0.7142857142857143	0.47619047619047616	0.2857142857142857	2.238095238095238
biorxiv	9d923a25-6c34-1014-a848-e326c14e92ee	biorxiv:9d923a25-6c34-1014-a848-e326c14e92ee	7	57	7	0	True	3	3	CD44; CDH1; TWIST1	21	0.10362711791488437	0.09523809523809523	0.058823529411764705	0.125	0.19047619047619047	0.47619047619047616	0.047619047619047616	0.0	2.0952380952380953
biorxiv	09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	6	29	6	0	True	3	5	DCN; GADD45B; PPARGC1A; MUC5B; EPCAM	15	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
