profile_i	profile_j	profile_id_i	profile_id_j	label_i	label_j	cl_id_i	cl_id_j	cl_label_i	cl_label_j	marker_jaccard	ontology_similarity	ontology_common_id	ontology_graph_distance	label_similarity	same_paper
7	17	2113	3856	PLASMACYTOID DENDRITIC CELL	DCS	CL:0001058	CL:0000451	plasmacytoid dendritic cell, human	dendritic cell	0.07692307692307693	0.3333333333333333	CL:0000451	2.0	0.0	False
8	10	2259	2449	ALVEOLAR MAC	ACTIVATED MEMORY CELL	CL:0000583	CL:0000813	alveolar macrophage	memory T cell	0.0	0.1111111111111111	CL:0000842	8.0	0.0	False
8	11	2259	2737	ALVEOLAR MAC	NEUTROPHIL	CL:0000583	CL:0000775	alveolar macrophage	neutrophil	0.0	0.16666666666666666	CL:0000766	5.0	0.0	False
8	12	2259	3111	ALVEOLAR MAC	MONOCYTE	CL:0000583	CL:0000576	alveolar macrophage	monocyte	0.0	0.2	CL:0000113	4.0	0.0	False
8	13	2259	3291	ALVEOLAR MAC	MONOCYTE	CL:0000583	CL:0002057	alveolar macrophage	CD14-positive, CD16-negative classical monocyte	0.0	0.14285714285714285	CL:0000113	6.0	0.0	False
8	14	2259	3472	ALVEOLAR MAC	CD4.9	CL:0000583	CL:0000624	alveolar macrophage	CD4-positive, alpha-beta T cell	0.0	0.1	CL:0000842	9.0	0.0	False
8	15	2259	3509	ALVEOLAR MAC	CXCL9-POSITIVE	CL:0000583	CL:0000235	alveolar macrophage	macrophage	0.125	0.3333333333333333	CL:0000235	2.0	0.0	False
8	16	2259	3819	ALVEOLAR MAC	CD8T_GZMB	CL:0000583	CL:0000794	alveolar macrophage	CD8-positive, alpha-beta cytotoxic T cell	0.0	0.09090909090909091	CL:0000842	10.0	0.0	False
8	17	2259	3856	ALVEOLAR MAC	DCS	CL:0000583	CL:0000451	alveolar macrophage	dendritic cell	0.0	0.2	CL:0000113	4.0	0.0	False
9	10	2263	2449	NK CELL	ACTIVATED MEMORY CELL	CL:0000623	CL:0000813	natural killer cell	memory T cell	0.0	0.14285714285714285	CL:0000542	6.0	0.0	False
9	11	2263	2737	NK CELL	NEUTROPHIL	CL:0000623	CL:0000775	natural killer cell	neutrophil	0.0	0.1111111111111111	CL:0000738	8.0	0.0	False
9	12	2263	3111	NK CELL	MONOCYTE	CL:0000623	CL:0000576	natural killer cell	monocyte	0.0	0.14285714285714285	CL:0000842	6.0	0.0	False
9	13	2263	3291	NK CELL	MONOCYTE	CL:0000623	CL:0002057	natural killer cell	CD14-positive, CD16-negative classical monocyte	0.0	0.1111111111111111	CL:0000842	8.0	0.0	False
9	14	2263	3472	NK CELL	CD4.9	CL:0000623	CL:0000624	natural killer cell	CD4-positive, alpha-beta T cell	0.0	0.125	CL:0000542	7.0	0.0	False
9	15	2263	3509	NK CELL	CXCL9-POSITIVE	CL:0000623	CL:0000235	natural killer cell	macrophage	0.0	0.14285714285714285	CL:0000842	6.0	0.0	False
9	16	2263	3819	NK CELL	CD8T_GZMB	CL:0000623	CL:0000794	natural killer cell	CD8-positive, alpha-beta cytotoxic T cell	0.0	0.1111111111111111	CL:0000542	8.0	0.0	False
9	17	2263	3856	NK CELL	DCS	CL:0000623	CL:0000451	natural killer cell	dendritic cell	0.0	0.14285714285714285	CL:0000842	6.0	0.0	False
10	11	2449	2737	ACTIVATED MEMORY CELL	NEUTROPHIL	CL:0000813	CL:0000775	memory T cell	neutrophil	0.0	0.1111111111111111	CL:0000738	8.0	0.0	False
10	12	2449	3111	ACTIVATED MEMORY CELL	MONOCYTE	CL:0000813	CL:0000576	memory T cell	monocyte	0.0	0.14285714285714285	CL:0000842	6.0	0.0	False
10	13	2449	3291	ACTIVATED MEMORY CELL	MONOCYTE	CL:0000813	CL:0002057	memory T cell	CD14-positive, CD16-negative classical monocyte	0.0	0.1111111111111111	CL:0000842	8.0	0.0	False
10	14	2449	3472	ACTIVATED MEMORY CELL	CD4.9	CL:0000813	CL:0000624	memory T cell	CD4-positive, alpha-beta T cell	0.0	0.25	CL:0002419	3.0	0.0	False
10	15	2449	3509	ACTIVATED MEMORY CELL	CXCL9-POSITIVE	CL:0000813	CL:0000235	memory T cell	macrophage	0.0	0.14285714285714285	CL:0000842	6.0	0.0	False
10	16	2449	3819	ACTIVATED MEMORY CELL	CD8T_GZMB	CL:0000813	CL:0000794	memory T cell	CD8-positive, alpha-beta cytotoxic T cell	0.3333333333333333	0.2	CL:0002419	4.0	0.0	False
10	17	2449	3856	ACTIVATED MEMORY CELL	DCS	CL:0000813	CL:0000451	memory T cell	dendritic cell	0.0	0.14285714285714285	CL:0000842	6.0	0.0	False
11	12	2737	3111	NEUTROPHIL	MONOCYTE	CL:0000775	CL:0000576	neutrophil	monocyte	0.0	0.25	CL:0000766	3.0	0.0	False
11	13	2737	3291	NEUTROPHIL	MONOCYTE	CL:0000775	CL:0002057	neutrophil	CD14-positive, CD16-negative classical monocyte	0.0	0.16666666666666666	CL:0000766	5.0	0.0	False
11	14	2737	3472	NEUTROPHIL	CD4.9	CL:0000775	CL:0000624	neutrophil	CD4-positive, alpha-beta T cell	0.0	0.1	CL:0000738	9.0	0.0	False
11	15	2737	3509	NEUTROPHIL	CXCL9-POSITIVE	CL:0000775	CL:0000235	neutrophil	macrophage	0.0	0.25	CL:0000766	3.0	0.0	False
11	16	2737	3819	NEUTROPHIL	CD8T_GZMB	CL:0000775	CL:0000794	neutrophil	CD8-positive, alpha-beta cytotoxic T cell	0.0	0.09090909090909091	CL:0000738	10.0	0.0	False
11	17	2737	3856	NEUTROPHIL	DCS	CL:0000775	CL:0000451	neutrophil	dendritic cell	0.0	0.16666666666666666	CL:0000738	5.0	0.0	False
12	13	3111	3291	MONOCYTE	MONOCYTE	CL:0000576	CL:0002057	monocyte	CD14-positive, CD16-negative classical monocyte	0.5	0.3333333333333333	CL:0000576	2.0	1.0	False
12	14	3111	3472	MONOCYTE	CD4.9	CL:0000576	CL:0000624	monocyte	CD4-positive, alpha-beta T cell	0.0	0.125	CL:0000842	7.0	0.0	False
12	15	3111	3509	MONOCYTE	CXCL9-POSITIVE	CL:0000576	CL:0000235	monocyte	macrophage	0.0	0.3333333333333333	CL:0000113	2.0	0.0	False
12	16	3111	3819	MONOCYTE	CD8T_GZMB	CL:0000576	CL:0000794	monocyte	CD8-positive, alpha-beta cytotoxic T cell	0.0	0.1111111111111111	CL:0000842	8.0	0.0	False
12	17	3111	3856	MONOCYTE	DCS	CL:0000576	CL:0000451	monocyte	dendritic cell	0.0	0.3333333333333333	CL:0000113	2.0	0.0	False
13	14	3291	3472	MONOCYTE	CD4.9	CL:0002057	CL:0000624	CD14-positive, CD16-negative classical monocyte	CD4-positive, alpha-beta T cell	0.0	0.1	CL:0000842	9.0	0.0	False
13	15	3291	3509	MONOCYTE	CXCL9-POSITIVE	CL:0002057	CL:0000235	CD14-positive, CD16-negative classical monocyte	macrophage	0.0	0.2	CL:0000113	4.0	0.0	False
13	16	3291	3819	MONOCYTE	CD8T_GZMB	CL:0002057	CL:0000794	CD14-positive, CD16-negative classical monocyte	CD8-positive, alpha-beta cytotoxic T cell	0.0	0.09090909090909091	CL:0000842	10.0	0.0	False
13	17	3291	3856	MONOCYTE	DCS	CL:0002057	CL:0000451	CD14-positive, CD16-negative classical monocyte	dendritic cell	0.0	0.2	CL:0000113	4.0	0.0	False
14	15	3472	3509	CD4.9	CXCL9-POSITIVE	CL:0000624	CL:0000235	CD4-positive, alpha-beta T cell	macrophage	0.0	0.125	CL:0000842	7.0	0.0	False
14	16	3472	3819	CD4.9	CD8T_GZMB	CL:0000624	CL:0000794	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta cytotoxic T cell	0.0	0.25	CL:0000791	3.0	0.5	False
