query	input_symbols	resolved_gene_ids	method	rank	score	profile_id	label	paper_title	year	doi	profile_genes
macrophage	CD68, APOE, C1QA, C1QB, LYZ	ENSG00000129226, ENSG00000130203, ENSG00000173372, ENSG00000173369, ENSG00000090382	gene SVD + ridge to MiniLM text	4	0.790829062461853	231	NEUTROPHIL	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025	10.1101/2025.11.27.690370	FCGR3B, S100A8
macrophage	CD68, APOE, C1QA, C1QB, LYZ	ENSG00000129226, ENSG00000130203, ENSG00000173372, ENSG00000173369, ENSG00000090382	gene SVD + ridge to MiniLM text	5	0.787919282913208	239	STRAD13⁺ MACROPHAGE	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025	10.1101/2025.11.27.690370	STARD13, CD163, MRC1
macrophage	CD68, APOE, C1QA, C1QB, LYZ	ENSG00000129226, ENSG00000130203, ENSG00000173372, ENSG00000173369, ENSG00000090382	raw marker Jaccard neighbor	1	0.4000000059604645	3370	DOMAIN 4	Characterizing intra- and inter-tumor heterogeneity in Ovarian high-grade serous carcinoma subtypes using single-cell and spatial transcriptomics	2025	10.1101/2025.09.15.676244	LYZ, CD68
macrophage	CD68, APOE, C1QA, C1QB, LYZ	ENSG00000129226, ENSG00000130203, ENSG00000173372, ENSG00000173369, ENSG00000090382	raw marker Jaccard neighbor	2	0.4000000059604645	2821	MACROPHAGE	Single-cell integration and multi-modal profiling reveals phenotypes and spatial organization of neutrophils in colorectal cancer	2024	10.1101/2024.08.26.609563	C1QA, C1QB
macrophage	CD68, APOE, C1QA, C1QB, LYZ	ENSG00000129226, ENSG00000130203, ENSG00000173372, ENSG00000173369, ENSG00000090382	raw marker Jaccard neighbor	3	0.4000000059604645	228	MYELOID CELL	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025	10.1101/2025.11.27.690370	LYZ, CD68
macrophage	CD68, APOE, C1QA, C1QB, LYZ	ENSG00000129226, ENSG00000130203, ENSG00000173372, ENSG00000173369, ENSG00000090382	raw marker Jaccard neighbor	4	0.4000000059604645	3289	MACROPHAGE	Spatial and Single-Cell Transcriptomics Decipher the Crosstalk Environment of DEFB1+ Cancer Cells and IFI30+ Macrophages in Intrahepatic Cholangiocarcinoma	2025	10.1101/2025.11.22.689892	C1QA, C1QB
macrophage	CD68, APOE, C1QA, C1QB, LYZ	ENSG00000129226, ENSG00000130203, ENSG00000173372, ENSG00000173369, ENSG00000090382	raw marker Jaccard neighbor	5	0.3333333432674408	244	TREM2LOW	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025	10.1101/2025.11.27.690370	APOE, C1QA, C1QC
b_cell	MS4A1, CD79A, CD79B	ENSG00000156738, ENSG00000105369, ENSG00000007312	gene SVD + ridge to MiniLM text	1	0.8002966046333313	2956	B CELL	Comparative Analysis of Feature Selection Methods for Single-Cell RNA Sequencing Data	2025	10.64898/2025.12.02.691907	MS4A1, CD79A
b_cell	MS4A1, CD79A, CD79B	ENSG00000156738, ENSG00000105369, ENSG00000007312	gene SVD + ridge to MiniLM text	2	0.7785676121711731	235	PLASMA CELL	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025	10.1101/2025.11.27.690370	IGHG4, JCHAIN, MZB1
b_cell	MS4A1, CD79A, CD79B	ENSG00000156738, ENSG00000105369, ENSG00000007312	gene SVD + ridge to MiniLM text	3	0.7710871696472168	202	B CELL	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025	10.1101/2025.11.27.690370	MS4A1, CD79A
b_cell	MS4A1, CD79A, CD79B	ENSG00000156738, ENSG00000105369, ENSG00000007312	gene SVD + ridge to MiniLM text	4	0.764860987663269	1011	B CELL	A literature-derived knowledge graph augments the interpretation of single cell RNA-seq datasets	2021	10.1101/2021.04.01.438124	CD19, CD20
b_cell	MS4A1, CD79A, CD79B	ENSG00000156738, ENSG00000105369, ENSG00000007312	gene SVD + ridge to MiniLM text	5	0.7638231515884399	3267	B CELL	Spatial and Single-Cell Transcriptomics Decipher the Crosstalk Environment of DEFB1+ Cancer Cells and IFI30+ Macrophages in Intrahepatic Cholangiocarcinoma	2025	10.1101/2025.11.22.689892	MS4A1, CD79A
b_cell	MS4A1, CD79A, CD79B	ENSG00000156738, ENSG00000105369, ENSG00000007312	raw marker Jaccard neighbor	1	1.0	3612	B-CELL	Decontamination of ambient RNA in single-cell RNA-seq with DecontX	2019	10.1101/704015	CD79A, CD79B, MS4A1
b_cell	MS4A1, CD79A, CD79B	ENSG00000156738, ENSG00000105369, ENSG00000007312	raw marker Jaccard neighbor	2	0.75	877	B CELL	Celda: A Bayesian model to perform bi-clustering of genes into modules and cells into subpopulations using single-cell RNA-seq data	2020	10.1101/2020.11.16.373274	CD79A, CD79B, MS4A1, CD19
b_cell	MS4A1, CD79A, CD79B	ENSG00000156738, ENSG00000105369, ENSG00000007312	raw marker Jaccard neighbor	3	0.6666666865348816	645	B CELL	Accurate highly variable gene selection using RECODE in scRNA-seq data analysis	2025	10.1101/2025.06.23.661026	MS4A1, CD79A
b_cell	MS4A1, CD79A, CD79B	ENSG00000156738, ENSG00000105369, ENSG00000007312	raw marker Jaccard neighbor	4	0.6666666865348816	2527	B CELL	A multi-gene predictive model for the radiation sensitivity of nasopharyngeal carcinoma based on machine learning	2024	10.1101/2024.06.10.598247	MS4A1, CD79A
b_cell	MS4A1, CD79A, CD79B	ENSG00000156738, ENSG00000105369, ENSG00000007312	raw marker Jaccard neighbor	5	0.6666666865348816	2956	B CELL	Comparative Analysis of Feature Selection Methods for Single-Cell RNA Sequencing Data	2025	10.64898/2025.12.02.691907	MS4A1, CD79A
