resource	normalized_cell_type	n_profiles	n_studies	example_reported_labels	n_pairs	mean_jaccard	median_jaccard	q25_jaccard	q75_jaccard	pct_jaccard_eq_0	pct_jaccard_gt_0	pct_jaccard_ge_0_10	pct_jaccard_ge_0_25	pct_jaccard_eq_1	mean_shared_genes	underspecification_score
LLMarkers	MULLER GLIA	4	4	MÜLLER GLIA	6	0.10916791541791543	0.09545454545454546	0.08041958041958042	0.13214285714285715	0.0	1.0	0.5	0.0	0.0	1.1666666666666667	0.9045454545454545
LLMarkers	TUFT CELL	5	5	TUFT CELL	10	0.1203117144293615	0.1	0.0826923076923077	0.17941176470588235	0.1	0.9	0.7	0.0	0.0	1.3	0.9
LLMarkers	ENDOTHELIAL CELLS	4	4	ENDOTHELIAL CELLS	6	0.15	0.1	0.0	0.2	0.5	0.5	0.5	0.16666666666666666	0.0	0.6666666666666666	0.9
LLMarkers	CD 4 TREG	3	3	CD4 + TREG; CD4+ TREG; CD4_TREG	3	0.08888888888888889	0.1	0.05	0.13333333333333333	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.0	0.0	1.0	0.9
LLMarkers	DC 3	3	3	DC3	3	0.1074074074074074	0.1	0.05	0.1611111111111111	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.0	0.0	1.0	0.9
LLMarkers	STROMAL	4	4	STROMAL	6	0.07685185185185185	0.10555555555555556	0.025	0.12152777777777778	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.0	0.0	0.6666666666666666	0.8944444444444445
LLMarkers	CONE PHOTORECEPTOR	3	3	CONE PHOTORECEPTOR	3	0.11481481481481481	0.1111111111111111	0.08888888888888888	0.1388888888888889	0.0	1.0	0.6666666666666666	0.0	0.0	1.3333333333333333	0.8888888888888888
LLMarkers	MAC 1	3	3	MAC1	3	0.2101972101972102	0.1111111111111111	0.10101010101010101	0.2698412698412698	0.0	1.0	0.6666666666666666	0.3333333333333333	0.0	1.6666666666666667	0.8888888888888888
LLMarkers	EXHAUSTED CD 8 T CELL	4	4	EXHAUSTED CD8 T CELL; EXHAUSTED CD8+ T CELL	6	0.1121031746031746	0.1125	0.075	0.15625	0.16666666666666666	0.8333333333333334	0.6666666666666666	0.0	0.0	1.3333333333333333	0.8875
LLMarkers	EPI	4	4	EPI	6	0.1783501390208707	0.11428571428571428	0.06688311688311688	0.3035714285714286	0.0	1.0	0.5	0.3333333333333333	0.0	2.8333333333333335	0.8857142857142857
LLMarkers	DELTA CELL	5	5	DELTA CELL	10	0.16854700854700852	0.12142857142857143	0.017857142857142856	0.30219780219780223	0.3	0.7	0.6	0.4	0.0	1.8	0.8785714285714286
