normalized_cell_type	n_profiles	n_papers	n_source_corpora	example_reported_labels	global_label_underspecification_score	n_pairs	mean_jaccard	median_jaccard	q25_jaccard	q75_jaccard	pct_jaccard_eq_0	pct_jaccard_ge_0_10	pct_jaccard_ge_0_25	pct_jaccard_eq_1	mean_shared_genes
C 1	6	6	1	C1	1.0	15	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FB 1	6	6	1	FB-1; FB1	1.0	15	0.04584126984126984	0.0	0.0	0.07380952380952381	0.6	0.26666666666666666	0.0	0.0	0.5333333333333333
FIBROBLASTS	6	6	2	FIBROBLASTS	1.0	15	0.05999999999999999	0.0	0.0	0.0	0.8	0.2	0.06666666666666667	0.0	0.26666666666666666
MACROPHAGES	6	6	2	MACROPHAGES	1.0	15	0.0421043771043771	0.0	0.0	0.07272727272727272	0.6666666666666666	0.26666666666666666	0.06666666666666667	0.0	0.4
CLUSTER 0	5	5	2	CLUSTER 0	1.0	10	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
CLUSTER 7	5	5	1	CLUSTER 7	1.0	10	0.02777777777777778	0.0	0.0	0.0	0.8	0.2	0.0	0.0	0.2
DC	5	5	2	DC	1.0	10	0.014285714285714285	0.0	0.0	0.0	0.9	0.1	0.0	0.0	0.1
DUCTAL CELL	5	5	2	DUCTAL CELL	1.0	10	0.05277777777777778	0.0	0.0	0.12152777777777778	0.6	0.4	0.0	0.0	0.4
FB 2	5	5	1	FB2	1.0	10	0.013333333333333332	0.0	0.0	0.0	0.9	0.1	0.0	0.0	0.2
HEPATOCYTE	5	5	2	HEPATOCYTE	1.0	10	0.06777777777777777	0.0	0.0	0.10833333333333334	0.6	0.4	0.1	0.0	0.6
LYMPHOCYTE	5	5	2	LYMPHOCYTE	1.0	10	0.016666666666666666	0.0	0.0	0.0	0.9	0.1	0.0	0.0	0.1
MAC 2	5	5	1	MAC 2; MAC2	1.0	10	0.11944444444444444	0.0	0.0	0.0	0.8	0.2	0.2	0.0	0.7
MYOFIBROBLASTS	5	5	2	MYOFIBROBLASTS	1.0	10	0.1553846153846154	0.0	0.0	0.18846153846153846	0.6	0.4	0.1	0.1	0.7
NK CELLS	5	5	1	NK CELLS	1.0	10	0.07916666666666666	0.0	0.0	0.09375	0.7	0.3	0.1	0.0	0.4
PC	5	5	2	PC; PΑC	1.0	10	0.0375	0.0	0.0	0.0	0.9	0.1	0.1	0.0	0.3
T CELLS	5	5	1	T CELLS; ΑΒ T CELLS; ΓΔ T CELLS	1.0	10	0.05	0.0	0.0	0.0	0.9	0.1	0.1	0.0	0.3
BIPOLAR CELL	4	4	1	BIPOLAR CELL	1.0	6	0.07638888888888888	0.0	0.0	0.09375	0.6666666666666666	0.3333333333333333	0.16666666666666666	0.0	0.5
C 2	4	4	1	C2	1.0	6	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
C 3	4	4	1	C3	1.0	6	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
C 6	4	4	1	C6	1.0	6	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
CANCER ASSOCIATED FIBROBLAST	4	4	2	CANCER-ASSOCIATED FIBROBLAST	1.0	6	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
CLUSTER 8	4	4	2	CLUSTER 8	1.0	6	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
EPITHELIAL	4	4	2	EPITHELIAL	1.0	6	0.047619047619047616	0.0	0.0	0.0	0.8333333333333334	0.16666666666666666	0.16666666666666666	0.0	0.3333333333333333
FB 3	4	4	1	FB-3; FB3	1.0	6	0.022222222222222223	0.0	0.0	0.0	0.8333333333333334	0.16666666666666666	0.0	0.0	0.3333333333333333
HSPC	4	4	2	HSPC	1.0	6	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
MESANGIAL CELL	4	4	1	MESANGIAL CELL	1.0	6	0.023809523809523808	0.0	0.0	0.0	0.8333333333333334	0.16666666666666666	0.0	0.0	0.3333333333333333
TC	4	4	2	TC	1.0	6	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
AT 1	3	3	2	AT1	1.0	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ATRIAL CARDIOMYOCYTE	3	3	1	ATRIAL CARDIOMYOCYTE	1.0	3	0.14285714285714285	0.0	0.0	0.21428571428571427	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.0	1.0
C 4	3	3	1	C4	1.0	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
C 5	3	3	1	C5	1.0	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
CANCER CELL	3	3	2	CANCER CELL	1.0	3	0.0196078431372549	0.0	0.0	0.029411764705882353	0.6666666666666666	0.0	0.0	0.0	0.3333333333333333
CLUSTER 11	3	3	2	CLUSTER 11	1.0	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
CLUSTER 6	3	3	2	CLUSTER 6	1.0	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DISTAL	3	3	2	DISTAL	1.0	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ECS	3	3	1	ECS	1.0	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
EEC	3	3	2	EEC	1.0	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
EPI 4	3	3	2	EPI-4; EPI4	1.0	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FB 4	3	3	1	FB-4; FB4	1.0	3	0.08333333333333333	0.0	0.0	0.125	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.0	1.0
FIB 1	3	3	2	FIB1	1.0	3	0.06666666666666667	0.0	0.0	0.1	0.6666666666666666	0.3333333333333333	0.0	0.0	0.3333333333333333
M 1	3	3	2	M1	1.0	3	0.015151515151515152	0.0	0.0	0.022727272727272728	0.6666666666666666	0.0	0.0	0.0	0.3333333333333333
MAIT	3	3	2	MAIT	1.0	3	0.023809523809523808	0.0	0.0	0.03571428571428571	0.6666666666666666	0.0	0.0	0.0	0.3333333333333333
NEUROENDOCRINE	3	3	2	NEUROENDOCRINE	1.0	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
NEURONAL CELL	3	3	2	NEURONAL CELL	1.0	3	0.16666666666666666	0.0	0.0	0.25	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.0	0.6666666666666666
NEURONS	3	3	2	NEURONS	1.0	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
NEUTROPHILS	3	3	2	NEUTROPHILS	1.0	3	0.030303030303030304	0.0	0.0	0.045454545454545456	0.6666666666666666	0.0	0.0	0.0	0.3333333333333333
NK	3	3	1	NK	1.0	3	0.26666666666666666	0.0	0.0	0.4	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.0	1.3333333333333333
PE	3	3	1	PE	1.0	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PRINCIPAL CELL	3	3	1	PRINCIPAL CELL	1.0	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PROGENITOR	3	3	1	PROGENITOR	1.0	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PT 1	3	3	1	PT-1; PT1	1.0	3	0.06666666666666667	0.0	0.0	0.1	0.6666666666666666	0.3333333333333333	0.0	0.0	0.3333333333333333
STROMAL CELL	3	3	2	STROMAL CELL	1.0	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
T REG	3	3	1	T REG	1.0	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
TAM	3	3	2	TAM	1.0	3	0.03333333333333333	0.0	0.0	0.05	0.6666666666666666	0.3333333333333333	0.0	0.0	0.3333333333333333
TH 17	3	3	2	TH17	1.0	3	0.05555555555555555	0.0	0.0	0.08333333333333333	0.6666666666666666	0.3333333333333333	0.0	0.0	0.3333333333333333
TUMOR CELL	3	3	2	TUMOR CELL	1.0	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PLASMA CELL	16	16	2	PLASMA CELL	0.96875	120	0.10990588115588115	0.03125	0.0	0.16666666666666666	0.5	0.4583333333333333	0.15	0.0	0.7583333333333333
GC B CELL	4	4	2	GC B CELL	0.9642857142857143	6	0.04555860805860806	0.03571428571428571	0.0	0.07554945054945056	0.5	0.16666666666666666	0.0	0.0	0.5
PERICYTES	5	5	2	PERICYTES	0.9583333333333334	10	0.09595238095238094	0.041666666666666664	0.0	0.1607142857142857	0.5	0.4	0.1	0.0	0.6
BETA CELL	10	10	2	BETA CELL	0.9444444444444444	45	0.06687319555514767	0.05555555555555555	0.0	0.08823529411764706	0.35555555555555557	0.2222222222222222	0.044444444444444446	0.0	1.3111111111111111
GLIAL CELL	4	4	1	GLIAL CELL	0.9444444444444444	6	0.12328042328042328	0.05555555555555555	0.0	0.17777777777777778	0.5	0.5	0.16666666666666666	0.0	0.8333333333333334
NEUTROPHIL	4	4	2	NEUTROPHIL	0.9444444444444444	6	0.06712962962962964	0.05555555555555555	0.0	0.12152777777777778	0.5	0.5	0.0	0.0	0.5
STEM CELL	7	7	2	STEM CELL	0.9411764705882353	21	0.2788593215063803	0.058823529411764705	0.0	0.4444444444444444	0.47619047619047616	0.47619047619047616	0.47619047619047616	0.047619047619047616	1.7142857142857142
GOBLET	4	4	2	GOBLET	0.9375	6	0.07242063492063491	0.0625	0.0	0.13839285714285715	0.5	0.5	0.0	0.0	0.5
NEPHRON PROGENITOR	4	4	1	NEPHRON PROGENITOR	0.9375	6	0.06845238095238095	0.0625	0.0	0.13839285714285715	0.5	0.5	0.0	0.0	0.5
SMCS	4	4	1	SMCS	0.9375	6	0.09027777777777778	0.0625	0.0	0.15625	0.5	0.5	0.16666666666666666	0.0	0.6666666666666666
EXCITATORY NEURON	5	5	2	EXCITATORY NEURON	0.9333333333333333	10	0.09151515151515152	0.06666666666666667	0.0	0.09090909090909091	0.4	0.2	0.1	0.0	0.8
HSC	5	5	2	HSC	0.9270833333333334	10	0.0775818054494525	0.07291666666666666	0.007142857142857143	0.11096256684491979	0.3	0.3	0.1	0.0	1.2
IMMUNE	3	3	1	IMMUNE	0.9230769230769231	3	0.0673076923076923	0.07692307692307693	0.038461538461538464	0.10096153846153846	0.3333333333333333	0.3333333333333333	0.0	0.0	0.6666666666666666
INFLAMMATORY MACROPHAGE	3	3	1	INFLAMMATORY MACROPHAGE	0.9230769230769231	3	0.0673076923076923	0.07692307692307693	0.038461538461538464	0.10096153846153846	0.3333333333333333	0.3333333333333333	0.0	0.0	0.6666666666666666
SMC	5	5	1	SMC	0.92	10	0.10142207792207791	0.08	0.010416666666666666	0.1412337662337662	0.3	0.4	0.1	0.0	1.2
ENDOTHELIAL	5	5	2	ENDOTHELIAL	0.9166666666666666	10	0.09333333333333334	0.08333333333333333	0.0	0.19166666666666668	0.5	0.5	0.0	0.0	0.5
MEMORY B CELL	5	5	1	MEMORY B CELL	0.9166666666666666	10	0.20166666666666666	0.08333333333333333	0.0	0.35000000000000003	0.5	0.5	0.3	0.0	0.9
T H 17	3	3	1	T H 17	0.9166666666666666	3	0.09444444444444444	0.08333333333333333	0.041666666666666664	0.14166666666666666	0.3333333333333333	0.3333333333333333	0.0	0.0	1.0
MYOFIBROBLAST	8	8	2	MYOFIBROBLAST	0.9148550724637681	28	0.13984273968211194	0.08514492753623187	0.06158088235294118	0.13846153846153847	0.0	0.42857142857142855	0.07142857142857142	0.0	1.5714285714285714
CONE	3	3	1	CONE	0.9090909090909091	3	0.09511784511784512	0.09090909090909091	0.08712121212121213	0.10101010101010101	0.0	0.3333333333333333	0.0	0.0	1.6666666666666667
ROD	3	3	1	ROD	0.9090909090909091	3	0.07196969696969698	0.09090909090909091	0.045454545454545456	0.10795454545454546	0.3333333333333333	0.3333333333333333	0.0	0.0	0.6666666666666666
VEC	3	3	1	VEC	0.9090909090909091	3	0.09696969696969697	0.09090909090909091	0.045454545454545456	0.14545454545454545	0.3333333333333333	0.3333333333333333	0.0	0.0	0.6666666666666666
ABERRANT BASALOID CELL	3	3	1	ABERRANT BASALOID CELL	0.9047619047619048	3	0.357609710550887	0.09523809523809523	0.09523809523809523	0.4887955182072829	0.0	0.3333333333333333	0.3333333333333333	0.0	6.333333333333333
MULLER GLIA	4	4	1	MÜLLER GLIA	0.9045454545454545	6	0.10916791541791543	0.09545454545454546	0.08041958041958042	0.13214285714285715	0.0	0.5	0.0	0.0	1.1666666666666667
TUFT CELL	5	5	1	TUFT CELL	0.9	10	0.1203117144293615	0.1	0.0826923076923077	0.17941176470588235	0.1	0.7	0.0	0.0	1.3
ENDOTHELIAL CELLS	4	4	1	ENDOTHELIAL CELLS	0.9	6	0.15	0.1	0.0	0.2	0.5	0.5	0.16666666666666666	0.0	0.6666666666666666
CD 4 TREG	3	3	1	CD4 + TREG; CD4+ TREG; CD4_TREG	0.9	3	0.08888888888888889	0.1	0.05	0.13333333333333333	0.3333333333333333	0.6666666666666666	0.0	0.0	1.0
DC 3	3	3	1	DC3	0.9	3	0.1074074074074074	0.1	0.05	0.1611111111111111	0.3333333333333333	0.6666666666666666	0.0	0.0	1.0
STROMAL	4	4	1	STROMAL	0.8944444444444445	6	0.07685185185185185	0.10555555555555556	0.025	0.12152777777777778	0.3333333333333333	0.6666666666666666	0.0	0.0	0.6666666666666666
CONE PHOTORECEPTOR	3	3	2	CONE PHOTORECEPTOR	0.8888888888888888	3	0.11481481481481481	0.1111111111111111	0.08888888888888888	0.1388888888888889	0.0	0.6666666666666666	0.0	0.0	1.3333333333333333
MAC 1	3	3	1	MAC1	0.8888888888888888	3	0.2101972101972102	0.1111111111111111	0.10101010101010101	0.2698412698412698	0.0	0.6666666666666666	0.3333333333333333	0.0	1.6666666666666667
EXHAUSTED CD 8 T CELL	4	4	2	EXHAUSTED CD8 T CELL; EXHAUSTED CD8+ T CELL	0.8875	6	0.1121031746031746	0.1125	0.075	0.15625	0.16666666666666666	0.6666666666666666	0.0	0.0	1.3333333333333333
EPI	4	4	2	EPI	0.8857142857142857	6	0.1783501390208707	0.11428571428571428	0.06688311688311688	0.3035714285714286	0.0	0.5	0.3333333333333333	0.0	2.8333333333333335
DELTA CELL	5	5	2	DELTA CELL	0.8785714285714286	10	0.16854700854700852	0.12142857142857143	0.017857142857142856	0.30219780219780223	0.3	0.6	0.4	0.0	1.8
B CELL	30	30	2	B CELL; B-CELL	0.875	435	0.14662106093140576	0.125	0.0	0.2	0.42528735632183906	0.5563218390804597	0.19770114942528735	0.009195402298850575	0.8436781609195402
PERICYTE	14	14	2	PERICYTE	0.875	91	0.12992206206491919	0.125	0.0	0.2	0.4065934065934066	0.5274725274725275	0.14285714285714285	0.0	0.8021978021978022
SMOOTH MUSCLE CELL	9	9	2	SMOOTH MUSCLE CELL	0.875	36	0.13115079365079366	0.125	0.0	0.16666666666666666	0.4722222222222222	0.5277777777777778	0.1388888888888889	0.027777777777777776	0.6944444444444444
ASTROCYTE	8	8	2	ASTROCYTE	0.875	28	0.13102215245072388	0.125	0.07692307692307693	0.15705128205128205	0.17857142857142858	0.6428571428571429	0.07142857142857142	0.0	1.1785714285714286
GOBLET CELL	8	8	2	GOBLET CELL	0.875	28	0.17198168894597465	0.125	0.057692307692307696	0.2	0.25	0.6785714285714286	0.21428571428571427	0.03571428571428571	1.1785714285714286
CD 8 GZMK	3	3	1	CD8 GZMK; CD8+GZMK; CD8-GZMK	0.875	3	0.11574074074074074	0.125	0.0625	0.1736111111111111	0.3333333333333333	0.6666666666666666	0.0	0.0	1.0
INHIBITORY NEURON	3	3	2	INHIBITORY NEURON	0.875	3	0.25	0.125	0.125	0.3125	0.0	1.0	0.3333333333333333	0.0	1.3333333333333333
PDCS	3	3	2	PDCS	0.875	3	0.21203703703703702	0.125	0.11805555555555555	0.2625	0.0	1.0	0.3333333333333333	0.0	1.3333333333333333
RPE	3	3	2	RPE	0.875	3	0.09294871794871795	0.125	0.0625	0.13942307692307693	0.3333333333333333	0.6666666666666666	0.0	0.0	1.0
ALPHA CELL	6	6	2	ALPHA CELL	0.8636363636363636	15	0.1470258166916171	0.13636363636363635	0.08712121212121213	0.18198529411764708	0.0	0.6666666666666666	0.06666666666666667	0.0	2.6
CDC 2	9	9	2	CDC2	0.8571428571428572	36	0.1384004884004884	0.14285714285714285	0.07142857142857142	0.16666666666666666	0.16666666666666666	0.6666666666666666	0.19444444444444445	0.0	1.0555555555555556
BASAL CELL	7	7	2	BASAL CELL	0.8571428571428572	21	0.16447467876039307	0.14285714285714285	0.0	0.3333333333333333	0.38095238095238093	0.6190476190476191	0.38095238095238093	0.0	1.0476190476190477
CHONDROCYTE	3	3	2	CHONDROCYTE	0.8571428571428572	3	0.42857142857142855	0.14285714285714285	0.14285714285714285	0.5714285714285714	0.0	1.0	0.3333333333333333	0.3333333333333333	2.3333333333333335
CYTOTOXIC	3	3	2	CYTOTOXIC	0.8571428571428572	3	0.15178571428571427	0.14285714285714285	0.10267857142857142	0.19642857142857142	0.0	0.6666666666666666	0.3333333333333333	0.0	1.6666666666666667
TCM	3	3	2	TCM	0.8571428571428572	3	0.20634920634920637	0.14285714285714285	0.14285714285714285	0.23809523809523808	0.0	1.0	0.3333333333333333	0.0	1.3333333333333333
B CELLS	5	5	1	B CELLS	0.8452380952380952	10	0.17761904761904762	0.15476190476190477	0.0	0.3416666666666667	0.4	0.6	0.3	0.0	0.9
VASCULAR SMOOTH MUSCLE CELL	4	4	2	VASCULAR SMOOTH MUSCLE CELL	0.8375	6	0.1494047619047619	0.1625	0.03125	0.2642857142857143	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.0	1.0
TE	4	4	2	TE	0.8373015873015873	6	0.1738909238909239	0.16269841269841268	0.09027777777777778	0.24107142857142858	0.16666666666666666	0.6666666666666666	0.3333333333333333	0.0	2.1666666666666665
OLIGODENDROCYTE	7	7	2	OLIGODENDROCYTE	0.8333333333333334	21	0.21840513983371124	0.16666666666666666	0.14285714285714285	0.2857142857142857	0.14285714285714285	0.8571428571428571	0.3333333333333333	0.0	1.2857142857142858
BASAL 1	3	3	2	BASAL 1; BASAL1	0.8333333333333334	3	0.1111111111111111	0.16666666666666666	0.08333333333333333	0.16666666666666666	0.3333333333333333	0.6666666666666666	0.0	0.0	0.6666666666666666
EPIBLAST	3	3	2	EPIBLAST	0.8333333333333334	3	0.20573870573870576	0.16666666666666666	0.15476190476190477	0.23717948717948717	0.0	1.0	0.3333333333333333	0.0	2.3333333333333335
MESOTHELIAL CELL	3	3	2	MESOTHELIAL CELL	0.8333333333333334	3	0.17777777777777778	0.16666666666666666	0.16666666666666666	0.18333333333333335	0.0	1.0	0.0	0.0	1.0
MREGDC	3	3	2	MREGDC	0.8333333333333334	3	0.1923076923076923	0.16666666666666666	0.12179487179487179	0.25	0.0	0.6666666666666666	0.3333333333333333	0.0	2.3333333333333335
NAIVE T CELL	3	3	2	NAIVE T CELL; NAÏVE T CELL	0.8333333333333334	3	0.2400793650793651	0.16666666666666666	0.14583333333333331	0.2976190476190476	0.0	1.0	0.3333333333333333	0.0	1.6666666666666667
OSTEOCLAST	3	3	2	OSTEOCLAST	0.8333333333333334	3	0.12962962962962962	0.16666666666666666	0.08333333333333333	0.19444444444444442	0.3333333333333333	0.6666666666666666	0.0	0.0	1.0
PLASMACYTOID DENDRITIC CELL	3	3	2	PLASMACYTOID DENDRITIC CELL	0.8333333333333334	3	0.15873015873015872	0.16666666666666666	0.15476190476190477	0.16666666666666666	0.0	1.0	0.0	0.0	1.0
TREG	15	15	2	TREG	0.8181818181818181	105	0.2004648898859425	0.18181818181818182	0.09090909090909091	0.3	0.2	0.7428571428571429	0.3523809523809524	0.0	1.8666666666666667
OPC	5	5	2	OPC	0.8090909090909091	10	0.23724025974025972	0.19090909090909092	0.1488095238095238	0.26704545454545453	0.0	1.0	0.4	0.0	2.0
MAST CELL	15	15	2	MAST CELL	0.8	105	0.24698412698412703	0.2	0.0	0.5	0.3238095238095238	0.6761904761904762	0.3238095238095238	0.0380952380952381	1.0761904761904761
CDC 1	11	11	2	CDC1	0.8	55	0.2534920634920635	0.2	0.125	0.35416666666666663	0.21818181818181817	0.7818181818181819	0.4727272727272727	0.01818181818181818	1.509090909090909
ENTEROENDOCRINE CELL	7	7	2	ENTEROENDOCRINE CELL	0.8	21	0.24854497354497357	0.2	0.14285714285714285	0.3333333333333333	0.0	1.0	0.3333333333333333	0.0	1.380952380952381
ENTEROCYTE	6	6	2	ENTEROCYTE	0.8	15	0.21182539682539683	0.2	0.1125	0.2	0.2	0.8	0.2	0.06666666666666667	1.0666666666666667
ADIPOCYTE	5	5	1	ADIPOCYTE	0.8	10	0.2153968253968254	0.2	0.175	0.2222222222222222	0.1	0.9	0.2	0.0	1.5
LYMPHATIC ENDOTHELIAL CELL	4	4	1	LYMPHATIC ENDOTHELIAL CELL	0.8	6	0.13333333333333333	0.2	0.05	0.2	0.3333333333333333	0.6666666666666666	0.0	0.0	0.6666666666666666
NATURAL KILLER NK CELL	4	4	2	NATURAL KILLER (NK) CELL	0.8	6	0.35555555555555557	0.2	0.175	0.35000000000000003	0.0	1.0	0.3333333333333333	0.16666666666666666	1.5
INTERNEURON	4	4	1	INTERNEURON	0.7638888888888888	6	0.2767857142857143	0.2361111111111111	0.18055555555555555	0.2767857142857143	0.0	1.0	0.5	0.0	2.1666666666666665
PLASMABLAST	4	4	1	PLASMABLAST	0.75	6	0.33888888888888896	0.25	0.16666666666666666	0.5333333333333333	0.0	1.0	0.5	0.0	1.8333333333333333
CD 14 MONOCYTE	3	3	2	CD14+ MONOCYTE	0.75	3	0.23611111111111113	0.25	0.16666666666666666	0.3125	0.0	0.6666666666666666	0.6666666666666666	0.0	2.0
PROXIMAL TUBULE	4	4	1	PROXIMAL TUBULE	0.7333333333333334	6	0.3722222222222222	0.26666666666666666	0.2	0.3333333333333333	0.0	1.0	0.5	0.16666666666666666	2.1666666666666665
