source_corpus	paper_id	paper_key	relation	relation_label	marker_scope	marker_scope_label	n_profiles_with_comparison	paper_n_profiles	local_marker_lb_log2	atlas_marker_lb_log2	marker_lb_gap_log2	median_observed_union_recall	median_expected_union_recall	median_union_recall_lift	median_observed_mean_profile_recall	median_expected_mean_profile_recall	median_mean_profile_recall_lift
hca	0026_10.1038_s41586-020-2922-4_1612ece6e2	hca:0026_10.1038_s41586-020-2922-4_1612ece6e2	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	5	3	12	9	0.75	0.2426184726806799	3.091273272448243	0.028455284552845527	0.002390914524805738	11.901422764227643
hca	0186_10.1016_j.devcel.2020.01.033_6afe089f1e	hca:0186_10.1016_j.devcel.2020.01.033_6afe089f1e	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	4	2	12	10	0.8333333333333333	0.30226369357616933	2.9860699271665117	0.008196721311475409	0.00313713773528533	2.8179926942266573
hca	0370_10.1038_s41698-022-00251-1_1483c4b104	hca:0370_10.1038_s41698-022-00251-1_1483c4b104	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	3	14	4	12	8	1.0	0.2327591747829667	2.9712516915955027	0.047938638542665384	0.003695934472080711	13.565040650406505
hca	0329_10.1164_rccm.201712-2410oc_fdd97d9097	hca:0329_10.1164_rccm.201712-2410oc_fdd97d9097	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	4	4	2	12	10	0.7083333333333333	0.37982361943396314	2.9562955402147537	0.03564189189189189	0.004771063639079773	9.739869734139496
hca	0069_10.1038_s41467-021-23355-x_92232969b4	hca:0069_10.1038_s41467-021-23355-x_92232969b4	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	8	3	12	9	1.0	0.3429803311612436	2.915619087002033	0.04782608695652174	0.0049057732575530965	9.748939554612937
hca	0368_10.1016_j.cell.2019.08.008_98c14c4ebe	hca:0368_10.1016_j.cell.2019.08.008_98c14c4ebe	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	1	0	12	12	1.0	0.3536070889574403	2.8279976030694303	0.1213768115942029	0.0051741293532338315	23.458403010033443
biorxiv	78211bc7-6c0f-1014-bc42-c103d41718b8	biorxiv:78211bc7-6c0f-1014-bc42-c103d41718b8	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	12	4	12	8	0.5	0.17804965351087912	2.8082054086639894	0.00819672131147541	0.0038185085354896678	2.146576663452266
hca	0427_10.7150_ijbs.58886_44183be8e8	hca:0427_10.7150_ijbs.58886_44183be8e8	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	9	4	12	8	0.9166666666666667	0.3760399336744428	2.74355109722359	0.05313977343680314	0.004812487532415719	11.710600224951389
hca	0488_10.1073_pnas.1908706116_5dfd6c0233	hca:0488_10.1073_pnas.1908706116_5dfd6c0233	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	3	6	3	12	9	0.25	0.20663865161007772	2.7433522521620333	0.0033783783783783786	0.0023168908819133035	3.5232778597008636
hca	0214_10.1126_science.abo0510_808a3cb920	hca:0214_10.1126_science.abo0510_808a3cb920	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	3	2	12	10	0.5	0.1842648218316832	2.7134859222164787	0.005434782608695652	0.002613500597371565	2.0795031055900624
biorxiv	446f40c7-6f7f-1014-8708-b70b3848c315	biorxiv:446f40c7-6f7f-1014-8708-b70b3848c315	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	6	20	5	12	7	0.875	0.30737486541202474	2.698654000839447	0.042400287459576	0.003752626838787151	8.24411342293418
hca	0475_10.1101_2021.07.19.452956_e30bf05aad	hca:0475_10.1101_2021.07.19.452956_e30bf05aad	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	1	0	12	12	1.0	0.37190458044352764	2.6888617472993084	0.006100217864923747	0.002255389718076285	2.704728950403691
