profile_i	profile_j	profile_id_i	profile_id_j	label_i	label_j	cl_id_i	cl_id_j	cl_label_i	cl_label_j	marker_jaccard	ontology_similarity	ontology_common_id	ontology_graph_distance	label_similarity	same_paper
4	6	1057	1829	HNDAM	EXHAUSTED CD8 T CELL	CL:4047053	CL:0011025	TREM2-positive macrophage	exhausted T cell	0.0	0.1111111111111111	CL:0000842	8	0.0	False
4	7	1057	2113	HNDAM	PLASMACYTOID DENDRITIC CELL	CL:4047053	CL:0000786	TREM2-positive macrophage	plasma cell	0.0	0.125	CL:0000842	7	0.0	False
4	8	1057	2259	HNDAM	ALVEOLAR MAC	CL:4047053	CL:0000235	TREM2-positive macrophage	macrophage	0.030303030303030304	0.5	CL:0000235	1	0.0	False
4	9	1057	2263	HNDAM	NK CELL	CL:4047053	CL:0000623	TREM2-positive macrophage	natural killer cell	0.0	0.125	CL:0000842	7	0.0	False
4	10	1057	2449	HNDAM	ACTIVATED MEMORY CELL	CL:4047053	CL:0000910	TREM2-positive macrophage	cytotoxic T cell	0.0	0.1111111111111111	CL:0000842	8	0.0	False
4	11	1057	2737	HNDAM	NEUTROPHIL	CL:4047053	CL:0001064	TREM2-positive macrophage	malignant cell	0.0	0.0	CL:0000000	8	0.0	False
4	12	1057	3111	HNDAM	MONOCYTE	CL:4047053	CL:0002057	TREM2-positive macrophage	CD14-positive, CD16-negative classical monocyte	0.0	0.16666666666666666	CL:0000766	5	0.0	False
4	13	1057	3291	HNDAM	MONOCYTE	CL:4047053	CL:0002057	TREM2-positive macrophage	CD14-positive, CD16-negative classical monocyte	0.0	0.16666666666666666	CL:0000766	5	0.0	False
4	14	1057	3472	HNDAM	CD4.9	CL:4047053	CL:0011025	TREM2-positive macrophage	exhausted T cell	0.0	0.1111111111111111	CL:0000842	8	0.0	False
4	15	1057	3509	HNDAM	CXCL9-POSITIVE	CL:4047053	CL:0000235	TREM2-positive macrophage	macrophage	0.0	0.5	CL:0000235	1	0.0	False
4	16	1057	3819	HNDAM	CD8T_GZMB	CL:4047053	CL:0000910	TREM2-positive macrophage	cytotoxic T cell	0.0	0.1111111111111111	CL:0000842	8	0.0	False
4	17	1057	3856	HNDAM	DCS	CL:4047053	CL:0000841	TREM2-positive macrophage	mature conventional dendritic cell	0.02631578947368421	0.25	CL:0000766	3	0.0	False
5	6	1333	1829	DENDRITIC CELL	EXHAUSTED CD8 T CELL	CL:2000001	CL:0011025	peripheral blood mononuclear cell	exhausted T cell	0.0	0.14285714285714285	CL:0000842	6	0.0	False
