label_token	display_label_token	n_profiles_with_token	n_papers_with_token	n_cross_paper_pairs_with_token	marker_linked_fraction	background_marker_linked_fraction	marker_linked_lift	mean_marker_jaccard	background_mean_marker_jaccard	mean_marker_jaccard_lift
smc	smc	15	10	96	0.4583333333333333	0.020020112654446982	22.893644069057007	0.06997795816547263	0.0026539779524491726	26.36719649494255
pericyte	pericyte	16	16	120	0.45	0.020020112654446982	22.477395995074154	0.09819955507455509	0.0026539779524491726	37.00089331335007
interneuron	interneuron	10	6	40	0.45	0.020020112654446982	22.477395995074154	0.09650793650793651	0.0026539779524491726	36.36350347932469
oligodendrocyte	oligodendrocyte	14	11	88	0.4431818181818182	0.020020112654446982	22.13682938908818	0.09884976134976141	0.0026539779524491726	37.245886409319944
opc	opc	9	7	34	0.4411764705882353	0.020020112654446982	22.036662740268778	0.11928635090399796	0.0026539779524491726	44.94624787440937
podocyte	podocyte	15	8	91	0.42857142857142855	0.020020112654446982	21.407043804832526	0.09114197700109535	0.0026539779524491726	34.34164813501435
basal	basal	42	31	845	0.4272189349112426	0.020020112654446982	21.339487059097355	0.11075541681995638	0.0026539779524491726	41.73185263944935
plasma	plasma	23	21	251	0.42231075697211157	0.020020112654446982	21.094324705425944	0.08905440281406998	0.0026539779524491726	33.555065041850796
trm	trm	9	7	34	0.4117647058823529	0.020020112654446982	20.567551890917525	0.053260203421317494	0.0026539779524491726	20.068065513568918
ccl	ccl	8	7	27	0.4074074074074074	0.020020112654446982	20.349905839161785	0.11078684689795798	0.0026539779524491726	41.743695269103675
pt	pt	12	7	59	0.4067796610169492	0.020020112654446982	20.318550052044436	0.06226027904741763	0.0026539779524491726	23.45922994196765
nephron	nephron	13	8	71	0.39436619718309857	0.020020112654446982	19.698500402568897	0.07733268296648577	0.0026539779524491726	29.138404444965637
cardiomyocyte	cardiomyocyte	17	11	128	0.3671875	0.020020112654446982	18.340930759869536	0.0420768527969615	0.0026539779524491726	15.854258607586278
naive	naive	28	22	372	0.3655913978494624	0.020020112654446982	18.261205826344593	0.14040852367465287	0.0026539779524491726	52.90493221508474
muscle	muscle	23	22	252	0.36507936507936506	0.020020112654446982	18.2356299078203	0.09691358024691353	0.0026539779524491726	36.51634715257476
effector	effector	8	8	28	0.35714285714285715	0.020020112654446982	17.839203170693775	0.059642126081201716	0.0026539779524491726	22.47272854175828
enterocyte	enterocyte	9	7	34	0.35294117647058826	0.020020112654446982	17.629330192215026	0.10227591036414566	0.0026539779524491726	38.53683496871641
glial	glial	10	8	43	0.3488372093023256	0.020020112654446982	17.424337980677638	0.07415039740621136	0.0026539779524491726	27.939341899122823
pericytes	pericytes	7	7	21	0.3333333333333333	0.020020112654446982	16.64992295931419	0.05795712224283652	0.0026539779524491726	21.837831090251488
CD14	CD14	11	9	53	0.32075471698113206	0.020020112654446982	16.021623979717425	0.059526932556899254	0.0026539779524491726	22.429324441812323
fb	fb	21	11	195	0.3128205128205128	0.020020112654446982	15.625312315664084	0.04176669795086707	0.0026539779524491726	15.737394469431623
myeloid	myeloid	15	13	103	0.3106796116504854	0.020020112654446982	15.518374797030699	0.05690784404376637	0.0026539779524491726	21.442470534184377
excitatory	excitatory	11	8	49	0.30612244897959184	0.020020112654446982	15.290745574880377	0.051638837353123065	0.0026539779524491726	19.457146320853628
NK_CELL	NK CELL	70	48	2384	0.3011744966442953	0.020020112654446982	15.043596499313239	0.05938703428031649	0.0026539779524491726	22.376611767069242
cycling	cycling	7	6	20	0.3	0.020020112654446982	14.98493066338277	0.08333333333333334	0.0026539779524491726	31.39940678724583
tc	tc	7	6	20	0.3	0.020020112654446982	14.98493066338277	0.024834119054320293	0.0026539779524491726	9.357319276673946
tubule	tubule	7	6	20	0.3	0.020020112654446982	14.98493066338277	0.11166666666666665	0.0026539779524491726	42.0752050949094
astrocytes	astrocytes	8	7	27	0.2962962962962963	0.020020112654446982	14.79993151939039	0.03194978889423333	0.0026539779524491726	12.038453019079938
B_CELL	B CELL	65	49	2059	0.2914035939776591	0.020020112654446982	14.555542169385888	0.06981728675512085	0.0026539779524491726	26.306656651269957
nk	nk	68	47	2248	0.29137010676156583	0.020020112654446982	14.553869490681663	0.05646469112883563	0.0026539779524491726	21.275493670446007
microglia	microglia	24	20	269	0.2862453531598513	0.020020112654446982	14.297889232719617	0.028925849193939143	0.0026539779524491726	10.899054066084263
ductal	ductal	11	7	49	0.2857142857142857	0.020020112654446982	14.271362536555017	0.04886694937715346	0.0026539779524491726	18.412718663339888
regulatory	regulatory	7	7	21	0.2857142857142857	0.020020112654446982	14.271362536555017	0.07169827526970383	0.0026539779524491726	27.015399733648298
