group	target	rank	nnz	nnz_frac	mean	log_fc	p_raw	p_corr
Mon	ENSG00000198727	22.0	424.0	0.9680365296803652	2.1886372978874515	0.2366981859694688	4.8061945300380405e-08	0.0016193991849510173
NK	ENSG00000117281	464.0	32.0	0.2782608695652174	0.23930594495724578	0.2349302770346484	4.17839781433425e-09	0.0001407869359561782
NK	ENSG00000181036	672.0	24.0	0.20869565217391303	0.1743318489657211	0.1687737162936585	8.690898057083265e-07	0.02928311191353635
NK	ENSG00000158869	120.0	88.0	0.7652173913043478	0.9187632767226992	0.314232316635225	4.001123768878185e-07	0.013481386426858156
NK	ENSG00000203747	232.0	48.0	0.41739130434782606	0.44327360142344396	0.3851389847807246	2.8537743348539335e-11	9.615507243856844e-07
NK	ENSG00000198821	240.0	52.0	0.45217391304347826	0.4285608995126094	0.386268731802494	5.248731031511124e-13	1.768507433757358e-08
NK	ENSG00000143185	274.0	38.0	0.33043478260869563	0.37566615458781355	0.34276721107685754	5.080843695479465e-09	0.0001711939474754851
NK	ENSG00000143184	194.0	49.0	0.4260869565217391	0.535732399416666	0.47538945166348895	2.14913280244887e-11	7.241288064571223e-07
NK	ENSG00000081237	141.0	83.0	0.7217391304347827	0.7919588229068225	0.3208445969409705	1.0234845270945527e-07	0.003448528765592386
NK	ENSG00000115738	118.0	89.0	0.7739130434782608	0.9343791062847343	0.6138919657938531	3.0107076586575186e-18	1.0144278385080643e-13
NK	ENSG00000115523	31.0	83.0	0.7217391304347827	1.776764599046289	1.749429019240848	4.987145874845469e-30	1.6803689310704323e-25
NK	ENSG00000088179	453.0	33.0	0.28695652173913044	0.2422788830199695	0.1979226609912424	4.1336031819971653e-07	0.01392776256142125
NK	ENSG00000163466	137.0	86.0	0.7478260869565218	0.835535825887268	0.2809148091188507	7.381400727587083e-07	0.024870891611531918
NK	ENSG00000187118	142.0	72.0	0.6260869565217392	0.7910684884041437	0.7084598303274438	2.5994919896545884e-18	8.75872830994217e-14
NK	ENSG00000159674	248.0	44.0	0.3826086956521739	0.4177196035299535	0.3921417240011133	2.5346402113947104e-11	8.540216728273338e-07
NK	ENSG00000137441	179.0	55.0	0.4782608695652174	0.5921783465672158	0.5910457305509271	1.1316738192671334e-15	3.813061766638679e-11
NK	ENSG00000074966	461.0	31.0	0.26956521739130435	0.24024329331589095	0.2193275819381674	1.361960762927699e-07	0.004588990594608589
NK	ENSG00000171476	190.0	63.0	0.5478260869565217	0.5446772009384017	0.4448981915155262	6.097596946766727e-14	2.054524315243581e-09
NK	ENSG00000109321	191.0	54.0	0.46956521739130436	0.5406630352755736	0.4410878347350341	2.6522100646509613e-11	8.93635659183495e-07
NK	ENSG00000145287	208.0	57.0	0.4956521739130435	0.4981147816282461	0.43761796502388056	4.0231296659315786e-14	1.3555533096389861e-09
NK	ENSG00000145649	94.0	100.0	0.8695652173913043	1.2423235645873183	1.0002151017254952	2.218889071842969e-31	7.476324838667699e-27
NK	ENSG00000206503	50.0	111.0	0.9652173913043478	1.6398860355771612	0.48194252057514664	3.147261174392704e-17	1.0604381800998777e-12
NK	ENSG00000204525	73.0	106.0	0.9217391304347826	1.378670554691473	0.3810385454529469	4.834093085698434e-10	1.6287993242952303e-05
NK	ENSG00000234745	18.0	115.0	1.0	2.047701140228018	0.4358222906463751	8.381509935544676e-17	2.824065957682423e-12
NK	ENSG00000112576	376.0	38.0	0.33043478260869563	0.28527039836209767	0.20215747737409936	1.1997829538964205e-06	0.04042548684858599
NK	ENSG00000136213	326.0	43.0	0.3739130434782609	0.3237335118748232	0.256162183240928	9.443725307338675e-09	0.00031819688050546935
NK	ENSG00000147168	252.0	53.0	0.4608695652173913	0.41467456479931414	0.26015170329149395	4.1578011626912494e-08	0.0014009295237571895
NK	ENSG00000136950	331.0	41.0	0.3565217391304348	0.3190552935070108	0.26856943522704185	4.8671803853170464e-09	0.00016399477590287257
NK	ENSG00000169583	264.0	45.0	0.391304347826087	0.3862528017525414	0.36991876825470504	2.4018828017953255e-12	8.09290391236917e-08
NK	ENSG00000185201	85.0	103.0	0.8956521739130435	1.2895928992668244	0.8317733246887135	2.6547999168152278e-27	8.945082839717228e-23
NK	ENSG00000130592	231.0	55.0	0.4782608695652174	0.4436508694134148	0.23389487694353903	1.0523079039930208e-06	0.035456462517140845
NK	ENSG00000133321	254.0	54.0	0.46956521739130436	0.40954804959792696	0.22765146245178472	5.103731792761138e-07	0.017196513902529378
NK	ENSG00000172757	97.0	98.0	0.8521739130434782	1.1871162239440838	0.4083908620176604	7.950037147779869e-11	2.678685516572949e-06
NK	ENSG00000172543	132.0	82.0	0.7130434782608696	0.8504949162534152	0.7838978576783215	2.6332291304497915e-25	8.872402232137528e-21
NK	ENSG00000172531	246.0	52.0	0.45217391304347826	0.4213809425881689	0.2542711778574851	2.0221829326619082e-07	0.006813543173311033
