file_id	file_name	file_type	file_uri	data_id	data_type	group_label	group_name	group_id
Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#Cornea	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	xlsx	tables/Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#Cornea	deg	Corneal fibroblasts	CORNEAL FIBROBLAST	http://purl.obolibrary.org/obo/CL_0002550
Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#Cornea	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	xlsx	tables/Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#Cornea	deg	cytotoxic T cells	CYTOTOXIC T CELL	http://purl.obolibrary.org/obo/CL_0000910
Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#Cornea	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	xlsx	tables/Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#Cornea	deg	ELF3-hi corneal epithelial cells	ELF3-HI CORNEAL EPITHELIAL CELL	http://purl.obolibrary.org/obo/CL_0000575
Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#Cornea	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	xlsx	tables/Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#Cornea	deg	melanocytes	MELANOCYTE	http://purl.obolibrary.org/obo/CL_0002567
Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#Cornea	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	xlsx	tables/Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#Cornea	deg	monocytes	MONOCYTE	http://purl.obolibrary.org/obo/CL_0000576
Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#Cornea	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	xlsx	tables/Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#Cornea	deg	TGFBI-hi corneal epithelial cells	TGFBI-HI CORNEAL EPITHELIAL CELL	http://purl.obolibrary.org/obo/CL_0000575
Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#IrisCiliaryBody	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	xlsx	tables/Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#IrisCiliaryBody	deg	activated T cells	ACTIVATED T CELL	http://purl.obolibrary.org/obo/CL_0000084
Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#IrisCiliaryBody	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	xlsx	tables/Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#IrisCiliaryBody	deg	Ciliary body cells	CILIARY BODY CELL	http://purl.obolibrary.org/obo/CL_0000064
Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#IrisCiliaryBody	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	xlsx	tables/Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#IrisCiliaryBody	deg	Ciliary body endothelial cells	CILIARY BODY ENDOTHELIAL CELL	http://purl.obolibrary.org/obo/CL_0000064
Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#IrisCiliaryBody	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	xlsx	tables/Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#IrisCiliaryBody	deg	COL9A1-hi ciliary body cells	COL9A1-HI CILIARY BODY CELL	http://purl.obolibrary.org/obo/CL_0000064
Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#IrisCiliaryBody	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	xlsx	tables/Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#IrisCiliaryBody	deg	CRYAA-hi ciliary body cells	CRYAA-HI CILIARY BODY CELL	http://purl.obolibrary.org/obo/CL_0000064
Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#IrisCiliaryBody	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	xlsx	tables/Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#IrisCiliaryBody	deg	cytotoxic T cells	CYTOTOXIC T CELL	http://purl.obolibrary.org/obo/CL_0000910
Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#IrisCiliaryBody	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	xlsx	tables/Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#IrisCiliaryBody	deg	Fibroblasts	FIBROBLAST	http://purl.obolibrary.org/obo/CL_0000057
Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#IrisCiliaryBody	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	xlsx	tables/Supplementary_Data_2-41467_2021_25968_MOESM5_ESM.xlsx	Supplementary_Data_2-41467_2021_25968_MOESM5_ESM#IrisCiliaryBody	deg	MEG3-hi fibroblasts	MEG3-HI FIBROBLAST	http://purl.obolibrary.org/obo/CL_2000042
