
Full Name,Synonyms,Marker Gene Evidence,Organisms,Tissues
0695 RHP-COA Ndnf Gaba_3,unknown,"Ibsp, Wif1, Cxcl14",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0696 RHP-COA Ndnf Gaba_3,unknown,"Frem2, Col14a1, Prom1",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0697 RHP-COA Ndnf Gaba_4,unknown,"Gas2l3, Sln, Sytl4",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0698 RHP-COA Ndnf Gaba_4,unknown,"Sln, Sytl4, Vgll3",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0699 RHP-COA Ndnf Gaba_5,unknown,"Prok2, Htr3a, Lin7a, Snx31",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
070 LSX Prdm12 Slit2 Gaba,unknown,"Hs3st2, Prdm12, Runx1t1, Shisa9",Mus musculus,"olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0700 RHP-COA Ndnf Gaba_5,unknown,"Arhgef26, Calcb, Krt73",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0701 RHP-COA Ndnf Gaba_5,unknown,"Ibsp, Wif1, Dytn",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0702 RHP-COA Ndnf Gaba_5,unknown,"Calca, Npas1, Myo5b, Krt73",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0703 RHP-COA Ndnf Gaba_5,unknown,"Ibsp, Lama1, Vwc2l",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0704 RHP-COA Ndnf Gaba_6,unknown,"9330158H04Rik, Htr3a, Edaradd",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0705 RHP-COA Ndnf Gaba_6,unknown,"Cyp26b1, Edaradd, Stk32b",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0706 Lamp5 Gaba_1,unknown,"Lamp5, Sln, Rxfp1",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0707 Lamp5 Gaba_1,unknown,"Pde11a, Ndnf, Cplx3, Cxcl14",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0708 Lamp5 Gaba_1,unknown,"Dock5, Ndnf, Tgfbr2, Cplx3",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0709 Lamp5 Gaba_1,unknown,"Rassf2, Rasl11a, Hs6st3, Cplx3",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
071 LSX Prdm12 Zeb2 Gaba,unknown,"Ano1, Zeb2, Myo5b, Slc18a2",Mus musculus,"olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0710 Lamp5 Gaba_1,unknown,"Chst7, Ndnf, Arhgap31, Cplx3",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0711 Lamp5 Gaba_1,unknown,"Pde11a, Agtr1a, Cplx3, Cdh7",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0712 Lamp5 Gaba_1,unknown,"Has2os, Pde3a, Ndnf, Cplx3",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0713 Lamp5 Gaba_1,unknown,"Has2os, Tcim, Pcdh18, Clrn1",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0714 Lamp5 Gaba_2,unknown,"Tph2, Calb2, Cplx3, Hsd11b1",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0715 Lamp5 Gaba_2,unknown,"Ndnf, Tac2, Gpc6, Cplx3",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0716 Lamp5 Gaba_2,unknown,"D030045P18Rik, Tac2, Ntn1, Cplx3",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0717 Lamp5 Gaba_2,unknown,"Teddm3, Tnnt1, Fam163a",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0718 Lamp5 Gaba_2,unknown,"Pde11a, Ndnf, Ntn1, Cplx3",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0719 Lamp5 Gaba_3,unknown,"Tph2, Col14a1, D030045P18Rik, Cxcl14",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
072 LSX Sall3 Lmo1 Gaba,unknown,"Trpc4, Col6a3, Ptprm",Mus musculus,"olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0720 Lamp5 Gaba_3,unknown,"Teddm3, Col14a1, Rxfp1, Cd34",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0721 Lamp5 Gaba_3,unknown,"Teddm3, Has2os, Col14a1, Crim1",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0722 Lamp5 Gaba_4,unknown,"Col14a1, Tgfbi, Krt73",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0723 Lamp5 Gaba_4,unknown,"Col14a1, Sp8, Gm15997, Prom1",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0724 Lamp5 Lhx6 Gaba_1,unknown,"Ccn3, Egfr, Lhx6, Fstl4",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0725 Lamp5 Lhx6 Gaba_1,unknown,"Pde11a, Col5a2, Gm31218, Cort",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0726 Lamp5 Lhx6 Gaba_1,unknown,"Dgkk, Nmbr, Mctp2, Baiap2l2",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0727 Lamp5 Lhx6 Gaba_1,unknown,"Pdlim3, Neb, Cort",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0728 Lamp5 Lhx6 Gaba_1,unknown,"Rab38, Tcap",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0729 Lamp5 Lhx6 Gaba_1,unknown,"Ndnf, Baiap2l2, Lhx6, Edaradd",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
073 MEA-BST Sox6 Gaba,unknown,"Slc32a1, B130024G19Rik, Sox6, Cxcl14",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus, medulla oblongata"
0730 Lamp5 Lhx6 Gaba_1,unknown,"Col5a2, Bambi, Baiap2l2",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0731 Lamp5 Lhx6 Gaba_1,unknown,"Sv2c, Mctp2, Ror2, Egfr",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0732 Pvalb chandelier Gaba_1,unknown,"Pde11a, Rxfp3, Adamts8",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0733 Pvalb chandelier Gaba_1,unknown,"Sfta3-ps, Krt12, Pthlh",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0734 Pvalb Gaba_1,unknown,"Moxd1, Il7, Tcap, Corin",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0735 Pvalb Gaba_1,unknown,"Rbp4, Col24a1, Gpc4, Gm16685",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0736 Pvalb Gaba_1,unknown,"Mybpc1, Th, Tcap, Fam129a",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0737 Pvalb Gaba_2,unknown,"Rbp4, Akr1c18, Grpr",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0738 Pvalb Gaba_2,unknown,"Adamts5, Npr3, Npy2r, Cort",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0739 Pvalb Gaba_2,unknown,"Nxph2, Aox3, Adamtsl5",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
074 MEA-BST Lhx6 Sp9 Gaba,unknown,"Nxph2, Scn5a, Fign, Sox2ot",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus, medulla oblongata"
0740 Pvalb Gaba_3,unknown,"Reln, Mybpc1, Gad1, Pvalb",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0741 Pvalb Gaba_3,unknown,"Oprd1, Ap1s3, Cntnap5a, Ostn",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0742 Pvalb Gaba_3,unknown,"Mybpc1, Col25a1, Npnt, Cort",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0743 Pvalb Gaba_4,unknown,"Mybpc1, Fign, Lhx6, Adamtsl5",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0744 Pvalb Gaba_4,unknown,"Prss23, Dnah5, Sema3e, Cort",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0745 Pvalb Gaba_4,unknown,"Myo5b, Ecel1, Cort, Corin",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0746 Pvalb Gaba_4,unknown,"Lrrc38, Prss23, Spp1, Cort",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0747 Pvalb Gaba_4,unknown,"Prdm8, Col19a1, Tac1, Lgals1",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0748 Pvalb Gaba_5,unknown,"Pdlim3, Glra3, Erbb4, Cort",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0749 Pvalb Gaba_5,unknown,"4930470O06Rik, Pthlh",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
075 MEA-BST Lhx6 Nr2e1 Gaba,unknown,"Nr2e1, Satb1, Lhx6",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus, medulla oblongata"
0750 Pvalb Gaba_5,unknown,"Trarg1, Cps1",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0751 Pvalb Gaba_6,unknown,"Edn1, Dmrt2, Dach2",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0752 Pvalb Gaba_6,unknown,"Pla2g5, Tacr3, Ngf, Cort",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0753 Pvalb Gaba_7,unknown,"Sst, Pth2r, Cort, Fibin",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0754 Pvalb Gaba_8,unknown,"Prss12, Lama3, Tcap, Tac1",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0755 Pvalb Gaba_9,unknown,"Mybpc1, Postn",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0756 Sst Gaba_1,unknown,"Rph3al, Dmrt2, Pdyn, Platr14",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0757 Sst Gaba_1,unknown,"Nxph2, Crh, Antxr2, Glis3",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0758 Sst Gaba_1,unknown,"Slc24a4, Eya1, Crh, Gxylt2",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0759 Sst Gaba_1,unknown,"Gm31218, Eya4, Lpl, Ptgs2",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
076 MEA-BST Lhx6 Nfib Gaba,unknown,"Greb1, Nfib, Lhx6",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus, medulla oblongata"
0760 Sst Gaba_1,unknown,"Crh, Rxfp1, Tac2, Sox6",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0761 Sst Gaba_1,unknown,"Chrnb3, Sst, Crh, Irs4",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0762 Sst Gaba_2,unknown,"Gm31218, Col6a5, Esr2",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0763 Sst Gaba_2,unknown,"Oasl2, Kl, Edaradd",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0764 Sst Gaba_2,unknown,"Moxd1, Htr1d, Ecel1, Edaradd",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0765 Sst Gaba_2,unknown,"Cort, Ano2, Edaradd",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0766 Sst Gaba_2,unknown,"Ntng1, Gpr88, Gm31218, Anxa2",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0767 Sst Gaba_3,unknown,"Wwtr1, Cox6a2, Gna14, Layn",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0768 Sst Gaba_3,unknown,"Ccna1, Chrnb3, Hpse",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0769 Sst Gaba_3,unknown,"Gm40518, Myh8, Ngf",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
077 CEA-BST Gal Avp Gaba,unknown,"Avp, Meis2",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus, medulla oblongata"
0770 Sst Gaba_3,unknown,"Ifi27l2a, Gm40518, Myh8",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0771 Sst Gaba_3,unknown,"Ccna1, Lama4, Myh4, Cdh9",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0772 Sst Gaba_3,unknown,"Ccna1, Gna14, Gfra2, Edaradd",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0773 Sst Gaba_3,unknown,"Ccna1, Hs3st4, Gna14, Adamts12",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0774 Sst Gaba_3,unknown,"Gm29683, Gna14, Cbln4, Cort",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0775 Sst Gaba_3,unknown,"Ano1, Rarres1, Tacstd2",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0776 Sst Gaba_4,unknown,"St8sia6, Chrna2, Sst, Myh4",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0777 Sst Gaba_4,unknown,"Gm40518, Myh8, Cd44, Lhx6",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0778 Sst Gaba_4,unknown,"Chrna2, Mgat4c, Vwc2, Myh13",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0779 Sst Gaba_4,unknown,"C1qtnf7, Sst, Myh13, Pdyn",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
078 SI-MA-ACB Ebf1 Bnc2 Gaba,unknown,"Bnc2, Gad1, Meis2",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus, medulla oblongata"
0780 Sst Gaba_4,unknown,"Rbp4, Tnni3k, Kit, Myh8",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0781 Sst Gaba_5,unknown,"Crybg1, Tnni3k, Shisa9, Cort",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0782 Sst Gaba_5,unknown,"Pcdh8, Crhr2, Cort, Snx31",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0783 Sst Gaba_5,unknown,"Egr2, Shisa6, Spp1, Cort",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0784 Sst Gaba_5,unknown,"Dmrt2, Crh, Rgs6, Pdzrn3",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0785 Sst Gaba_6,unknown,"Itgad, Cxcr4, Adamts19",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0786 Sst Gaba_6,unknown,"Fbn2, Itgad, Cxcr4",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0787 Sst Gaba_6,unknown,"Ctsc, 2610028E06Rik, Sp9",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0788 Sst Gaba_6,unknown,"Gna14, Qrfpr, Cort, Vgll3",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0789 Sst Gaba_6,unknown,"Ctsc, Qrfpr, Cort, Fgf10",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
079 CEA-BST Six3 Cyp26b1 Gaba,unknown,"Cyp26b1, Six3",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus, medulla oblongata"
0790 Sst Gaba_6,unknown,"Piezo2, Qrfpr, Cort",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0791 Sst Gaba_6,unknown,"Adamts12, Eif4ebp1, Qrfpr, Cort",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0792 Sst Gaba_7,unknown,"Hpse, Gpc5, Prdm1, Hs6st2",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0793 Sst Gaba_7,unknown,"Akr1c18, Hpse, Stk32b",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0794 Sst Gaba_7,unknown,"Dmrt2, Hpse, Tent5a, Prdm1",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0795 Sst Gaba_8,unknown,"Tnni3k, Akr1c18, Htr4",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0796 Sst Gaba_8,unknown,"Lonrf3, Sst, Pla2g5, Cort",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0797 Sst Gaba_8,unknown,"Moxd1, Tnni3k, Adamts12, Ano3",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0798 Sst Gaba_9,unknown,"Pnoc, Prdm1, Fxyd6, Syndig1l",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0799 Sst Gaba_9,unknown,"Dysf, Prdm1, Pdyn",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
080 CEA-AAA-BST Six3 Sp9 Gaba,unknown,"Egr3, Gpr88, Nr2f2, Tshz1, Six3, Spock1",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus, medulla oblongata"
0800 Sst Gaba_9,unknown,"2610028E06Rik, Hpse, Prdm1, Pde5a",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
0801 Sst Gaba_9,unknown,"2610028E06Rik, Rxfp3, Prdm1",Mus musculus,"hippocampal formation, pons, cerebral cortex, midbrain, olfactory cortex, striatum, neocortex, pallidum, dorsal plus ventral thalamus, hypothalamus"
