resource	label_basis	profile_idx	normalized_cell_type	cell_type	context_uid	comparison_context	n_local_markers	n_comparison_profiles	observed_global_recovery
LLMarkers	reported label	2793	CD 8 T CELL	CD8 T CELL	hca|0402_10.1016_j.cell.2021.04.038_26e3dc6d2f	hca|0402_10.1016_j.cell.2021.04.038_26e3dc6d2f	1	14	1.0
LLMarkers	reported label	2796	TREG	TREG	hca|0402_10.1016_j.cell.2021.04.038_26e3dc6d2f	hca|0402_10.1016_j.cell.2021.04.038_26e3dc6d2f	9	14	0.5555555555555556
LLMarkers	reported label	2804	ENDOTHELIAL CELL	ENDOTHELIAL CELL	hca|0403_10.1038_s41467-019-11036-9_eff650140f	hca|0403_10.1038_s41467-019-11036-9_eff650140f	7	27	1.0
LLMarkers	reported label	2833	ASTROCYTE	ASTROCYTE	hca|0406_10.1093_brain_awab446_1c9ee67691	hca|0406_10.1093_brain_awab446_1c9ee67691	3	7	1.0
LLMarkers	reported label	2835	MICROGLIA	MICROGLIA	hca|0406_10.1093_brain_awab446_1c9ee67691	hca|0406_10.1093_brain_awab446_1c9ee67691	7	17	0.7142857142857143
LLMarkers	reported label	2836	OLIGODENDROCYTE	OLIGODENDROCYTE	hca|0406_10.1093_brain_awab446_1c9ee67691	hca|0406_10.1093_brain_awab446_1c9ee67691	3	6	0.6666666666666666
LLMarkers	reported label	2837	ENDOTHELIAL CELL	ENDOTHELIAL CELL	hca|0407_10.1093_humrep_deac183_7b0f560d74	hca|0407_10.1093_humrep_deac183_7b0f560d74	3	27	0.6666666666666666
LLMarkers	reported label	2840	IMMUNE CELL	IMMUNE CELL	hca|0407_10.1093_humrep_deac183_7b0f560d74	hca|0407_10.1093_humrep_deac183_7b0f560d74	8	6	0.0
LLMarkers	reported label	2842	B CELL	B CELL	hca|0410_10.3389_fcell.2021.820274_b0973e038f	hca|0410_10.3389_fcell.2021.820274_b0973e038f	3	29	0.6666666666666666
LLMarkers	reported label	2848	ENDOTHELIAL CELL	ENDOTHELIAL CELL	hca|0410_10.3389_fcell.2021.820274_b0973e038f	hca|0410_10.3389_fcell.2021.820274_b0973e038f	3	27	1.0
LLMarkers	reported label	2850	EPITHELIAL CELL	EPITHELIAL CELL	hca|0410_10.3389_fcell.2021.820274_b0973e038f	hca|0410_10.3389_fcell.2021.820274_b0973e038f	3	6	0.3333333333333333
LLMarkers	reported label	2851	MAST CELL	MAST CELL	hca|0410_10.3389_fcell.2021.820274_b0973e038f	hca|0410_10.3389_fcell.2021.820274_b0973e038f	4	14	1.0
LLMarkers	reported label	2853	T CELL	T CELL	hca|0410_10.3389_fcell.2021.820274_b0973e038f	hca|0410_10.3389_fcell.2021.820274_b0973e038f	3	37	1.0
LLMarkers	reported label	2856	B CELL	B CELL	hca|0414_10.1186_s13059-020-02210-0_30c1533a3e	hca|0414_10.1186_s13059-020-02210-0_30c1533a3e	4	29	0.75
LLMarkers	reported label	2859	FIBROBLAST	FIBROBLAST	hca|0414_10.1186_s13059-020-02210-0_30c1533a3e	hca|0414_10.1186_s13059-020-02210-0_30c1533a3e	5	28	1.0
LLMarkers	reported label	2861	MACROPHAGE	MACROPHAGE	hca|0414_10.1186_s13059-020-02210-0_30c1533a3e	hca|0414_10.1186_s13059-020-02210-0_30c1533a3e	3	28	0.6666666666666666
LLMarkers	reported label	2862	MONOCYTE	MONOCYTE	hca|0414_10.1186_s13059-020-02210-0_30c1533a3e	hca|0414_10.1186_s13059-020-02210-0_30c1533a3e	4	23	0.5
LLMarkers	reported label	2865	SMOOTH MUSCLE CELL	SMOOTH MUSCLE CELL	hca|0414_10.1186_s13059-020-02210-0_30c1533a3e	hca|0414_10.1186_s13059-020-02210-0_30c1533a3e	5	8	0.4
LLMarkers	reported label	2869	SMOOTH MUSCLE CELL	SMOOTH MUSCLE CELL	hca|0415_10.1038_s41467-020-20358-y_582bbd075a	hca|0415_10.1038_s41467-020-20358-y_582bbd075a	3	8	0.6666666666666666
LLMarkers	reported label	2878	FIBROBLAST	FIBROBLAST	hca|0418_10.1038_s42003-020-0922-4_8904851286	hca|0418_10.1038_s42003-020-0922-4_8904851286	5	28	1.0
LLMarkers	reported label	2881	MELANOCYTE	MELANOCYTE	hca|0418_10.1038_s42003-020-0922-4_8904851286	hca|0418_10.1038_s42003-020-0922-4_8904851286	4	6	1.0
LLMarkers	reported label	2883	PERICYTE	PERICYTE	hca|0418_10.1038_s42003-020-0922-4_8904851286	hca|0418_10.1038_s42003-020-0922-4_8904851286	3	13	1.0
LLMarkers	reported label	2884	T CELL	T CELL	hca|0418_10.1038_s42003-020-0922-4_8904851286	hca|0418_10.1038_s42003-020-0922-4_8904851286	4	37	1.0
LLMarkers	reported label	2896	MACROPHAGE	MACROPHAGE	hca|0420_10.1111_cas.15979_052ebae233	hca|0420_10.1111_cas.15979_052ebae233	3	28	1.0
LLMarkers	reported label	2897	MEMORY B CELL	MEMORY B CELL	hca|0420_10.1111_cas.15979_052ebae233	hca|0420_10.1111_cas.15979_052ebae233	3	4	1.0
LLMarkers	reported label	2899	ASTROCYTE	ASTROCYTE	hca|0421_10.1101_2022.02.14.480397_c10e165496	hca|0421_10.1101_2022.02.14.480397_c10e165496	8	7	0.25
LLMarkers	reported label	2901	ENDOTHELIAL CELL	ENDOTHELIAL CELL	hca|0421_10.1101_2022.02.14.480397_c10e165496	hca|0421_10.1101_2022.02.14.480397_c10e165496	9	27	0.3333333333333333
LLMarkers	reported label	2902	EXCITATORY NEURON	EXCITATORY NEURON	hca|0421_10.1101_2022.02.14.480397_c10e165496	hca|0421_10.1101_2022.02.14.480397_c10e165496	9	4	0.2222222222222222
LLMarkers	reported label	2909	MICROGLIA	MICROGLIA	hca|0421_10.1101_2022.02.14.480397_c10e165496	hca|0421_10.1101_2022.02.14.480397_c10e165496	17	17	0.23529411764705882
LLMarkers	reported label	2910	OLIGODENDROCYTE	OLIGODENDROCYTE	hca|0421_10.1101_2022.02.14.480397_c10e165496	hca|0421_10.1101_2022.02.14.480397_c10e165496	6	6	0.3333333333333333
LLMarkers	reported label	2913	LYMPHOCYTE	LYMPHOCYTE	hca|0422_10.1038_s41591-020-1040-z_d966e12866	hca|0422_10.1038_s41591-020-1040-z_d966e12866	4	4	0.0
LLMarkers	reported label	2914	SMOOTH MUSCLE CELL	SMOOTH MUSCLE CELL	hca|0422_10.1038_s41591-020-1040-z_d966e12866	hca|0422_10.1038_s41591-020-1040-z_d966e12866	3	8	0.0
LLMarkers	reported label	2917	ASTROCYTE	ASTROCYTE	hca|0423_10.1038_s41467-019-12780-8_0da964452a	hca|0423_10.1038_s41467-019-12780-8_0da964452a	3	7	0.6666666666666666
LLMarkers	reported label	2921	MICROGLIA	MICROGLIA	hca|0423_10.1038_s41467-019-12780-8_0da964452a	hca|0423_10.1038_s41467-019-12780-8_0da964452a	4	17	1.0
LLMarkers	reported label	2924	CELL	Α-CELL	hca|0425_10.1038_s41598-017-05266-4_54c44ec7e0	hca|0425_10.1038_s41598-017-05266-4_54c44ec7e0	26	17	0.23076923076923078
LLMarkers	reported label	2925	CELL	Β-CELL	hca|0425_10.1038_s41598-017-05266-4_54c44ec7e0	hca|0425_10.1038_s41598-017-05266-4_54c44ec7e0	20	17	0.25
LLMarkers	reported label	2936	TREG	TREG	hca|0426_10.1038_s41467-019-12464-3_0f8440336d	hca|0426_10.1038_s41467-019-12464-3_0f8440336d	2	14	0.5
LLMarkers	reported label	2937	ACINAR CELL	ACINAR CELL	hca|0427_10.7150_ijbs.58886_44183be8e8	hca|0427_10.7150_ijbs.58886_44183be8e8	4	6	1.0
LLMarkers	reported label	2938	C 1	C1	hca|0427_10.7150_ijbs.58886_44183be8e8	hca|0427_10.7150_ijbs.58886_44183be8e8	3	5	0.0
LLMarkers	reported label	2944	ENDOTHELIAL CELL	ENDOTHELIAL CELL	hca|0427_10.7150_ijbs.58886_44183be8e8	hca|0427_10.7150_ijbs.58886_44183be8e8	3	27	1.0
LLMarkers	reported label	2945	MYELOID CELL	MYELOID CELL	hca|0427_10.7150_ijbs.58886_44183be8e8	hca|0427_10.7150_ijbs.58886_44183be8e8	6	9	0.3333333333333333
LLMarkers	reported label	2950	ENDOTHELIAL CELL	ENDOTHELIAL CELL	hca|0428_10.1073_pnas.1914143116_42027a0378	hca|0428_10.1073_pnas.1914143116_42027a0378	3	27	0.6666666666666666
LLMarkers	reported label	2951	MELANOCYTE	MELANOCYTE	hca|0428_10.1073_pnas.1914143116_42027a0378	hca|0428_10.1073_pnas.1914143116_42027a0378	4	6	1.0
LLMarkers	reported label	2955	CARDIOMYOCYTE	CARDIOMYOCYTE	hca|0430_10.1101_2021.07.06.451312_11ba989c20	hca|0430_10.1101_2021.07.06.451312_11ba989c20	7	8	0.7142857142857143
LLMarkers	reported label	2956	FIBROBLAST	FIBROBLAST	hca|0430_10.1101_2021.07.06.451312_11ba989c20	hca|0430_10.1101_2021.07.06.451312_11ba989c20	10	28	0.6
LLMarkers	reported label	2960	MAC 2	MAC2	hca|0431_10.1038_s44161-022-00028-6_b4c8c1227f	hca|0431_10.1038_s44161-022-00028-6_b4c8c1227f	6	4	0.0
LLMarkers	reported label	2962	CLUSTER 3	CLUSTER 3	hca|0432_10.1172_jci.insight.156341_02dc39adcf	hca|0432_10.1172_jci.insight.156341_02dc39adcf	1	11	1.0
LLMarkers	reported label	2970	TREG	TREG	hca|0432_10.1172_jci.insight.156341_02dc39adcf	hca|0432_10.1172_jci.insight.156341_02dc39adcf	3	14	0.6666666666666666
LLMarkers	reported label	2971	ACINAR CELL	ACINAR CELL	hca|0433_10.15252_embr.201540946_1830154973	hca|0433_10.15252_embr.201540946_1830154973	5	6	0.8
LLMarkers	reported label	2972	ALPHA CELL	ALPHA CELL	hca|0433_10.15252_embr.201540946_1830154973	hca|0433_10.15252_embr.201540946_1830154973	3	5	1.0
LLMarkers	reported label	2973	BETA CELL	BETA CELL	hca|0433_10.15252_embr.201540946_1830154973	hca|0433_10.15252_embr.201540946_1830154973	8	9	0.5
LLMarkers	reported label	2981	MELANOCYTE	MELANOCYTE	hca|0436_10.1016_j.jtos.2020.12.004_24ddeb29a4	hca|0436_10.1016_j.jtos.2020.12.004_24ddeb29a4	3	6	1.0
LLMarkers	reported label	2984	CARDIOMYOCYTE	CARDIOMYOCYTE	hca|0438_10.1016_j.celrep.2023.112086_4947038a16	hca|0438_10.1016_j.celrep.2023.112086_4947038a16	5	8	0.0
LLMarkers	reported label	2988	FIBROBLAST	FIBROBLAST	hca|0438_10.1016_j.celrep.2023.112086_4947038a16	hca|0438_10.1016_j.celrep.2023.112086_4947038a16	8	28	0.0
LLMarkers	reported label	2989	MACROPHAGE	MACROPHAGE	hca|0438_10.1016_j.celrep.2023.112086_4947038a16	hca|0438_10.1016_j.celrep.2023.112086_4947038a16	4	28	0.0
LLMarkers	reported label	2990	ASTROCYTE	ASTROCYTE	hca|0439_10.1038_s41586-019-1404-z_d7516e129c	hca|0439_10.1038_s41586-019-1404-z_d7516e129c	3	7	0.3333333333333333
LLMarkers	reported label	2991	ASTROCYTES	ASTROCYTES	hca|0439_10.1038_s41586-019-1404-z_d7516e129c	hca|0439_10.1038_s41586-019-1404-z_d7516e129c	6	5	0.16666666666666666
