local_label	global_label	context	replicate	recovery_top100
cDC1s	cDC1s	local	22	0.8
cDC2s	cDC2s	local	22	0.5
Mig cDCs	Mig.cDCs	local	22	0.7
Mac1	Macrophages	local	23	0.875
immature LAMs	Macrophages	local	23	0.8
mature LAMs	Macrophages	local	23	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	23	1.0
ResKCs	Macrophages	local	23	0.3
Mono	Mono+mono derived cells	local	23	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	23	0.6666666666666666
cDC1s	cDC1s	local	23	0.8
cDC2s	cDC2s	local	23	0.5
Mig cDCs	Mig.cDCs	local	23	0.7
Mac1	Macrophages	local	24	0.875
immature LAMs	Macrophages	local	24	0.8
mature LAMs	Macrophages	local	24	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	24	1.0
ResKCs	Macrophages	local	24	0.4
Mono	Mono+mono derived cells	local	24	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	24	0.6666666666666666
cDC1s	cDC1s	local	24	0.8
cDC2s	cDC2s	local	24	0.5
Mig cDCs	Mig.cDCs	local	24	0.7
Mac1	Macrophages	local	25	0.875
immature LAMs	Macrophages	local	25	0.8
mature LAMs	Macrophages	local	25	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	25	1.0
ResKCs	Macrophages	local	25	0.4
Mono	Mono+mono derived cells	local	25	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	25	0.6666666666666666
cDC1s	cDC1s	local	25	0.8
cDC2s	cDC2s	local	25	0.5
Mig cDCs	Mig.cDCs	local	25	0.7
Mac1	Macrophages	local	26	0.875
immature LAMs	Macrophages	local	26	0.8
mature LAMs	Macrophages	local	26	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	26	1.0
ResKCs	Macrophages	local	26	0.3
Mono	Mono+mono derived cells	local	26	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	26	0.6666666666666666
cDC1s	cDC1s	local	26	0.8
cDC2s	cDC2s	local	26	0.5
Mig cDCs	Mig.cDCs	local	26	0.7
Mac1	Macrophages	local	27	0.875
immature LAMs	Macrophages	local	27	0.8
mature LAMs	Macrophages	local	27	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	27	1.0
ResKCs	Macrophages	local	27	0.4
Mono	Mono+mono derived cells	local	27	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	27	0.6666666666666666
cDC1s	cDC1s	local	27	0.8
cDC2s	cDC2s	local	27	0.5
Mig cDCs	Mig.cDCs	local	27	0.8
Mac1	Macrophages	local	28	0.875
immature LAMs	Macrophages	local	28	0.8
mature LAMs	Macrophages	local	28	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	28	1.0
ResKCs	Macrophages	local	28	0.4
Mono	Mono+mono derived cells	local	28	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	28	0.6666666666666666
cDC1s	cDC1s	local	28	0.8
cDC2s	cDC2s	local	28	0.5
Mig cDCs	Mig.cDCs	local	28	0.7
Mac1	Macrophages	local	29	0.875
immature LAMs	Macrophages	local	29	0.8
mature LAMs	Macrophages	local	29	0.8888888888888888
Pre-moKCs and moKCs	Macrophages	local	29	1.0
ResKCs	Macrophages	local	29	0.3
Mono	Mono+mono derived cells	local	29	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	29	0.6666666666666666
cDC1s	cDC1s	local	29	0.8
cDC2s	cDC2s	local	29	0.5
Mig cDCs	Mig.cDCs	local	29	0.7
Mac1	Macrophages	local	30	0.875
immature LAMs	Macrophages	local	30	0.8
mature LAMs	Macrophages	local	30	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	30	1.0
ResKCs	Macrophages	local	30	0.3
Mono	Mono+mono derived cells	local	30	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	30	0.7777777777777778
cDC1s	cDC1s	local	30	0.8
cDC2s	cDC2s	local	30	0.5
Mig cDCs	Mig.cDCs	local	30	0.7
Mac1	Macrophages	local	31	0.875
immature LAMs	Macrophages	local	31	0.8
mature LAMs	Macrophages	local	31	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	31	0.875
ResKCs	Macrophages	local	31	0.4
Mono	Mono+mono derived cells	local	31	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	31	0.6666666666666666
cDC1s	cDC1s	local	31	0.8
cDC2s	cDC2s	local	31	0.5
Mig cDCs	Mig.cDCs	local	31	0.7
Mac1	Macrophages	local	32	0.875
immature LAMs	Macrophages	local	32	0.8
mature LAMs	Macrophages	local	32	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	32	0.875
ResKCs	Macrophages	local	32	0.4
Mono	Mono+mono derived cells	local	32	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	32	0.6666666666666666
cDC1s	cDC1s	local	32	0.8
cDC2s	cDC2s	local	32	0.5
Mig cDCs	Mig.cDCs	local	32	0.6
Mac1	Macrophages	local	33	0.875
immature LAMs	Macrophages	local	33	0.8
mature LAMs	Macrophages	local	33	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	33	1.0
ResKCs	Macrophages	local	33	0.3
Mono	Mono+mono derived cells	local	33	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	33	0.6666666666666666
cDC1s	cDC1s	local	33	0.8
cDC2s	cDC2s	local	33	0.5
Mig cDCs	Mig.cDCs	local	33	0.7
Mac1	Macrophages	local	34	0.875
immature LAMs	Macrophages	local	34	0.8
mature LAMs	Macrophages	local	34	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	34	1.0
ResKCs	Macrophages	local	34	0.4
Mono	Mono+mono derived cells	local	34	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	34	0.7777777777777778
cDC1s	cDC1s	local	34	0.8
cDC2s	cDC2s	local	34	0.5
Mig cDCs	Mig.cDCs	local	34	0.8
Mac1	Macrophages	local	35	0.875
immature LAMs	Macrophages	local	35	0.8
mature LAMs	Macrophages	local	35	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	35	1.0
ResKCs	Macrophages	local	35	0.4
Mono	Mono+mono derived cells	local	35	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	35	0.6666666666666666
cDC1s	cDC1s	local	35	0.8
cDC2s	cDC2s	local	35	0.5
Mig cDCs	Mig.cDCs	local	35	0.7
Mac1	Macrophages	local	36	0.875
immature LAMs	Macrophages	local	36	0.8
