resource	example_category	label_relation	marker_relation	marker_jaccard	shared_markers	union_markers	shared_marker_names	study_a	labelset_a	cell_type_a	marker_names_a	study_b	labelset_b	cell_type_b	marker_names_b
LLMarkers	same_label_partial_markers	Exact	Partial	0.8	4	5	PLP1; MOG; MOBP; MBP	hca:0441_10.1038_s41593-020-0621-y_a3edefca60		OLIGODENDROCYTES	MAG; PLP1; MOG; MOBP; MBP	hca:0448_10.1101_2022.02.15.480622_6cb3eae5b8		OLIGODENDROCYTES	PLP1; MOG; MOBP; MBP
LLMarkers	same_label_partial_markers	Exact	Partial	0.8	4	5	OLFM4; SMOC2; LGR5; RGMB	biorxiv:8bff4e38-6c13-1014-bcce-e068e3eafd28		STEM CELL	OLFM4; SMOC2; LGR5; RGMB	hca:0090_10.1038_s41586-021-03852-1_eec89a5e36		STEM CELL	OLFM4; SMOC2; LGR5; RGMB; ASCL2
LLMarkers	same_label_partial_markers	Exact	Partial	0.8	4	5	OLFM4; SMOC2; LGR5; RGMB	biorxiv:8bff4e38-6c13-1014-bcce-e068e3eafd28		STEM CELL	OLFM4; SMOC2; LGR5; RGMB	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446		STEM CELL	OLFM4; SMOC2; LGR5; RGMB; ASCL2
LLMarkers	same_label_partial_markers	Exact	Partial	0.75	3	4	CD79B; CD79A; MS4A1	biorxiv:307b2bd7-6cb9-1014-a6b4-a58a7220bba3		B CELL	CD79B; CD79A; MS4A1; CD19	hca:0100_10.1038_s41467-021-22804-x_e7667133b9		B CELL	CD79B; CD79A; MS4A1
LLMarkers	same_label_partial_markers	Exact	Partial	0.75	3	4	CD79B; CD79A; MS4A1	biorxiv:307b2bd7-6cb9-1014-a6b4-a58a7220bba3		B CELL	CD79B; CD79A; MS4A1; CD19	hca:0184_10.1016_j.cell.2021.07.023_f621bea088		B CELL	CD79B; CD79A; MS4A1
LLMarkers	same_label_partial_markers	Exact	Partial	0.75	3	4	CD79A; MS4A1; CD19	biorxiv:307b2bd7-6cb9-1014-a6b4-a58a7220bba3		B CELL	CD79B; CD79A; MS4A1; CD19	hca:0342_10.18632_aging.203124_280d72e18e		B CELL	CD79A; MS4A1; CD19
LLMarkers	same_label_partial_markers	Exact	Partial	0.75	3	4	CD79A; MZB1; IGHM	hca:0164_10.1177_00220345221147908_13bf485ac8		B CELL	CD79A; MZB1; CD19; IGHM	hca:0365_10.3389_fendo.2022.874915_81de77d539		B CELL	CD79A; MZB1; IGHM
LLMarkers	same_label_partial_markers	Exact	Partial	0.75	3	4	CD79A; MS4A1; CD19	biorxiv:307b2bd7-6cb9-1014-a6b4-a58a7220bba3		B CELL	CD79B; CD79A; MS4A1; CD19	biorxiv:8f45ef4c-6d70-1014-815c-a556cc0c38ce		B-CELL	CD79A; MS4A1; CD19
LLMarkers	same_label_partial_markers	Exact	Partial	0.75	3	4	CD79B; CD79A; MS4A1	biorxiv:307b2bd7-6cb9-1014-a6b4-a58a7220bba3		B CELL	CD79B; CD79A; MS4A1; CD19	biorxiv:e6e04172-6c15-1014-9229-c57ac33d21f6		B-CELL	CD79B; CD79A; MS4A1
LLMarkers	same_label_partial_markers	Exact	Partial	0.75	3	4	CHGB; CHGA; NEUROD1	hca:0090_10.1038_s41586-021-03852-1_eec89a5e36		ENTEROENDOCRINE CELL	CHGB; CHGA; NEUROG3; NEUROD1	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446		ENTEROENDOCRINE CELL	CHGB; CHGA; NEUROD1
LLMarkers	same_label_partial_markers	Exact	Partial	0.75	3	4	DCN; COL1A1; COL1A2	hca:0210_10.1016_j.stem.2020.11.008_213dabcee4		FIBROBLAST	DCN; COL1A1; COL1A2	hca:0264_10.1186_s13059-022-02677-z_ec9d743757		FIBROBLAST	DCN; COL1A1; C1R; COL1A2
LLMarkers	same_label_partial_markers	Exact	Partial	0.75	3	4	CFTR; FOXI1; ASCL3	biorxiv:cf0d429c-6c7f-1014-a5a8-f09b6915373d		IONOCYTE	CFTR; FOXI1; DMRT2; ASCL3	hca:0132_10.1038_s41467-020-16239-z_001d78a35b		IONOCYTE	CFTR; FOXI1; ASCL3
LLMarkers	same_label_partial_markers	Exact	Partial	0.75	3	4	NR4A1; KLF4; NR4A2	hca:0099_10.1126_sciimmunol.abl9165_5f9974d5f2		MAC2	NR4A1; KLF4; NR4A2	hca:0124_10.1126_science.aba6500_a77c502bf7		MAC2	NR4A1; F13A1; KLF4; NR4A2
LLMarkers	same_label_partial_markers	Exact	Partial	0.75	3	4	C1QC; C1QB; CD163	hca:0365_10.3389_fendo.2022.874915_81de77d539		MACROPHAGE	C1QC; C1QB; C1QA; CD163	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446		MACROPHAGE	C1QC; C1QB; CD163
LLMarkers	same_label_partial_markers	Exact	Partial	0.75	3	4	KIT; TPSAB1; TPSB2	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97		MAST CELL	KIT; TPSAB1; TPSB2	hca:0410_10.3389_fcell.2021.820274_b0973e038f		MAST CELL	CPA3; KIT; TPSAB1; TPSB2
LLMarkers	same_label_partial_markers	Exact	Partial	0.75	3	4	CPA3; TPSAB1; TPSB2	biorxiv:db8af155-6c8b-1014-b5f3-cedb7b3b1723		MAST CELL	CPA3; TPSAB1; TPSB2	hca:0410_10.3389_fcell.2021.820274_b0973e038f		MAST CELL	CPA3; KIT; TPSAB1; TPSB2
LLMarkers	same_label_partial_markers	Exact	Partial	0.75	3	4	CPA3; TPSAB1; TPSB2	hca:0158_10.2337_db21-0830_d021248f76		MAST CELL	CPA3; TPSAB1; TPSB2	hca:0410_10.3389_fcell.2021.820274_b0973e038f		MAST CELL	CPA3; KIT; TPSAB1; TPSB2
LLMarkers	same_label_partial_markers	Exact	Partial	0.75	3	4	CPA3; TPSAB1; TPSB2	hca:0410_10.3389_fcell.2021.820274_b0973e038f		MAST CELL	CPA3; KIT; TPSAB1; TPSB2	hca:0465_10.1016_j.cell.2020.12.016_af8ed7d941		MAST CELL	CPA3; TPSAB1; TPSB2
LLMarkers	same_label_partial_markers	Exact	Partial	0.75	3	4	DCT; TYRP1; MLANA	hca:0158_10.2337_db21-0830_d021248f76		MELANOCYTE	DCT; TYRP1; MLANA	hca:0418_10.1038_s42003-020-0922-4_8904851286		MELANOCYTE	DCT; TYRP1; MLANA; PMEL
LLMarkers	same_label_partial_markers	Exact	Partial	0.75	3	4	DCT; TYRP1; MLANA	hca:0158_10.2337_db21-0830_d021248f76		MELANOCYTE	DCT; TYRP1; MLANA	hca:0428_10.1073_pnas.1914143116_42027a0378		MELANOCYTE	DCT; TYRP1; MLANA; PMEL
LLMarkers	same_label_partial_markers	Exact	Partial	0.75	3	4	CD27; MS4A1; CD19	hca:0228_10.1128_mbio.02583-20_5085db2792		MEMORY B CELL	CD22; CD27; MS4A1; CD19	hca:0420_10.1111_cas.15979_052ebae233		MEMORY B CELL	CD27; MS4A1; CD19
LLMarkers	different_label_partial_markers	Different	Partial	0.8333333333333334	5	6	IFIT2; RSAD2; MX1; IFIT1; ISG15	hca:0123_10.1371_journal.pone.0267704_5a8157f0f3		ISG-HIGH CD4+ T CELL	IFIT2; RSAD2; MX1; IFIT1; ISG15	hca:0480_10.1038_s41590-019-0398-x_7e5ee33388		CT6	OAS3; IFIT2; RSAD2; MX1; IFIT1; ISG15
LLMarkers	different_label_partial_markers	Different	Partial	0.8333333333333334	5	6	CD38; PRDM1; SDC1; IRF4; XBP1	biorxiv:653bfd04-6cbf-1014-864b-c74846f5cd96		PC	CD38; PRDM1; SDC1; IRF4; XBP1	biorxiv:9c7f8281-6c21-1014-a6df-b6c543b29cb8		ASC	CD38; PRDM1; SDC1; IRF4; CD27; XBP1
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	TCF7; CCR7; LEF1; SELL	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d		CD8.2	TCF7; GZMK; CCR7; LEF1; SELL	hca:0163_10.1126_sciimmunol.abb4432_91494cf647		NAÏVE/MEMORY	TCF7; CCR7; LEF1; SELL
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	GNLY; FGFBP2; PRF1; FCGR3A	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d		CD8.3	NKG7; GNLY; FGFBP2; PRF1; FCGR3A	hca:0474_10.3389_fimmu.2021.689019_ff96e36403		CLUSTER 4 T CELL	GNLY; FGFBP2; PRF1; FCGR3A
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	NKG7; GNLY; PRF1; FCGR3A	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d		CD8.3	NKG7; GNLY; FGFBP2; PRF1; FCGR3A	hca:0190_10.1038_s41467-019-14118-w_eee71dc5ea		NK1	NKG7; GNLY; PRF1; FCGR3A
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	GNLY; FGFBP2; PRF1; FCGR3A	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d		CD8.5	NKG7; GNLY; FGFBP2; PRF1; FCGR3A	hca:0474_10.3389_fimmu.2021.689019_ff96e36403		CLUSTER 4 T CELL	GNLY; FGFBP2; PRF1; FCGR3A
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	NKG7; GNLY; PRF1; FCGR3A	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d		CD8.5	NKG7; GNLY; FGFBP2; PRF1; FCGR3A	hca:0190_10.1038_s41467-019-14118-w_eee71dc5ea		NK1	NKG7; GNLY; PRF1; FCGR3A
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	VCAN; S100A8; S100A9; CD14	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d		CDC2.1	VCAN; APOE; S100A8; S100A9; CD14	hca:0400_10.1038_s41467-022-35297-z_0eab5d0ba9		MP5	VCAN; S100A8; S100A9; CD14
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	VCAN; S100A8; S100A9; S100A12	hca:0013_10.1016_j.cell.2022.01.012_62a71f9225		CMONO	VCAN; S100A8; S100A9; S100A12; HMGB2	hca:0414_10.1186_s13059-020-02210-0_30c1533a3e		MONOCYTE	VCAN; S100A8; S100A9; S100A12
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	ITGA6; ITGB1; KRT5; KRT14	hca:0307_10.1038_s41419-021-03724-6_32b837a8da		EPD_BASAL1	ITGA6; ITGB1; KRT5; KRT14	hca:0418_10.1038_s42003-020-0922-4_8904851286		EPIDERMAL STEM CELL	TP63; ITGA6; ITGB1; KRT5; KRT14
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	CXCL2; CXCL3; CXCL1; CXCL8	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd		IMMUNE-REGULATORY	CXCL2; CCL20; CXCL3; CXCL1; CXCL8	hca:0184_10.1016_j.cell.2021.07.023_f621bea088		BPIFA1 HIGH CHEMOKINE HIGH SECRETORY CELL	CXCL2; CXCL3; CXCL1; CXCL8
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	OLFM4; SMOC2; LGR5; ASCL2	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181		ISC	OLFM4; SMOC2; LGR5; ASCL2	hca:0090_10.1038_s41586-021-03852-1_eec89a5e36		STEM CELL	OLFM4; SMOC2; LGR5; RGMB; ASCL2
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	OLFM4; SMOC2; LGR5; ASCL2	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181		ISC	OLFM4; SMOC2; LGR5; ASCL2	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446		STEM CELL	OLFM4; SMOC2; LGR5; RGMB; ASCL2
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	GZMH; GZMB; GZMA; GZMM	biorxiv:315fa881-726d-1014-9d3d-bbe9b5731a1d		MAIT	GZMH; GZMB; GZMK; GZMA; GZMM	hca:0378_10.1101_2022.06.17.496207_92cb140ff3		CD8 TRM	GZMH; GZMB; GZMA; GZMM
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	PRX; NFASC; NCMAP; MBP	biorxiv:78211bc7-6c0f-1014-bc42-c103d41718b8		MYELINATING SCHWANN CELL	EVX1; PRX; NFASC; NCMAP; MBP	hca:0048_10.1038_s41588-022-01243-4_ae2af85553		MSCHWANN	PRX; NFASC; NCMAP; MBP
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	TCF7; CCR7; LEF1; SELL	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1		NAÏVE T CELL	TCF7; CCR7; LEF1; SELL	hca:0233_10.1038_s41590-025-02241-4_110ace5bba		CD4 + AND CD8 + T RM CELL	TCF7; ITGA6; CCR7; LEF1; SELL
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	TCF7; CCR7; LEF1; SELL	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1		NAÏVE T CELL	TCF7; CCR7; LEF1; SELL	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d		CD8.2	TCF7; GZMK; CCR7; LEF1; SELL
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	TCF7; CCR7; LEF1; SELL	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1		NAÏVE T CELL	TCF7; CCR7; LEF1; SELL	hca:0480_10.1038_s41590-019-0398-x_7e5ee33388		CT0B	TCF7; CCR7; KLF2; LEF1; SELL
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	TCF7; CCR7; LEF1; SELL	hca:0163_10.1126_sciimmunol.abb4432_91494cf647		NAÏVE/MEMORY	TCF7; CCR7; LEF1; SELL	hca:0233_10.1038_s41590-025-02241-4_110ace5bba		CD4 + AND CD8 + T RM CELL	TCF7; ITGA6; CCR7; LEF1; SELL
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	TCF7; CCR7; LEF1; SELL	hca:0163_10.1126_sciimmunol.abb4432_91494cf647		NAÏVE/MEMORY	TCF7; CCR7; LEF1; SELL	hca:0480_10.1038_s41590-019-0398-x_7e5ee33388		CT0B	TCF7; CCR7; KLF2; LEF1; SELL
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	GZMB; GNLY; PRF1; FCGR3A	biorxiv:6f28f2e1-6c20-1014-910c-d12c701e7668		NKCYTO	GZMB; GNLY; PRF1; FCGR3A	hca:0124_10.1126_science.aba6500_a77c502bf7		NK	GZMB; GNLY; KLRD1; PRF1; FCGR3A
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	NGFR; SCN7A; NCAM1; L1CAM	hca:0048_10.1038_s41588-022-01243-4_ae2af85553		NMSCHWANN	NGFR; SCN7A; NCAM1; CHD2; L1CAM	hca:0500_10.1073_pnas.2306153120_5c49b25904		C15	NGFR; SCN7A; NCAM1; L1CAM
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	NGFR; SCN7A; NCAM1; L1CAM	biorxiv:78211bc7-6c0f-1014-bc42-c103d41718b8		NMSCWANN	NGFR; SCN7A; NCAM1; CHD2; L1CAM	hca:0500_10.1073_pnas.2306153120_5c49b25904		C15	NGFR; SCN7A; NCAM1; L1CAM
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	NGFR; SCN7A; NCAM1; L1CAM	hca:0428_10.1073_pnas.1914143116_42027a0378		NONMYELINATING SCHWANN CELL	NGFR; SCN7A; NCAM1; CFD; L1CAM	hca:0500_10.1073_pnas.2306153120_5c49b25904		C15	NGFR; SCN7A; NCAM1; L1CAM
LLMarkers	different_label_partial_markers	Different	Partial	0.8	4	5	PLP1; MOG; MOBP; MBP	biorxiv:b60c0833-6df2-1014-8865-f92ffff4fcc6		OLIGODENDROCYTE	PLP1; MOG; MOBP; MBP; CR1	hca:0448_10.1101_2022.02.15.480622_6cb3eae5b8		OLIGODENDROCYTES	PLP1; MOG; MOBP; MBP
