local_label	global_label	context	rank	feature_id	feature_name	score	log2fc	pct_in	pct_out
mature LAMs	Macrophages	local	10	ENSG00000204257	HLA-DMA	34.15093552464464	0.6673666370418331	0.9717514124293786	0.7350955572102259
mature LAMs	Macrophages	local	11	ENSG00000233276	GPX1	33.38261495175366	0.35210425852939675	0.9981167608286252	0.944005956813105
mature LAMs	Macrophages	local	12	ENSG00000179344	HLA-DQB1	32.086270715557404	0.5900625773557754	0.9849340866290018	0.784909406800695
mature LAMs	Macrophages	local	13	ENSG00000164733	CTSB	31.09058773470519	0.7134549161333301	0.975517890772128	0.7609828741623231
mature LAMs	Macrophages	local	14	ENSG00000087086	FTL	30.45218286166268	0.17640536226851186	1.0	0.9983618763961281
mature LAMs	Macrophages	local	15	ENSG00000131981	LGALS3	29.882335742851566	1.269650240291838	0.9152542372881356	0.5661702655745843
mature LAMs	Macrophages	local	16	ENSG00000117984	CTSD	29.11056121084887	1.0690901569898996	0.9416195856873822	0.6337552742616034
mature LAMs	Macrophages	local	17	ENSG00000129226	CD68	28.715374761211994	0.7196587641722062	0.9566854990583804	0.7271283196823033
mature LAMs	Macrophages	local	18	ENSG00000107798	LIPA	28.63647864632201	1.2581290470409996	0.9020715630885122	0.48850831471829237
mature LAMs	Macrophages	local	19	ENSG00000010278	CD9	24.719634948546354	3.1561866363531577	0.6666666666666666	0.09677339290146439
mature LAMs	Macrophages	local	20	ENSG00000137575	SDCBP	24.64059589313701	0.5928036669257095	0.9642184557438794	0.7789774137503103
mature LAMs	Macrophages	local	21	ENSG00000103811	CTSH	23.69506088960851	0.9622765498452913	0.8832391713747646	0.5600645321419707
mature LAMs	Macrophages	local	22	ENSG00000090104	RGS1	23.399018132273415	1.561281034003439	0.7853107344632768	0.3137254901960784
mature LAMs	Macrophages	local	23	ENSG00000119655	NPC2	22.609730416280268	0.3650635065565765	0.9849340866290018	0.8934226855299081
mature LAMs	Macrophages	local	24	ENSG00000030582	GRN	22.193179882805445	0.5354456578321098	0.9491525423728814	0.7850583271283197
