HUSSY-18	ENSG00000033050
M-ABC1	ENSG00000033050
ABCF2-H2BK1	ENSG00000285292
ABCF2-H2BE1	ENSG00000285292
ABCF2P1	ENSG00000242159
ABCF2P2	ENSG00000228769
ABCF3	ENSG00000161204
EST201864	ENSG00000161204
ABCG1	ENSG00000160179
ABC8	ENSG00000160179
ABCG2	ENSG00000118777
ABCP	ENSG00000118777
BCRP	ENSG00000118777
CD338	ENSG00000118777
EST157481	ENSG00000118777
MXR	ENSG00000118777
ABCG4	ENSG00000172350
WHITE2	ENSG00000172350
ABCG5	ENSG00000138075
STSL	ENSG00000138075
ABCG8	ENSG00000143921
GBD4	ENSG00000143921
ABHD1	ENSG00000143994
FLJ36128	ENSG00000143994
LABH1	ENSG00000143994
ABHD10	ENSG00000144827
FLJ11342	ENSG00000144827
ABHD11	ENSG00000106077
PP1226	ENSG00000106077
WBSCR21	ENSG00000106077
ABHD12	ENSG00000100997
ABHD12A	ENSG00000100997
BEM46L2	ENSG00000100997
C20orf22	ENSG00000100997
DKFZP434P106	ENSG00000100997
dJ965G21.2	ENSG00000100997
ABHD12B	ENSG00000131969
BEM46L3	ENSG00000131969
C14orf29	ENSG00000131969
ABHD13	ENSG00000139826
BEM46L1	ENSG00000139826
C13orf6	ENSG00000139826
FLJ14906	ENSG00000139826
bA153I24.2	ENSG00000139826
ABHD14A	ENSG00000248487
DKFZP564O243	ENSG00000248487
DORZ1	ENSG00000248487
ABHD14A-ACY1	ENSG00000114786
ABHD14B	ENSG00000114779
CIB	ENSG00000114779
MGC15429	ENSG00000114779
ABHD15	ENSG00000168792
ABHD15-AS1	ENSG00000264031
linc-TP53I13	ENSG00000264031
lnc-TP53I13	ENSG00000264031
ABHD16A	ENSG00000204427
BAT5	ENSG00000204427
D6S82E	ENSG00000204427
NG26	ENSG00000204427
ABHD16B	ENSG00000183260
C20orf135	ENSG00000183260
dJ591C20.1	ENSG00000183260
ABHD17A	ENSG00000129968
C19orf27	ENSG00000129968
FAM108A1	ENSG00000129968
MGC5244	ENSG00000129968
ABHD17AP1	ENSG00000198658
ABHD17AP2	ENSG00000198658
C1orf47	ENSG00000198658
FAM108A11P	ENSG00000198658
FAM108A2	ENSG00000198658
FAM108A3	ENSG00000198658
FAM108A3P	ENSG00000198658
ABHD17AP3	ENSG00000250536
FAM108A4	ENSG00000250536
FAM108A4P	ENSG00000250536
ABHD17AP4	ENSG00000229107
FAM108A5	ENSG00000229107
FAM108A5P	ENSG00000229107
ABHD17AP5	ENSG00000263366
FAM108A6	ENSG00000263366
FAM108A6P	ENSG00000263366
ABHD17AP6	ENSG00000226981
FAM108A7P	ENSG00000226981
ABHD17AP7	ENSG00000260864
FAM108A8P	ENSG00000260864
ABHD17AP8	ENSG00000260540
FAM108A9P	ENSG00000260540
ABHD17AP9	ENSG00000261536
FAM108A10P	ENSG00000261536
ABHD17B	ENSG00000107362
C9orf77	ENSG00000107362
CGI-67	ENSG00000107362
FAM108B1	ENSG00000107362
ABHD17C	ENSG00000136379
FAM108C1	ENSG00000136379
ABHD18	ENSG00000164074
C4orf29	ENSG00000164074
FLJ21106	ENSG00000164074
ABHD2	ENSG00000140526
LABH2	ENSG00000140526
ABHD3	ENSG00000158201
LABH3	ENSG00000158201
ABHD4	ENSG00000100439
FLJ12816	ENSG00000100439
ABHD5	ENSG00000011198
CGI-58	ENSG00000011198
NCIE2	ENSG00000011198
ABHD6	ENSG00000163686
ABHD8	ENSG00000127220
FLJ11743	ENSG00000127220
MGC14280	ENSG00000127220
MGC2512	ENSG00000127220
ABI1	ENSG00000136754
ABI-1	ENSG00000136754
E3B1	ENSG00000136754
SSH3BP1	ENSG00000136754
ABI1P1	ENSG00000271484
ABI1P	ENSG00000271484
SSH3BP1P	ENSG00000271484
ABI2	ENSG00000138443
ABI-2	ENSG00000138443
ABI2B	ENSG00000138443
AIP-1	ENSG00000138443
AblBP3	ENSG00000138443
SSH3BP2	ENSG00000138443
argBPIA	ENSG00000138443
ABI3	ENSG00000108798
NESH	ENSG00000108798
SSH3BP3	ENSG00000108798
ABI3BP	ENSG00000154175
DKFZP586L2024	ENSG00000154175
NESHBP	ENSG00000154175
TARSH	ENSG00000154175
ABITRAM	ENSG00000119328
C9orf6	ENSG00000119328
CG-8	ENSG00000119328
FAM206A	ENSG00000119328
FLJ20457	ENSG00000119328
Simiate	ENSG00000119328
ABITRAMP1	ENSG00000251106
FAM206BP	ENSG00000251106
ABL1	ENSG00000097007
ABL	ENSG00000097007
JTK7	ENSG00000097007
c-ABL	ENSG00000097007
p150	ENSG00000097007
ABL2	ENSG00000143322
ABLL	ENSG00000143322
ARG	ENSG00000143322
ABLIM1	ENSG00000099204
ABLIM	ENSG00000099204
LIMAB1	ENSG00000099204
limatin	ENSG00000099204
ABLIM2	ENSG00000163995
KIAA1808	ENSG00000163995
ABLIM3	ENSG00000173210
KIAA0843	ENSG00000173210
ABO	ENSG00000175164
A3GALNT	ENSG00000175164
A3GALT1	ENSG00000175164
ABR	ENSG00000159842
MDB	ENSG00000159842
ABR-AS1	ENSG00000235361
ABRA	ENSG00000174429
STARS	ENSG00000174429
ABRACL	ENSG00000146386
C6orf115	ENSG00000146386
Costars	ENSG00000146386
HSPC280	ENSG00000146386
PRO2013	ENSG00000146386
ABRAXAS1	ENSG00000163322
ABRA1	ENSG00000163322
ABRAXAS	ENSG00000163322
CCDC98	ENSG00000163322
FAM175A	ENSG00000163322
FLJ13614	ENSG00000163322
ABRAXAS2	ENSG00000165660
ABRO1	ENSG00000165660
Em:AC068896.4	ENSG00000165660
FAM175B	ENSG00000165660
KIAA0157	ENSG00000165660
ABT1	ENSG00000146109
Esf2	ENSG00000146109
ABT1P1	ENSG00000250496
ABTB1	ENSG00000114626
BPOZ	ENSG00000114626
BTBD21	ENSG00000114626
Btb3	ENSG00000114626
EF1ABP	ENSG00000114626
ABTB2	ENSG00000166016
ABTB2A	ENSG00000166016
BTBD22	ENSG00000166016
DKFZP586C1619	ENSG00000166016
ABTB3	ENSG00000151136
ABTB2B	ENSG00000151136
BTBD11	ENSG00000151136
FLJ33957	ENSG00000151136
ACAA1	ENSG00000060971
Lnc-Myd88	ENSG00000060971
ACAA2	ENSG00000167315
DSAEC	ENSG00000167315
ACAA2P1	ENSG00000233585
ACACA	ENSG00000275176
ACAC	ENSG00000275176
ACACalpha	ENSG00000275176
ACC	ENSG00000275176
ACC-alpha	ENSG00000275176
ACC1	ENSG00000275176
ACCA	ENSG00000275176
ACCalpha	ENSG00000275176
Acac1	ENSG00000275176
hACC1	ENSG00000275176
ACACB	ENSG00000076555
ACACbeta	ENSG00000076555
ACC-beta	ENSG00000076555
ACC2	ENSG00000076555
ACCB	ENSG00000076555
ACCbeta	ENSG00000076555
HACC275	ENSG00000076555
ACAD10	ENSG00000111271
MGC5601	ENSG00000111271
ACAD11	ENSG00000240303
FLJ12592	ENSG00000240303
ACAD8	ENSG00000151498
ACAD9	ENSG00000177646
MGC14452	ENSG00000177646
NPD002	ENSG00000177646
ACAD9-DT	ENSG00000287110
ACADL	ENSG00000115361
ACAD4	ENSG00000115361
LCAD	ENSG00000115361
ACADM	ENSG00000117054
ACAD1	ENSG00000117054
MCAD	ENSG00000117054
MCADH	ENSG00000117054
ACADS	ENSG00000122971
ACAD3	ENSG00000122971
SCAD	ENSG00000122971
ACADSB	ENSG00000196177
ACAD7	ENSG00000196177
SBCAD	ENSG00000196177
ACADVL	ENSG00000072778
ACAD6	ENSG00000072778
LCACD	ENSG00000072778
VLCAD	ENSG00000072778
ACAN	ENSG00000157766
AGC1	ENSG00000157766
CSPG1	ENSG00000157766
CSPGCP	ENSG00000157766
MSK16	ENSG00000157766
ACAP1	ENSG00000072818
CENTB1	ENSG00000072818
KIAA0050	ENSG00000072818
ACAP2	ENSG00000114331
CENTB2	ENSG00000114331
CNT-B2	ENSG00000114331
KIAA0041	ENSG00000114331
ACAP2-IT1	ENSG00000229325
ACAP3	ENSG00000131584
CENTB5	ENSG00000131584
KIAA1716	ENSG00000131584
ACAT1	ENSG00000075239
ACAT	ENSG00000075239
THIL	ENSG00000075239
ACAT2	ENSG00000120437
ACBD3	ENSG00000182827
GCP60	ENSG00000182827
GOCAP1	ENSG00000182827
GOLPH1	ENSG00000182827
PAP7	ENSG00000182827
ACBD3-AS1	ENSG00000234478
RP11-275I14.4	ENSG00000234478
ACBD4	ENSG00000181513
FLJ13322	ENSG00000181513
ACBD5	ENSG00000107897
DKFZp434A2417	ENSG00000107897
KIAA1996	ENSG00000107897
ACBD6	ENSG00000230124
MGC2404	ENSG00000230124
ACBD7	ENSG00000176244
FLJ38219	ENSG00000176244
bA455B2.2	ENSG00000176244
ACCS	ENSG00000110455
ACS	ENSG00000110455
PHACS	ENSG00000110455
ACCSL	ENSG00000205126
ACD	ENSG00000102977
Pip1	ENSG00000102977
Ptop	ENSG00000102977
Tint1	ENSG00000102977
Tpp1	ENSG00000102977
ACE	ENSG00000159640
ACE1	ENSG00000159640
CD143	ENSG00000159640
DCP1	ENSG00000159640
ACE2	ENSG00000130234
ACEH	ENSG00000130234
ACE2-DT	ENSG00000225833
GS1-594A7.3	ENSG00000225833
ACE3P	ENSG00000224353
ACER1	ENSG00000167769
ASAH3	ENSG00000167769
ACER2	ENSG00000177076
ALKCDase2	ENSG00000177076
ASAH3L	ENSG00000177076
FLJ41587	ENSG00000177076
ACER2P1	ENSG00000180105
ACER3	ENSG00000078124
APHC	ENSG00000078124
FLJ11238	ENSG00000078124
PHCA	ENSG00000078124
ACHE	ENSG00000087085
YT	ENSG00000087085
ACIN1	ENSG00000100813
ACINUS	ENSG00000100813
KIAA0670	ENSG00000100813
fSAP152	ENSG00000100813
ACKR1	ENSG00000213088
CCBP1	ENSG00000213088
CD234	ENSG00000213088
DARC	ENSG00000213088
Dfy	ENSG00000213088
FY	ENSG00000213088
GPD	ENSG00000213088
ACKR2	ENSG00000144648
CCBP2	ENSG00000144648
CCR10	ENSG00000144648
CCR9	ENSG00000144648
CMKBR9	ENSG00000144648
D6	ENSG00000144648
ACKR3	ENSG00000144476
CMKOR1	ENSG00000144476
CXCR7	ENSG00000144476
GPR159	ENSG00000144476
RDC1	ENSG00000144476
ACKR4	ENSG00000129048
CCBP2	ENSG00000129048
CCR11	ENSG00000129048
CCRL1	ENSG00000129048
CCX-CKR	ENSG00000129048
PPR1	ENSG00000129048
VSHK1	ENSG00000129048
ACKR4P1	ENSG00000225415
CCRL1P	ENSG00000225415
CCRL1P1	ENSG00000225415
dJ509I19.4	ENSG00000225415
ACLY	ENSG00000131473
ACL	ENSG00000131473
ATPCL	ENSG00000131473
CLATP	ENSG00000131473
ACMSD	ENSG00000153086
ACNATP	ENSG00000227411
BAATP1	ENSG00000227411
ACO1	ENSG00000122729
IREB1	ENSG00000122729
IREBP	ENSG00000122729
IRP1	ENSG00000122729
ACO2	ENSG00000100412
ACONM	ENSG00000100412
ACOD1	ENSG00000102794
CAD	ENSG00000102794
IRG1	ENSG00000102794
ACOT1	ENSG00000184227
ACH2	ENSG00000184227
CTE-1	ENSG00000184227
LACH2	ENSG00000184227
ACOT11	ENSG00000162390
BFIT	ENSG00000162390
