doi	version	xml_path	markdown_path	metadata_path	title	pub_date	n_authors
10.1101/2022.02.14.480397	v1	data/hca/manuscripts/0421_10.1101_2022.02.14.480397_c10e165496/manuscript.xml	data/hca/manuscripts/0421_10.1101_2022.02.14.480397_c10e165496/manuscript.md	data/hca/manuscripts/0421_10.1101_2022.02.14.480397_c10e165496/biorxiv_metadata.json	Single-cell transcriptomic and proteomic analysis of Parkinson’s disease Brains	2022-01-01	13
10.1101/2022.06.17.496207	v2	data/hca/manuscripts/0378_10.1101_2022.06.17.496207_92cb140ff3/manuscript.xml	data/hca/manuscripts/0378_10.1101_2022.06.17.496207_92cb140ff3/manuscript.md	data/hca/manuscripts/0378_10.1101_2022.06.17.496207_92cb140ff3/biorxiv_metadata.json	Single-cell atlas of bronchoalveolar lavage from preschool cystic fibrosis reveals new cell phenotypes	2022-01-01	14
10.1101/2022.10.17.512579	v1	data/hca/manuscripts/0469_10.1101_2022.10.17.512579_e7abedbc30/manuscript.xml	data/hca/manuscripts/0469_10.1101_2022.10.17.512579_e7abedbc30/manuscript.md	data/hca/manuscripts/0469_10.1101_2022.10.17.512579_e7abedbc30/biorxiv_metadata.json	Targeting the Immune-Fibrosis Axis in Myocardial Infarction and Heart Failure	2022-01-01	26
10.1101/2022.10.24.513487	v1	data/hca/manuscripts/0107_10.1101_2022.10.24.513487_4d505f4f68/manuscript.xml	data/hca/manuscripts/0107_10.1101_2022.10.24.513487_4d505f4f68/manuscript.md	data/hca/manuscripts/0107_10.1101_2022.10.24.513487_4d505f4f68/biorxiv_metadata.json	Comprehensive cell atlas of the first-trimester developing human brain	2022-01-01	15
10.1101/2023.03.17.533161	v2	data/hca/manuscripts/0087_10.1101_2023.03.17.533161_2af5ed929c/manuscript.xml	data/hca/manuscripts/0087_10.1101_2023.03.17.533161_2af5ed929c/manuscript.md	data/hca/manuscripts/0087_10.1101_2023.03.17.533161_2af5ed929c/biorxiv_metadata.json	Cell type-specific and disease-associated eQTL in the human lung	2023-01-01	18
10.1101/2023.04.13.23288227			data/hca/manuscripts/0166_10.1101_2023.04.13.23288227_0c5bc13bbe/manuscript.md	data/hca/manuscripts/0166_10.1101_2023.04.13.23288227_0c5bc13bbe/biorxiv_metadata.json	Human SARS-CoV-2 challenge resolves local and systemic response dynamics	2023-01-01	38
10.1101/2023.05.01.538871	v1	data/hca/manuscripts/0024_10.1101_2023.05.01.538871_7e4c731021/manuscript.xml	data/hca/manuscripts/0024_10.1101_2023.05.01.538871_7e4c731021/manuscript.md	data/hca/manuscripts/0024_10.1101_2023.05.01.538871_7e4c731021/biorxiv_metadata.json	A human omentum-specific mesothelial-like stromal population inhibits adipogenesis through IGFBP2 secretion	2023-01-01	17
10.1101/2023.08.08.551504	v1	data/hca/manuscripts/0231_10.1101_2023.08.08.551504_0d646c9546/manuscript.xml	data/hca/manuscripts/0231_10.1101_2023.08.08.551504_0d646c9546/manuscript.md	data/hca/manuscripts/0231_10.1101_2023.08.08.551504_0d646c9546/biorxiv_metadata.json	Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma	2023-01-01	18
10.1101/2023.11.07.566105	v1	data/hca/manuscripts/0301_10.1101_2023.11.07.566105_6b05614dad/manuscript.xml	data/hca/manuscripts/0301_10.1101_2023.11.07.566105_6b05614dad/manuscript.md	data/hca/manuscripts/0301_10.1101_2023.11.07.566105_6b05614dad/biorxiv_metadata.json	Integrated multi-omics single cell atlas of the human retina	2023-01-01	22
10.1101/2024.02.02.578633	v1	data/hca/manuscripts/0457_10.1101_2024.02.02.578633_57d5a20898/manuscript.xml	data/hca/manuscripts/0457_10.1101_2024.02.02.578633_57d5a20898/manuscript.md	data/hca/manuscripts/0457_10.1101_2024.02.02.578633_57d5a20898/biorxiv_metadata.json	Spatial transcriptomics of healthy and fibrotic human liver at single-cell resolution	2024-01-01	10
10.1101/2024.09.10.612293	v3	data/hca/manuscripts/0014_10.1101_2024.09.10.612293_d3a16eb9c8/manuscript.xml	data/hca/manuscripts/0014_10.1101_2024.09.10.612293_d3a16eb9c8/manuscript.md	data/hca/manuscripts/0014_10.1101_2024.09.10.612293_d3a16eb9c8/biorxiv_metadata.json	A cell and transcriptome atlas of human arterial vasculature	2025-01-01	25
10.1101/2025.06.19.660575	v1	data/hca/manuscripts/0091_10.1101_2025.06.19.660575_df9b499d76/manuscript.xml	data/hca/manuscripts/0091_10.1101_2025.06.19.660575_df9b499d76/manuscript.md	data/hca/manuscripts/0091_10.1101_2025.06.19.660575_df9b499d76/biorxiv_metadata.json	Cellular and molecular landscapes of human tendons across the lifespan revealed by spatial and single-cell transcriptomics	2025-01-01	8
10.1101/632216	v2	data/hca/manuscripts/0468_10.1101_632216_85729a39dd/manuscript.xml	data/hca/manuscripts/0468_10.1101_632216_85729a39dd/manuscript.md	data/hca/manuscripts/0468_10.1101_632216_85729a39dd/biorxiv_metadata.json	Systematic comparative analysis of single cell RNA-sequencing methods	2019-01-01	22
10.1101/721258	v1	data/hca/manuscripts/0309_10.1101_721258_f9cb0ad906/manuscript.xml	data/hca/manuscripts/0309_10.1101_721258_f9cb0ad906/manuscript.md	data/hca/manuscripts/0309_10.1101_721258_f9cb0ad906/biorxiv_metadata.json	Single cell transcriptome atlas of immune cells in human small intestine and in celiac disease	2019-01-01	8
10.1101/759902	v3	data/hca/manuscripts/0359_10.1101_759902_400af2c5fc/manuscript.xml	data/hca/manuscripts/0359_10.1101_759902_400af2c5fc/manuscript.md	data/hca/manuscripts/0359_10.1101_759902_400af2c5fc/biorxiv_metadata.json	Single Cell RNA-seq reveals ectopic and aberrant lung resident cell populations in Idiopathic Pulmonary Fibrosis	2019-01-01	18
